id,new_date,hour,load_kW,demand_kWh,supply_kWh,net_kWh
34643,2022-07-01,1,56.76,0,0,0
34656,2022-07-01,2,56.76,0,0,0
34662,2022-07-01,3,56.76,0,0,0
34671,2022-07-01,4,56.76,0,0,0
34678,2022-07-01,5,56.76,0,0,0
34688,2022-07-01,6,56.76,0,0,0
34696,2022-07-01,7,56.76,0,0,0
34706,2022-07-01,8,56.76,0,0,0
34718,2022-07-01,9,56.76,0,0,0
34726,2022-07-01,10,56.76,0,0,0
34733,2022-07-01,11,56.76,0,0,0
34741,2022-07-01,12,56.76,0,0,0
34755,2022-07-01,13,56.76,0,0,0
34760,2022-07-01,14,56.76,0,0,0
34770,2022-07-01,15,56.76,0,0,0
34777,2022-07-01,16,56.76,0,0,0
34788,2022-07-01,17,56.76,0,0,0
34800,2022-07-01,18,56.76,0,0,0
34807,2022-07-01,19,56.76,0,0,0
34815,2022-07-01,20,56.76,0,0,0
34824,2022-07-01,21,56.76,0,0,0
34831,2022-07-01,22,56.76,0,0,0
34841,2022-07-01,23,56.76,0,0,0
34854,2022-07-02,1,56.76,0,0,0
34860,2022-07-02,2,56.76,0,0,0
34870,2022-07-02,3,56.76,0,0,0
34876,2022-07-02,4,56.76,0,0,0
34887,2022-07-02,5,56.76,0,0,0
34899,2022-07-02,6,56.76,0,0,0
34907,2022-07-02,7,56.76,0,0,0
34917,2022-07-02,8,56.76,0,0,0
34921,2022-07-02,9,56.76,0,0,0
34934,2022-07-02,10,56.76,0,0,0
34943,2022-07-02,11,56.76,0,0,0
34948,2022-07-02,12,56.76,0,0,0
34958,2022-07-02,13,56.76,0,0,0
34967,2022-07-02,14,56.76,0,0,0
34979,2022-07-02,15,56.76,0,0,0
34984,2022-07-02,16,56.76,0,0,0
34996,2022-07-02,17,56.76,0,0,0
35007,2022-07-02,18,56.76,0,0,0
35012,2022-07-02,19,56.76,0,0,0
35023,2022-07-02,20,56.76,0,0,0
35033,2022-07-02,21,56.76,0,0,0
35038,2022-07-02,22,56.76,0,0,0
35052,2022-07-02,23,56.76,0,0,0
35057,2022-07-03,1,56.76,0,0,0
35066,2022-07-03,2,56.76,0,0,0
35074,2022-07-03,3,56.76,0,0,0
35087,2022-07-03,4,56.76,0,0,0
35097,2022-07-03,5,56.76,0,0,0
35102,2022-07-03,6,56.76,0,0,0
35111,2022-07-03,7,56.76,0,0,0
35120,2022-07-03,8,56.76,0,0,0
35129,2022-07-03,9,56.76,0,0,0
35141,2022-07-03,10,56.76,0,0,0
35150,2022-07-03,11,56.76,0,0,0
35159,2022-07-03,12,56.76,0,0,0
35165,2022-07-03,13,56.76,0,0,0
35175,2022-07-03,14,56.76,0,0,0
35183,2022-07-03,15,56.76,0,0,0
35191,2022-07-03,16,56.76,0,0,0
35200,2022-07-03,17,56.76,0,0,0
35212,2022-07-03,18,56.76,0,0,0
35223,2022-07-03,19,56.76,0,0,0
35229,2022-07-03,20,56.76,0,0,0
35238,2022-07-03,21,56.76,0,0,0
35248,2022-07-03,22,56.76,0,0,0
35254,2022-07-03,23,56.76,0,0,0
35265,2022-07-04,1,56.76,0,0,0
35275,2022-07-04,2,56.76,0,0,0
35281,2022-07-04,3,56.76,0,0,0
35291,2022-07-04,4,56.76,0,0,0
35303,2022-07-04,5,56.76,0,0,0
35312,2022-07-04,6,56.76,0,0,0
35321,2022-07-04,7,56.76,0,0,0
35328,2022-07-04,8,56.76,0,0,0
35338,2022-07-04,9,56.76,0,0,0
35346,2022-07-04,10,56.76,0,0,0
35356,2022-07-04,11,56.76,0,0,0
35365,2022-07-04,12,56.76,0,0,0
35375,2022-07-04,13,56.76,0,0,0
35384,2022-07-04,14,56.76,0,0,0
35392,2022-07-04,16,56.76,0,0,0
35400,2022-07-04,17,56.76,0,0,0
35409,2022-07-04,18,56.76,0,0,0
35417,2022-07-04,19,56.76,0,0,0
35430,2022-07-04,20,56.76,0,0,0
35438,2022-07-04,21,56.76,0,0,0
35444,2022-07-04,22,56.76,0,0,0
35456,2022-07-04,23,56.76,0,0,0
35464,2022-07-05,1,56.76,0,0,0
35473,2022-07-05,2,56.76,0,0,0
35481,2022-07-05,3,56.76,0,0,0
35488,2022-07-05,4,56.76,0,0,0
35498,2022-07-05,5,56.76,0,0,0
35506,2022-07-05,6,56.76,0,0,0
35516,2022-07-05,7,56.76,0,0,0
35525,2022-07-05,8,56.76,0,0,0
35538,2022-07-05,9,56.76,0,0,0
35543,2022-07-05,10,56.76,0,0,0
35551,2022-07-05,11,56.76,0,0,0
35560,2022-07-05,12,56.76,0,0,0
35569,2022-07-05,13,56.76,0,0,0
35580,2022-07-05,14,56.76,0,0,0
35588,2022-07-05,15,56.76,0,0,0
35597,2022-07-05,16,56.76,0,0,0
35617,2022-07-05,18,30.73,35.94,0,-35.94
35624,2022-07-05,19,26.91,31.41,0,-31.41
35632,2022-07-05,20,12.89,16.26,0,-16.26
35641,2022-07-05,21,15.1,12.91,0,-12.91
35653,2022-07-05,22,13.14,12.72,0,-12.72
35659,2022-07-05,23,14.8,12.17,0,-12.17
35670,2022-07-06,1,14.19,12.21,0,-12.21
35678,2022-07-06,2,14.63,12.23,0,-12.23
35691,2022-07-06,3,12.15,12.02,0,-12.02
35699,2022-07-06,4,8.51,11.04,0,-11.04
35707,2022-07-06,5,13.85,10.38,0,-10.38
35716,2022-07-06,6,11.81,9.75,0,-9.75
35724,2022-07-06,7,12.02,7.95,0,-7.95
35734,2022-07-06,8,10.67,6.53,0,-6.53
35745,2022-07-06,9,46.24,26.41,0,-26.41
35749,2022-07-06,10,43.75,35.42,0,-35.42
35762,2022-07-06,11,42.25,26.31,0,-26.31
35770,2022-07-06,12,47.05,32.08,0,-32.08
35777,2022-07-06,13,43.42,32.17,0,-32.17
35790,2022-07-06,14,47.66,30.33,0,-30.33
35794,2022-07-06,15,51.34,35.36,0,-35.36
35805,2022-07-06,16,44.75,36.69,0,-36.69
35816,2022-07-06,17,38.64,41.36,0,-41.36
35826,2022-07-06,18,19.38,23.61,0,-23.61
35833,2022-07-06,19,23.23,19.12,0,-19.12
35840,2022-07-06,21,13.77,13.58,0,-13.58
35849,2022-07-06,22,13.79,13.03,0,-13.03
35861,2022-07-06,23,8.69,11.73,0,-11.73
35870,2022-07-07,1,11.59,11.68,0,-11.68
35876,2022-07-07,2,12.58,11.36,0,-11.36
35884,2022-07-07,3,10.33,12.06,0,-12.06
35895,2022-07-07,4,10.93,10.41,0,-10.41
35904,2022-07-07,5,13.63,10.47,0,-10.47
35912,2022-07-07,6,1.14,9.8,0,-9.8
35920,2022-07-07,7,19.84,9.42,0,-9.42
35932,2022-07-07,8,26.32,16.19,0,-16.19
35941,2022-07-07,9,41.01,34.84,0,-34.84
35949,2022-07-07,10,53.84,41.33,0,-41.33
35956,2022-07-07,11,42.26,38.31,0,-38.31
35966,2022-07-07,12,77.52,47.56,0,-47.56
35974,2022-07-07,13,71.28,61.74,0,-61.74
35984,2022-07-07,14,66.12,60.22,0,-60.22
35995,2022-07-07,15,69.57,59.62,0,-59.62
