index,new_date,hour,load_kW,demand_kWh,supply_kWh,net_kWh,index,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,dates
0,1/1/2022,1,3.29,5.87,0,-5.87,,,,,,,,,,,,
1,1/1/2022,2,7.09,5.95,0,-5.95,,,,,,,,,,,,
2,1/1/2022,3,3.14,5.69,0,-5.69,,,,,,,,,,,,
3,1/1/2022,4,6.97,6.05,0,-6.05,,,,,,,,,,,,
4,1/1/2022,5,3.92,5.64,0,-5.64,,,,,,,,,,,,
5,1/1/2022,6,7.37,5.47,0,-5.47,0,6:00 AM,68ʡF,63ʡF,83ʡ%,NW,2ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair,1/1/2022
6,1/1/2022,7,9.21,4.66,0,-4.66,1,7:00 AM,66ʡF,63ʡF,88ʡ%,VAR,1ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair,1/1/2022
7,1/1/2022,8,5.67,2.72,0.13,-2.59,2,8:00 AM,75ʡF,63ʡF,65ʡ%,VAR,1ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair,1/1/2022
8,1/1/2022,9,17.84,0.26,3.01,2.75,3,9:00 AM,77ʡF,61ʡF,57ʡ%,ENE,5ʡmph,0ʡmph,29.93ʡin,0.0ʡin,Fair,1/1/2022
9,1/1/2022,10,28.99,0,9.71,9.71,4,10:00 AM,81ʡF,59ʡF,48ʡ%,E,6ʡmph,0ʡmph,29.93ʡin,0.0ʡin,Fair,1/1/2022
10,1/1/2022,11,32.47,0,13.11,13.11,5,11:00 AM,82ʡF,57ʡF,42ʡ%,VAR,5ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair,1/1/2022
11,1/1/2022,12,37.32,0,14.64,14.64,6,12:00 PM,84ʡF,59ʡF,42ʡ%,SE,3ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair,1/1/2022
12,1/1/2022,13,32.76,0,14.17,14.17,7,1:00 PM,84ʡF,57ʡF,40ʡ%,SE,6ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair,1/1/2022
13,1/1/2022,14,29.32,0.03,12.73,12.7,8,2:00 PM,88ʡF,57ʡF,35ʡ%,W,6ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Fair,1/1/2022
14,1/1/2022,15,23.34,0.01,9.97,9.96,9,3:00 PM,88ʡF,59ʡF,38ʡ%,SSW,7ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Fair,1/1/2022
15,1/1/2022,16,10.63,0.02,4.82,4.8,10,4:00 PM,88ʡF,59ʡF,38ʡ%,W,7ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Fair,1/1/2022
16,1/1/2022,17,9.11,2.31,0.57,-1.74,11,5:00 PM,86ʡF,59ʡF,40ʡ%,W,6ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Fair,1/1/2022
17,1/1/2022,18,0,5.56,0,-5.56,12,6:00 PM,82ʡF,63ʡF,51ʡ%,W,6ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Fair,1/1/2022
18,1/1/2022,19,4.02,7.15,0,-7.15,13,7:00 PM,81ʡF,63ʡF,54ʡ%,W,3ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fair,1/1/2022
19,1/1/2022,20,7.08,6.73,0,-6.73,14,8:00 PM,77ʡF,64ʡF,65ʡ%,VAR,1ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair,1/1/2022
20,1/1/2022,21,3.74,6.39,0,-6.39,,,,,,,,,,,,
21,1/1/2022,22,3.56,6.63,0,-6.63,,,,,,,,,,,,
22,1/1/2022,23,5.99,6.21,0,-6.21,,,,,,,,,,,,
23,2/1/2022,1,3.55,5.88,0,-5.88,,,,,,,,,,,,
24,2/1/2022,2,4.96,5.89,0,-5.89,,,,,,,,,,,,
25,2/1/2022,3,3.36,5.73,0,-5.73,,,,,,,,,,,,
26,2/1/2022,4,9.19,5.62,0,-5.62,,,,,,,,,,,,
27,2/1/2022,5,6.02,5.58,0,-5.58,,,,,,,,,,,,
28,2/1/2022,6,5.85,5.34,0,-5.34,0,6:00 AM,68ʡF,61ʡF,78ʡ%,VAR,2ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair,2/1/2022
29,2/1/2022,7,6.55,4.41,0,-4.41,1,7:00 AM,66ʡF,61ʡF,83ʡ%,VAR,2ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair,2/1/2022
30,2/1/2022,8,7.27,2.71,0.18,-2.53,2,8:00 AM,72ʡF,61ʡF,69ʡ%,VAR,2ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair,2/1/2022
31,2/1/2022,9,17.75,0.11,2.74,2.63,3,9:00 AM,77ʡF,61ʡF,57ʡ%,E,5ʡmph,0ʡmph,29.93ʡin,0.0ʡin,Fair,2/1/2022
32,2/1/2022,10,29.84,0,9.55,9.55,4,10:00 AM,79ʡF,59ʡF,51ʡ%,E,6ʡmph,0ʡmph,29.93ʡin,0.0ʡin,Fair,2/1/2022
33,2/1/2022,11,32.38,0,13.39,13.39,5,11:00 AM,82ʡF,57ʡF,42ʡ%,VAR,3ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair,2/1/2022
34,2/1/2022,12,33.49,0,15.06,15.06,6,12:00 PM,84ʡF,57ʡF,40ʡ%,VAR,3ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair,2/1/2022
35,2/1/2022,13,35.67,0,14.35,14.35,7,1:00 PM,86ʡF,57ʡF,37ʡ%,VAR,3ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fair,2/1/2022
36,2/1/2022,14,28.65,0.04,13.46,13.42,8,2:00 PM,88ʡF,57ʡF,35ʡ%,SW,6ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Fair,2/1/2022
37,2/1/2022,15,19.75,0.73,6.9,6.17,9,3:00 PM,86ʡF,59ʡF,40ʡ%,VAR,7ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Fair,2/1/2022
38,2/1/2022,16,8.52,0.06,4.7,4.64,10,4:00 PM,86ʡF,59ʡF,40ʡ%,W,7ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Fair,2/1/2022
39,2/1/2022,17,5.99,1.47,0.6,-0.87,11,5:00 PM,84ʡF,59ʡF,42ʡ%,WSW,6ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Fair,2/1/2022
40,2/1/2022,18,0,5.13,0,-5.13,12,6:00 PM,82ʡF,61ʡF,48ʡ%,WNW,6ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Fair,2/1/2022
41,2/1/2022,19,4.68,6.32,0,-6.32,13,7:00 PM,79ʡF,63ʡF,57ʡ%,W,3ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Fair,2/1/2022
42,2/1/2022,20,6.77,6.48,0,-6.48,14,8:00 PM,75ʡF,64ʡF,69ʡ%,NW,1ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fair,2/1/2022
43,2/1/2022,21,6.41,6.09,0,-6.09,,,,,,,,,,,,
44,2/1/2022,22,7.33,6.32,0,-6.32,,,,,,,,,,,,
45,2/1/2022,23,6.97,6.27,0,-6.27,,,,,,,,,,,,
46,3/1/2022,1,6.65,6.04,0,-6.04,,,,,,,,,,,,
47,3/1/2022,2,5.2,5.97,0,-5.97,,,,,,,,,,,,
48,3/1/2022,3,3.89,5.76,0,-5.76,,,,,,,,,,,,
49,3/1/2022,4,7.02,5.99,0,-5.99,,,,,,,,,,,,
50,3/1/2022,5,6.94,5.58,0,-5.58,,,,,,,,,,,,
51,3/1/2022,6,6.29,5.42,0,-5.42,0,6:00 AM,68ʡF,61ʡF,78ʡ%,VAR,1ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Fair,3/1/2022
52,3/1/2022,7,0,5.14,0,-5.14,1,7:00 AM,66ʡF,61ʡF,83ʡ%,VAR,1ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fair,3/1/2022
53,3/1/2022,8,5.82,4.21,0.03,-4.18,2,8:00 AM,72ʡF,63ʡF,73ʡ%,NNW,2ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair,3/1/2022
54,3/1/2022,9,17.89,0.26,2.36,2.1,3,9:00 AM,75ʡF,61ʡF,61ʡ%,VAR,3ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair,3/1/2022
55,3/1/2022,10,27.74,0,8.85,8.85,4,10:00 AM,81ʡF,61ʡF,51ʡ%,E,3ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair,3/1/2022
56,3/1/2022,11,30.39,0,12.82,12.82,5,11:00 AM,82ʡF,59ʡF,45ʡ%,VAR,3ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair,3/1/2022
57,3/1/2022,12,33.99,0,9.53,9.53,6,12:00 PM,84ʡF,61ʡF,45ʡ%,W,5ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fair,3/1/2022
58,3/1/2022,13,31.99,0,10.35,10.35,7,1:00 PM,84ʡF,61ʡF,45ʡ%,NW,7ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Fair,3/1/2022
59,3/1/2022,14,34.07,0,11.97,11.97,8,2:00 PM,86ʡF,61ʡF,43ʡ%,NW,7ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Fair,3/1/2022
60,3/1/2022,15,20.54,0,8.87,8.87,9,3:00 PM,86ʡF,61ʡF,43ʡ%,W,8ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Fair,3/1/2022
61,3/1/2022,16,10.85,0.07,4.54,4.47,10,4:00 PM,86ʡF,63ʡF,45ʡ%,WNW,7ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Fair,3/1/2022
