level_0,id,name,new_date,hour,demand_kWh,supply_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),temperature(°C),dew_point(°C)
874,8195,NDIR-SERT,30/1/2022,13,0,11.63,S,Fair,88,59,38,7,0,29.64,0,31.11,15
875,8204,NDIR-SERT,30/1/2022,14,2.91,1.35,SSW,Fair,90,57,33,7,0,29.61,0,32.22,13.89
876,8211,NDIR-SERT,30/1/2022,15,5.77,0.06,SSE,Fair,90,59,36,6,0,29.55,0,32.22,15
877,8221,NDIR-SERT,30/1/2022,16,10.86,0,SSE,Fair,91,55,29,5,0,29.55,0,32.78,12.78
878,8229,NDIR-SERT,30/1/2022,17,8.91,0,SE,Fair,91,52,26,5,0,29.55,0,32.78,11.11
879,8240,NDIR-SERT,30/1/2022,18,8.61,0,SE,Fair,88,57,35,2,0,29.55,0,31.11,13.89
880,8247,NDIR-SERT,30/1/2022,19,10.89,0,WNW,Fair,81,61,51,2,0,29.58,0,27.22,16.11
881,8256,NDIR-SERT,30/1/2022,20,9.57,0,CALM,Fair,79,63,57,0,0,29.58,0,26.11,17.22
890,8347,NDIR-SERT,31/1/2022,6,5.54,0,ENE,Fair,64,61,88,3,0,29.61,0,17.78,16.11
891,8360,NDIR-SERT,31/1/2022,7,5.25,0,VAR,Fair,64,61,88,1,0,29.64,0,17.78,16.11
892,8365,NDIR-SERT,31/1/2022,8,5.62,0,VAR,Fair,70,63,78,1,0,29.67,0,21.11,17.22
893,8373,NDIR-SERT,31/1/2022,9,2.44,0.11,VAR,Fair,79,61,54,1,0,29.7,0,26.11,16.11
894,8383,NDIR-SERT,31/1/2022,10,13.02,0,VAR,Fair,82,55,39,2,0,29.7,0,27.78,12.78
895,8391,NDIR-SERT,31/1/2022,11,7.99,0.01,VAR,Fair,86,52,31,5,0,29.7,0,30,11.11
896,8400,NDIR-SERT,31/1/2022,12,7.44,0,VAR,Fair,88,55,33,3,0,29.67,0,31.11,12.78
897,8409,NDIR-SERT,31/1/2022,13,24.45,0,VAR,Fair,88,59,38,5,0,29.67,0,31.11,15
898,8420,NDIR-SERT,31/1/2022,14,21.72,0,SSE,Fair,90,61,38,7,0,29.61,0,32.22,16.11
899,8427,NDIR-SERT,31/1/2022,15,31.94,0,SSW,Fair,90,61,38,7,0,29.58,0,32.22,16.11
900,8436,NDIR-SERT,31/1/2022,16,27.85,0,SSE,Fair,90,55,31,7,0,29.58,0,32.22,12.78
901,8448,NDIR-SERT,31/1/2022,17,31.2,0,S,Fair,90,52,27,6,0,29.58,0,32.22,11.11
902,8456,NDIR-SERT,31/1/2022,18,25.15,0,SSE,Fair,86,57,37,3,0,29.58,0,30,13.89
903,8463,NDIR-SERT,31/1/2022,19,17.05,0,E,Fair,79,59,51,1,0,29.61,0,26.11,15
904,8473,NDIR-SERT,31/1/2022,20,11.56,0,CALM,Fair,75,59,57,0,0,29.61,0,23.89,15
913,8562,NDIR-SERT,1/2/2022,6,5.57,0,VAR,Fair,64,61,88,1,0,29.64,0,17.78,16.11
917,8602,NDIR-SERT,1/2/2022,10,26.54,0,S,Mostly Cloudy,81,73,79,8,0,29.73,0,27.22,22.78
918,8608,NDIR-SERT,1/2/2022,11,26.85,0,S,Mostly Cloudy,82,72,70,8,0,29.73,0,27.78,22.22
919,8619,NDIR-SERT,1/2/2022,12,30.09,0,S,Mostly Cloudy,86,72,62,6,0,29.7,0,30,22.22
920,8627,NDIR-SERT,1/2/2022,13,24.76,0,VAR,Mostly Cloudy,86,70,58,5,0,29.67,0,30,21.11
921,8638,NDIR-SERT,1/2/2022,14,28.63,0,SSE,Fair,88,68,52,6,0,29.64,0,31.11,20
922,8643,NDIR-SERT,1/2/2022,15,31.72,0,S,Fair,90,64,43,7,0,29.61,0,32.22,17.78
923,8653,NDIR-SERT,1/2/2022,16,34.62,0,SSE,Fair,90,66,46,9,0,29.58,0,32.22,18.89
924,8662,NDIR-SERT,1/2/2022,17,39.85,0,SE,Fair,90,66,46,9,0,29.58,0,32.22,18.89
925,8670,NDIR-SERT,1/2/2022,18,33.73,0,SE,Fair,86,66,51,6,0,29.58,0,30,18.89
926,8679,NDIR-SERT,1/2/2022,19,22.3,0,ESE,Fair,84,68,58,5,0,29.58,0,28.89,20
927,8690,NDIR-SERT,1/2/2022,20,12.36,0,ESE,Fair,81,66,61,2,0,29.61,0,27.22,18.89
936,8778,NDIR-SERT,2/2/2022,6,15.37,0,SE,Fair,73,72,94,5,0,29.67,0,22.78,22.22
937,8788,NDIR-SERT,2/2/2022,7,5.39,0,SSE,Mostly Cloudy,75,72,89,3,0,29.7,0,23.89,22.22
938,8796,NDIR-SERT,2/2/2022,8,5.81,0,SE,Mostly Cloudy,77,73,89,2,0,29.73,0,25,22.78
939,8805,NDIR-SERT,2/2/2022,9,5.11,0.02,SSE,Mostly Cloudy,81,73,79,6,0,29.75,0,27.22,22.78
940,8818,NDIR-SERT,2/2/2022,10,15.86,0,S,Mostly Cloudy,81,73,79,5,0,29.78,0,27.22,22.78
941,8826,NDIR-SERT,2/2/2022,11,25.55,0.01,W,Mostly Cloudy,84,73,70,5,0,29.78,0,28.89,22.78
942,8836,NDIR-SERT,2/2/2022,12,11.45,0,VAR,Fair,86,72,62,3,0,29.75,0,30,22.22
943,8844,NDIR-SERT,2/2/2022,13,7.75,0.05,VAR,Fair,88,70,55,3,0,29.73,0,31.11,21.11
944,8851,NDIR-SERT,2/2/2022,14,9.36,0,VAR,Fair,90,68,49,6,0,29.67,0,32.22,20
945,8861,NDIR-SERT,2/2/2022,15,14.25,0,SSW,Fair,90,66,46,6,0,29.64,0,32.22,18.89
946,8868,NDIR-SERT,2/2/2022,16,20.05,0,SW,Fair,90,64,43,5,0,29.64,0,32.22,17.78
947,8877,NDIR-SERT,2/2/2022,17,52.12,0,VAR,Fair,90,66,46,3,0,29.64,0,32.22,18.89
948,8886,NDIR-SERT,2/2/2022,18,14.32,0,E,Fair,86,68,55,2,0,29.64,0,30,20
949,8899,NDIR-SERT,2/2/2022,19,13.68,0,ESE,Fair,82,70,66,3,0,29.64,0,27.78,21.11
950,8905,NDIR-SERT,2/2/2022,20,12.62,0,E,Fair,81,70,70,2,0,29.67,0,27.22,21.11
959,8995,NDIR-SERT,3/2/2022,6,7.17,0,ESE,Fair,75,72,89,2,0,29.7,0,23.89,22.22
960,9004,NDIR-SERT,3/2/2022,7,7.16,0,CALM,Mostly Cloudy,75,72,89,0,0,29.73,0,23.89,22.22
961,9012,NDIR-SERT,3/2/2022,8,6.5,0,E,Mostly Cloudy,77,72,83,5,0,29.75,0,25,22.22
962,9022,NDIR-SERT,3/2/2022,9,6.89,0,SE,Mostly Cloudy,81,73,79,8,0,29.75,0,27.22,22.78
963,9031,NDIR-SERT,3/2/2022,10,14.16,0,SSE,Mostly Cloudy,84,73,70,9,0,29.78,0,28.89,22.78
964,9041,NDIR-SERT,3/2/2022,11,19.78,0,SSE,Mostly Cloudy,84,73,70,7,0,29.75,0,28.89,22.78
965,9048,NDIR-SERT,3/2/2022,12,17.79,0,S,Mostly Cloudy,86,73,66,7,0,29.73,0,30,22.78
966,9057,NDIR-SERT,3/2/2022,13,17.29,0.02,VAR,Partly Cloudy,88,72,58,7,0,29.7,0,31.11,22.22
967,9066,NDIR-SERT,3/2/2022,14,18.3,0,S,Partly Cloudy,90,72,55,5,0,29.67,0,32.22,22.22
968,9079,NDIR-SERT,3/2/2022,15,19.27,0,SSW,Fair,91,72,52,6,0,29.64,0,32.78,22.22
969,9085,NDIR-SERT,3/2/2022,16,23.82,0,SSW,Fair,91,70,49,6,0,29.61,0,32.78,21.11
970,9093,NDIR-SERT,3/2/2022,17,27.15,0,S,Fair,91,70,49,3,0,29.61,0,32.78,21.11
971,9104,NDIR-SERT,3/2/2022,18,27.23,0,SE,Fair,88,70,55,2,0,29.61,0,31.11,21.11
972,9112,NDIR-SERT,3/2/2022,19,30.49,0,CALM,Fair,84,72,66,0,0,29.64,0,28.89,22.22
973,9121,NDIR-SERT,3/2/2022,20,20.84,0,CALM,Fair,82,73,74,0,0,29.64,0,27.78,22.78
982,9211,NDIR-SERT,4/2/2022,6,6.69,0,ESE,Fair,73,73,100,1,0,29.7,0,22.78,22.78
983,9220,NDIR-SERT,4/2/2022,7,6.66,0,VAR,Partly Cloudy,73,73,100,2,0,29.73,0,22.78,22.78
984,9230,NDIR-SERT,4/2/2022,8,28.64,0,CALM,Mostly Cloudy,77,73,89,0,0,29.73,0,25,22.78
985,9239,NDIR-SERT,4/2/2022,9,17.41,0,VAR,Mostly Cloudy,81,73,79,2,0,29.75,0,27.22,22.78
986,9247,NDIR-SERT,4/2/2022,10,23.82,0,SSE,Mostly Cloudy,82,72,70,3,0,29.78,0,27.78,22.22
987,9256,NDIR-SERT,4/2/2022,11,20.91,0,NNW,Fair,84,72,66,3,0,29.75,0,28.89,22.22
988,9264,NDIR-SERT,4/2/2022,12,17.25,0,VAR,Mostly Cloudy,88,70,55,2,0,29.75,0,31.11,21.11
989,9275,NDIR-SERT,4/2/2022,13,16.66,0,WNW,Partly Cloudy,88,72,58,5,0,29.7,0,31.11,22.22
990,9283,NDIR-SERT,4/2/2022,14,27.47,0,SSE,Fair,90,70,52,5,0,29.67,0,32.22,21.11
991,9292,NDIR-SERT,4/2/2022,15,24.25,0,SSW,Fair,90,70,52,6,0,29.64,0,32.22,21.11
992,9302,NDIR-SERT,4/2/2022,16,30.89,0,SSW,Fair,90,72,55,6,0,29.64,0,32.22,22.22
993,9312,NDIR-SERT,4/2/2022,17,28.21,0,S,Fair,90,70,52,5,0,29.64,0,32.22,21.11
994,9320,NDIR-SERT,4/2/2022,18,29.51,0,ENE,Fair,81,70,70,5,0,29.64,0,27.22,21.11
995,9327,NDIR-SERT,4/2/2022,19,32.02,0,E,Fair,79,68,69,3,0,29.67,0,26.11,20
996,9336,NDIR-SERT,4/2/2022,20,19.93,0,VAR,Fair,79,70,74,2,0,29.7,0,26.11,21.11
1005,9427,NDIR-SERT,5/2/2022,6,6.34,0,NNW,Light Rain,73,72,94,6,0,29.73,0,22.78,22.22
1006,9436,NDIR-SERT,5/2/2022,7,6.12,0,VAR,Mostly Cloudy,72,72,100,2,0,29.75,0,22.22,22.22
1007,9445,NDIR-SERT,5/2/2022,8,5.35,0,VAR,Light Rain,72,72,100,1,0,29.78,0,22.22,22.22
1008,9453,NDIR-SERT,5/2/2022,9,5.78,0,N,Light Drizzle,73,72,94,3,0,29.81,0,22.78,22.22
1009,9467,NDIR-SERT,5/2/2022,10,5.36,0,N,Mostly Cloudy,73,72,94,3,0,29.84,0,22.78,22.22
1010,9472,NDIR-SERT,5/2/2022,11,5.08,0,VAR,Mostly Cloudy,75,72,89,3,0,29.84,0,23.89,22.22
1011,9480,NDIR-SERT,5/2/2022,12,4.92,0,VAR,Fair,79,70,74,6,0,29.81,0,26.11,21.11
1012,9489,NDIR-SERT,5/2/2022,13,4.83,0,N,Mostly Cloudy,79,66,65,3,0,29.78,0,26.11,18.89
1013,9498,NDIR-SERT,5/2/2022,14,5.14,0,VAR,Mostly Cloudy,79,68,69,2,0,29.75,0,26.11,20
1014,9507,NDIR-SERT,5/2/2022,15,3.81,0.05,E,Mostly Cloudy,79,66,65,5,0,29.75,0,26.11,18.89
1015,9521,NDIR-SERT,5/2/2022,16,1.09,1.82,ENE,Mostly Cloudy,79,64,61,3,0,29.73,0,26.11,17.78
1016,9525,NDIR-SERT,5/2/2022,17,0.01,8.04,ENE,Fair,79,66,65,3,0,29.73,0,26.11,18.89
1017,9534,NDIR-SERT,5/2/2022,18,4.27,0.29,VAR,Fair,77,70,78,2,0,29.73,0,25,21.11
1018,9546,NDIR-SERT,5/2/2022,19,6.07,0,VAR,Fair,75,72,89,1,0,29.75,0,23.89,22.22
1019,9553,NDIR-SERT,5/2/2022,20,8.22,0,NW,Fair,73,70,88,5,0,29.78,0,22.78,21.11
1028,9642,NDIR-SERT,6/2/2022,6,6.19,0,VAR,Fair,68,68,100,1,0,29.75,0,20,20
1029,9652,NDIR-SERT,6/2/2022,7,6.27,0,NW,Fair,68,68,100,3,0,29.78,0,20,20
1030,9665,NDIR-SERT,6/2/2022,8,6.3,0,NNW,Fair,70,66,88,3,0,29.81,0,21.11,18.89
1031,9672,NDIR-SERT,6/2/2022,9,41.76,0,VAR,Fair,70,66,88,1,0,29.84,0,21.11,18.89
1032,9680,NDIR-SERT,6/2/2022,10,3.41,0,VAR,Mostly Cloudy,72,68,88,2,0,29.84,0,22.22,20
1033,9689,NDIR-SERT,6/2/2022,11,1.62,1.11,SSW,Fair,77,66,69,3,0,29.81,0,25,18.89
1034,9698,NDIR-SERT,6/2/2022,12,0,12.47,W,Fair,79,64,61,3,0,29.81,0,26.11,17.78
1035,9711,NDIR-SERT,6/2/2022,13,0,9.36,VAR,Fair,81,64,58,3,0,29.75,0,27.22,17.78
1036,9718,NDIR-SERT,6/2/2022,14,0.03,7.79,VAR,Fair,82,64,54,3,0,29.73,0,27.78,17.78
1037,9725,NDIR-SERT,6/2/2022,15,0.04,7.98,VAR,Fair,82,66,58,5,0,29.7,0,27.78,18.89
1038,9734,NDIR-SERT,6/2/2022,16,0.84,1.75,VAR,Fair,82,66,58,3,0,29.67,0,27.78,18.89
1039,9743,NDIR-SERT,6/2/2022,17,3.91,0.37,SSW,Fair,82,68,62,6,0,29.7,0,27.78,20
1040,9752,NDIR-SERT,6/2/2022,18,12.55,0,S,Fair,81,68,65,3,0,29.7,0,27.22,20
1041,9764,NDIR-SERT,6/2/2022,19,13.81,0,CALM,Fair,79,68,69,0,0,29.7,0,26.11,20
1042,9772,NDIR-SERT,6/2/2022,20,12.84,0,E,Fair,79,70,74,2,0,29.73,0,26.11,21.11
1051,9860,NDIR-SERT,7/2/2022,6,5.29,0,CALM,Fair,72,70,94,0,0,29.73,0,22.22,21.11
1052,9872,NDIR-SERT,7/2/2022,7,4.61,0,N,Shallow Fog,72,70,94,2,0,29.75,0,22.22,21.11
1053,9878,NDIR-SERT,7/2/2022,8,4.45,0,VAR,Fair,73,70,88,1,0,29.75,0,22.78,21.11
1054,9890,NDIR-SERT,7/2/2022,9,4.39,0,VAR,Fair,79,70,74,2,0,29.78,0,26.11,21.11
1055,9899,NDIR-SERT,7/2/2022,10,4.42,0,VAR,Fair,82,68,62,2,0,29.78,0,27.78,20
1056,9905,NDIR-SERT,7/2/2022,11,4.44,0,VAR,Fair,86,68,55,2,0,29.75,0,30,20
1057,9915,NDIR-SERT,7/2/2022,12,5.93,0,NW,Fair,88,66,49,5,0,29.73,0,31.11,18.89
1058,9923,NDIR-SERT,7/2/2022,13,16,0.06,VAR,Fair,90,68,49,3,0,29.7,0,32.22,20
1059,9932,NDIR-SERT,7/2/2022,14,41.65,0,VAR,Fair,90,64,43,5,0,29.67,0,32.22,17.78
1060,9943,NDIR-SERT,7/2/2022,15,70.94,0,SSW,Fair,90,64,43,3,0,29.64,0,32.22,17.78
1061,9951,NDIR-SERT,7/2/2022,16,59.24,0,VAR,Fair,91,64,41,2,0,29.64,0,32.78,17.78
1062,9960,NDIR-SERT,7/2/2022,17,78.81,0,VAR,Fair,90,64,43,2,0,29.61,0,32.22,17.78
1063,9968,NDIR-SERT,7/2/2022,18,98.76,0,VAR,Fair,90,66,46,1,0,29.64,0,32.22,18.89
1064,9977,NDIR-SERT,7/2/2022,19,26.45,0,ESE,Fair,84,68,58,2,0,29.64,0,28.89,20
1065,9987,NDIR-SERT,7/2/2022,20,15.48,0,ESE,Fair,81,70,70,3,0,29.67,0,27.22,21.11
1072,10040,NDIR-SERT,8/2/2022,6,6.75,0,VAR,Fair,72,68,88,1,0,29.7,0,22.22,20
1073,10051,NDIR-SERT,8/2/2022,9,2.82,0.2,VAR,Fair,81,64,58,2,0,29.75,0,27.22,17.78
1074,10058,NDIR-SERT,8/2/2022,10,14.75,0,N,Fair,84,63,48,6,0,29.78,0,28.89,17.22
1075,10068,NDIR-SERT,8/2/2022,14,21.95,0,VAR,Fair,91,64,41,5,0,29.67,0,32.78,17.78
1076,10082,NDIR-SERT,8/2/2022,16,29.02,0,ESE,Fair,93,64,38,5,0,29.61,0,33.89,17.78
1077,10087,NDIR-SERT,8/2/2022,17,32.03,0,W,Fair,91,66,43,5,0,29.61,0,32.78,18.89
1078,10094,NDIR-SERT,8/2/2022,20,8.35,0,N,Fair,81,68,65,1,0,29.64,0,27.22,20
1081,10122,NDIR-SERT,9/2/2022,7,5,0,VAR,Fair,72,64,78,1,0,29.7,0,22.22,17.78
1082,10132,NDIR-SERT,9/2/2022,8,4.08,0,VAR,Fair,73,64,73,1,0,29.73,0,22.78,17.78
1083,10138,NDIR-SERT,9/2/2022,9,5.19,0.11,ENE,Fair,79,64,61,3,0,29.75,0,26.11,17.78
1084,10151,NDIR-SERT,9/2/2022,10,12.98,0,VAR,Fair,82,66,58,2,0,29.75,0,27.78,18.89
1085,10158,NDIR-SERT,9/2/2022,11,9.42,0,VAR,Fair,88,64,46,2,0,29.75,0,31.11,17.78
1086,10166,NDIR-SERT,9/2/2022,12,10.5,0,W,Fair,91,64,41,6,0,29.73,0,32.78,17.78
1087,10174,NDIR-SERT,9/2/2022,13,5.6,0,VAR,Fair,91,64,41,6,0,29.7,0,32.78,17.78
1088,10183,NDIR-SERT,9/2/2022,14,38.02,0,W,Fair,93,66,41,5,0,29.67,0,33.89,18.89
1089,10192,NDIR-SERT,9/2/2022,15,25.24,0,SW,Fair,93,64,38,7,0,29.64,0,33.89,17.78
1090,10201,NDIR-SERT,9/2/2022,16,24.08,0,W,Fair,93,66,41,3,0,29.61,0,33.89,18.89
1091,10210,NDIR-SERT,9/2/2022,17,26.39,0,VAR,Fair,93,64,38,2,0,29.61,0,33.89,17.78
1092,10223,NDIR-SERT,9/2/2022,18,28.31,0,VAR,Fair,90,66,46,1,0,29.61,0,32.22,18.89
1093,10228,NDIR-SERT,9/2/2022,19,29.07,0,VAR,Fair,82,68,62,1,0,29.64,0,27.78,20
1094,10237,NDIR-SERT,9/2/2022,20,10.63,0,N,Fair,82,68,62,3,0,29.64,0,27.78,20
1099,10292,NDIR-SERT,10/2/2022,6,6.55,0,ESE,Fair,72,68,88,3,0,29.7,0,22.22,20
1100,10302,NDIR-SERT,10/2/2022,7,5.13,0,CALM,Fair,72,70,94,0,0,29.7,0,22.22,21.11
1101,10311,NDIR-SERT,11/2/2022,6,4.67,0,E,Fair,75,72,89,2,0,29.64,0,23.89,22.22
1102,10321,NDIR-SERT,11/2/2022,8,1.09,0,VAR,Fair,79,73,83,2,0,29.7,0,26.11,22.78
1103,10328,NDIR-SERT,11/2/2022,9,12.92,0,ESE,Fair,82,72,70,5,0,29.7,0,27.78,22.22
1104,10336,NDIR-SERT,11/2/2022,10,32.9,0,SSE,Fair,86,73,66,6,0,29.73,0,30,22.78
1105,10345,NDIR-SERT,11/2/2022,11,32.13,0,VAR,Fair,86,73,66,3,0,29.7,0,30,22.78
1106,10355,NDIR-SERT,11/2/2022,12,27.88,0,VAR,Fair,90,73,59,3,0,29.67,0,32.22,22.78
1107,10367,NDIR-SERT,11/2/2022,13,25.03,0,VAR,Fair,91,73,55,3,0,29.64,0,32.78,22.78
1108,10374,NDIR-SERT,11/2/2022,14,36.09,0,VAR,Fair,91,73,55,5,0,29.61,0,32.78,22.78
1109,10383,NDIR-SERT,11/2/2022,15,38.47,0,VAR,Fair,91,73,55,5,0,29.58,0,32.78,22.78
1110,10391,NDIR-SERT,11/2/2022,16,44.62,0,WNW,Fair,91,72,52,5,0,29.55,0,32.78,22.22
1111,10399,NDIR-SERT,11/2/2022,17,41.91,0,W,Fair,91,72,52,5,0,29.55,0,32.78,22.22
1112,10411,NDIR-SERT,11/2/2022,18,26.78,0,W,Fair,90,73,59,3,0,29.55,0,32.22,22.78
1113,10419,NDIR-SERT,11/2/2022,19,15.5,0,SSE,Fair,86,75,70,3,0,29.61,0,30,23.89
1114,10429,NDIR-SERT,11/2/2022,20,11.43,0,SE,Fair,82,72,70,10,0,29.61,0,27.78,22.22
1123,10521,NDIR-SERT,12/2/2022,6,6,0,SE,Fair,73,73,100,3,0,29.64,0,22.78,22.78
1124,10530,NDIR-SERT,12/2/2022,7,5.67,0,VAR,Fair,75,73,94,1,0,29.67,0,23.89,22.78
1125,10537,NDIR-SERT,12/2/2022,8,4.92,0,NW,Fair,77,73,89,2,0,29.67,0,25,22.78
1126,10543,NDIR-SERT,12/2/2022,9,1.53,0.69,VAR,Fair,82,70,66,2,0,29.7,0,27.78,21.11
1127,10554,NDIR-SERT,12/2/2022,10,0,7.49,SE,Fair,84,68,58,3,0,29.7,0,28.89,20
1128,10564,NDIR-SERT,12/2/2022,11,0,11.43,S,Fair,86,68,55,6,0,29.7,0,30,20
1129,10574,NDIR-SERT,12/2/2022,12,0,9.78,S,Fair,88,68,52,3,0,29.64,0,31.11,20
1130,10580,NDIR-SERT,12/2/2022,13,0,10.72,SSW,Fair,90,68,49,5,0,29.61,0,32.22,20
1131,10588,NDIR-SERT,12/2/2022,14,0.03,8.55,VAR,Fair,91,66,43,5,0,29.58,0,32.78,18.89
1132,10600,NDIR-SERT,12/2/2022,15,0.3,6.14,S,Fair,90,68,49,5,0,29.55,0,32.22,20
1133,10609,NDIR-SERT,12/2/2022,16,0.21,3.11,SE,Fair,91,68,46,6,0,29.52,0,32.78,20
1134,10615,NDIR-SERT,12/2/2022,17,4.16,0.13,SSE,Fair,90,66,46,5,0,29.52,0,32.22,18.89
1135,10624,NDIR-SERT,12/2/2022,18,6.5,0.05,SSE,Fair,88,70,55,6,0,29.55,0,31.11,21.11
1136,10638,NDIR-SERT,12/2/2022,19,10.31,0,SSE,Fair,86,72,62,3,0,29.55,0,30,22.22
1137,10643,NDIR-SERT,12/2/2022,20,10.62,0,S,Fair,86,72,62,5,0,29.55,0,30,22.22
1146,10734,NDIR-SERT,13/2/2022,6,6.4,0,ESE,Fair,75,73,94,2,0,29.58,0,23.89,22.78
1147,10742,NDIR-SERT,13/2/2022,7,5.49,0,ESE,Fair,73,72,94,2,0,29.61,0,22.78,22.22
1148,10754,NDIR-SERT,13/2/2022,8,4.16,0,VAR,Fair,79,73,83,2,0,29.61,0,26.11,22.78
1149,10761,NDIR-SERT,13/2/2022,9,0.66,1.29,SE,Fair,82,72,70,5,0,29.64,0,27.78,22.22
1150,10771,NDIR-SERT,13/2/2022,10,0.07,5.44,S,Partly Cloudy,84,72,66,5,0,29.67,0,28.89,22.22
1151,10777,NDIR-SERT,13/2/2022,11,0.12,9.84,SW,Partly Cloudy,86,73,66,5,0,29.64,0,30,22.78
1152,10788,NDIR-SERT,13/2/2022,12,0.11,10.04,W,Mostly Cloudy,88,72,58,3,0,29.61,0,31.11,22.22
1153,10795,NDIR-SERT,13/2/2022,13,0.6,5.16,SSW,Partly Cloudy,90,72,55,3,0,29.58,0,32.22,22.22
1154,10805,NDIR-SERT,13/2/2022,14,0.88,4.82,SSE,Fair,90,70,52,5,0,29.55,0,32.22,21.11
1155,10814,NDIR-SERT,13/2/2022,15,0.19,9.16,S,Fair,91,70,49,5,0,29.52,0,32.78,21.11
1156,10825,NDIR-SERT,13/2/2022,16,0.01,5.24,S,Fair,91,70,49,3,0,29.49,0,32.78,21.11
1157,10831,NDIR-SERT,13/2/2022,17,1.78,0.76,SSE,Fair,91,70,49,3,0,29.49,0,32.78,21.11
1158,10841,NDIR-SERT,13/2/2022,18,6.99,0,VAR,Fair,90,70,52,2,0,29.52,0,32.22,21.11
1159,10853,NDIR-SERT,13/2/2022,19,10.47,0,WNW,Fair,86,72,62,1,0,29.52,0,30,22.22
1160,10861,NDIR-SERT,13/2/2022,20,10.84,0,CALM,Fair,84,73,70,0,0,29.55,0,28.89,22.78
1169,10949,NDIR-SERT,14/2/2022,6,6.67,0,SE,Fair,75,72,89,6,0,29.61,0,23.89,22.22
1170,10960,NDIR-SERT,14/2/2022,7,6.2,0,E,Fair,75,72,89,2,0,29.64,0,23.89,22.22
1171,10967,NDIR-SERT,14/2/2022,8,5.29,0,CALM,Fair,79,73,83,0,0,29.67,0,26.11,22.78
1172,10979,NDIR-SERT,14/2/2022,9,8.86,0.01,E,Partly Cloudy,82,72,70,3,0,29.67,0,27.78,22.22
1173,10986,NDIR-SERT,14/2/2022,10,36.45,0,ESE,Fair,86,72,62,5,0,29.7,0,30,22.22
1174,10998,NDIR-SERT,14/2/2022,11,32.36,0,S,Mostly Cloudy,88,72,58,5,0,29.7,0,31.11,22.22
1175,11003,NDIR-SERT,14/2/2022,12,28.56,0,S,Mostly Cloudy,88,70,55,6,0,29.67,0,31.11,21.11
1176,11011,NDIR-SERT,14/2/2022,13,22.02,0,S,Fair,90,70,52,6,0,29.64,0,32.22,21.11
1177,11020,NDIR-SERT,14/2/2022,14,24.68,0,VAR,Fair,93,70,46,5,0,29.58,0,33.89,21.11
1178,11032,NDIR-SERT,14/2/2022,15,28.85,0,S,Fair,91,66,43,6,0,29.55,0,32.78,18.89
1179,11039,NDIR-SERT,14/2/2022,16,35.07,0,S,Fair,91,68,46,5,0,29.55,0,32.78,20
1180,11051,NDIR-SERT,14/2/2022,17,33.25,0,S,Fair,91,68,46,5,0,29.55,0,32.78,20
1181,11058,NDIR-SERT,14/2/2022,18,18.71,0,VAR,Fair,90,70,52,2,0,29.55,0,32.22,21.11
1182,11066,NDIR-SERT,14/2/2022,19,13.46,0,E,Fair,82,68,62,3,0,29.58,0,27.78,20
1183,11077,NDIR-SERT,14/2/2022,20,11.72,0,VAR,Fair,82,68,62,2,0,29.61,0,27.78,20
1192,11164,NDIR-SERT,15/2/2022,6,6.77,0,CALM,Light Drizzle,77,73,89,0,0,29.67,0,25,22.78
1193,11174,NDIR-SERT,15/2/2022,7,6.28,0,VAR,Cloudy,77,72,83,2,0,29.7,0,25,22.22
1194,11186,NDIR-SERT,15/2/2022,8,6.95,0,VAR,Cloudy,77,72,83,1,0,29.7,0,25,22.22
1195,11192,NDIR-SERT,15/2/2022,9,9.92,0,N,Fair,77,72,83,5,0,29.73,0,25,22.22
1196,11201,NDIR-SERT,15/2/2022,10,42.1,0,N,Fair,79,72,78,5,0,29.75,0,26.11,22.22
1197,11213,NDIR-SERT,15/2/2022,11,41.05,0,NNW,Partly Cloudy,79,72,78,3,0,29.73,0,26.11,22.22
1198,11222,NDIR-SERT,15/2/2022,12,34.64,0,NW,Fair,81,72,74,5,0,29.73,0,27.22,22.22
1199,11229,NDIR-SERT,15/2/2022,13,38.05,0,NW,Fair,82,68,62,5,0,29.67,0,27.78,20
1200,11236,NDIR-SERT,15/2/2022,14,39.91,0,WNW,Mostly Cloudy,81,70,70,7,0,29.64,0,27.22,21.11
1201,11245,NDIR-SERT,15/2/2022,15,32.76,0,NW,Light Drizzle,77,70,78,6,0,29.64,0,25,21.11
1202,11255,NDIR-SERT,15/2/2022,16,32.8,0,W,Light Rain,77,72,83,7,0,29.64,0,25,22.22
1203,11263,NDIR-SERT,15/2/2022,17,30.62,0,NNW,Light Rain,75,73,94,3,0,29.64,0,23.89,22.78
1204,11274,NDIR-SERT,15/2/2022,18,19.07,0,NNW,Partly Cloudy,75,72,89,5,0,29.64,0,23.89,22.22
1205,11283,NDIR-SERT,15/2/2022,19,11.27,0,VAR,Fair,73,72,94,2,0,29.67,0,22.78,22.22
1206,11292,NDIR-SERT,15/2/2022,20,8.6,0,VAR,Fair,73,72,94,2,0,29.67,0,22.78,22.22
1215,11382,NDIR-SERT,16/2/2022,6,6.17,0,NNW,Light Rain,73,72,94,3,0,29.64,0,22.78,22.22
1216,11392,NDIR-SERT,16/2/2022,7,5.92,0,VAR,Light Rain,73,72,94,1,0,29.64,0,22.78,22.22
