id,new_date,hour,load_kW,demand_kWh,supply_kWh,net_kWh
54743,2022-10-27,8,6.86,5.85,0,-5.85
54769,2022-10-27,19,9.03,16.55,0,-16.55
54775,2022-10-27,20,10.12,10.64,0,-10.64
54819,2022-10-28,7,4.81,5.61,0,-5.61
54827,2022-10-28,8,8.8,3.67,0.29,-3.38
54873,2022-10-29,9,17.96,0,3.77,3.77
54892,2022-10-29,16,10.94,2.38,0.28,-2.1
54945,2022-10-30,7,4.26,4.67,0,-4.67
54957,2022-10-30,11,37.2,0,15.84,15.84
54996,2022-10-31,1,6.74,6.91,0,-6.91
55008,2022-10-31,5,6.4,6.21,0,-6.21
55138,2022-10-31,18,23.42,26.89,0,-26.89
55494,2022-11-01,18,25.19,24.08,0,-24.08
55502,2022-11-01,19,8.8,9.47,0,-9.47
55511,2022-11-01,20,8.59,8.18,0,-8.18
55523,2022-11-01,9,21.45,9.5,0.03,-9.47
55532,2022-11-01,8,9.27,4.04,0,-4.04
55541,2022-11-01,6,5.74,5.03,0,-5.03
55550,2022-11-01,7,7.19,4.92,0,-4.92
55559,2022-11-01,10,34.97,12.64,0.01,-12.63
55577,2022-11-01,21,7.86,8.53,0,-8.53
55586,2022-11-01,12,40.59,16.03,0,-16.03
55595,2022-11-01,13,34.83,23.83,0,-23.83
55604,2022-11-01,11,27.21,15.17,0.06,-15.11
55614,2022-11-01,14,55.33,23.25,0,-23.25
55622,2022-11-01,15,41.89,38.08,0,-38.08
55632,2022-11-01,16,47.31,36.21,0,-36.21
55640,2022-11-01,17,29.11,33.85,0,-33.85
55649,2022-11-01,5,5.64,6.36,0,-6.36
55658,2022-11-01,4,6.13,6.15,0,-6.15
55667,2022-11-01,3,5.98,6.57,0,-6.57
55676,2022-11-01,2,7.3,6.92,0,-6.92
55687,2022-11-01,1,6.72,6.76,0,-6.76
55694,2022-11-01,22,6.92,7.58,0,-7.58
55703,2022-11-01,23,7.09,7.24,0,-7.24
55712,2022-11-02,1,7.23,6.94,0,-6.94
55721,2022-11-02,2,5.53,7.03,0,-7.03
55730,2022-11-02,3,4.95,6.55,0,-6.55
55739,2022-11-02,4,6.68,6.42,0,-6.42
55748,2022-11-02,5,4.48,6.36,0,-6.36
55757,2022-11-02,6,6.39,5.97,0,-5.97
55766,2022-11-02,7,6.7,4.89,0,-4.89
55776,2022-11-02,8,14.54,0.75,1.48,0.73
55784,2022-11-02,9,16.85,0.09,2.28,2.19
55793,2022-11-02,10,32.68,11.05,0,-11.05
55802,2022-11-02,11,38.76,9.94,0,-9.94
55811,2022-11-02,12,34.73,16.01,0,-16.01
55820,2022-11-02,13,40.12,23.59,0,-23.59
55829,2022-11-02,14,40.91,21.05,0,-21.05
55838,2022-11-02,15,35.41,25.69,0,-25.69
55847,2022-11-02,16,37.11,27.19,0,-27.19
55856,2022-11-02,17,28.79,32.23,0,-32.23
55865,2022-11-02,18,10.6,16.75,0,-16.75
55874,2022-11-02,19,8.47,11.2,0,-11.2
55883,2022-11-02,20,6.9,7.49,0,-7.49
55892,2022-11-02,21,6.38,10.19,0,-10.19
55901,2022-11-02,22,6.72,6.46,0,-6.46
55910,2022-11-02,23,6.41,6.5,0,-6.5
55919,2022-11-03,1,6.13,6.35,0,-6.35
55928,2022-11-03,2,5.99,6.19,0,-6.19
55937,2022-11-03,3,6.72,6.03,0,-6.03
55946,2022-11-03,4,6.28,5.98,0,-5.98
55955,2022-11-03,5,6.06,5.81,0,-5.81
55964,2022-11-03,6,4.26,5.78,0,-5.78
55973,2022-11-03,7,4.86,4.61,0,-4.61
55982,2022-11-03,8,13.58,1.02,0.99,-0.03
55991,2022-11-03,9,15.76,5.97,0.64,-5.33
56000,2022-11-03,10,22.07,5.42,0.13,-5.29
56010,2022-11-03,11,22.02,7.73,0.06,-7.67
56018,2022-11-03,12,33.19,6.58,0.3,-6.28
56027,2022-11-03,13,33.56,9.92,0,-9.92
56036,2022-11-03,14,25.32,12.99,0,-12.99
56045,2022-11-03,15,30.95,18.59,0,-18.59
56054,2022-11-03,17,25.56,27.03,0,-27.03
56065,2022-11-03,18,10.84,15.95,0,-15.95
56073,2022-11-03,19,7.6,9.86,0,-9.86
56081,2022-11-03,20,8.9,7.96,0,-7.96
56090,2022-11-03,21,8.73,8.03,0,-8.03
56099,2022-11-03,22,6.33,8,0,-8
56108,2022-11-03,23,6.48,8,0,-8
56117,2022-11-04,1,8.14,7.55,0,-7.55
56126,2022-11-04,2,6.53,7.03,0,-7.03
56135,2022-11-04,3,6.21,6.21,0,-6.21
56144,2022-11-04,4,6.04,6.07,0,-6.07
56153,2022-11-04,5,6.06,6.13,0,-6.13
56164,2022-11-04,6,4.72,5.81,0,-5.81
56171,2022-11-04,7,5.28,4.56,0,-4.56
56180,2022-11-04,8,12.35,0.75,1.35,0.6
56189,2022-11-04,9,20.06,0.11,3.33,3.22
56198,2022-11-04,10,21.48,0.74,2.13,1.39
56208,2022-11-04,11,20.55,1.51,1.59,0.08
56216,2022-11-04,12,28.28,1.83,1.45,-0.38
56225,2022-11-04,14,29.21,7.05,0.05,-7
56234,2022-11-04,15,32.66,14.19,0,-14.19
56243,2022-11-04,16,19.9,16.17,0,-16.17
56252,2022-11-04,17,16.01,16.16,0,-16.16
56261,2022-11-04,18,8.25,11.31,0,-11.31
56270,2022-11-04,19,6.5,8.23,0,-8.23
56279,2022-11-04,20,7.94,7.85,0,-7.85
56288,2022-11-04,21,7.72,8,0,-8
56297,2022-11-04,22,7.68,7.54,0,-7.54
56306,2022-11-04,23,7.48,7.69,0,-7.69
56315,2022-11-05,1,6.94,6.8,0,-6.8
56325,2022-11-05,2,6.05,6.15,0,-6.15
56333,2022-11-05,3,6.6,6.16,0,-6.16
56343,2022-11-05,4,6.96,6.06,0,-6.06
56351,2022-11-05,5,6.2,6.16,0,-6.16
56360,2022-11-05,6,3.87,5.42,0,-5.42
56369,2022-11-05,7,3.12,4.06,0,-4.06
56378,2022-11-05,8,14.97,0.33,1.9,1.57
56387,2022-11-05,9,27.62,0,8.9,8.9
56396,2022-11-05,10,33.06,0,13.55,13.55
56405,2022-11-05,11,36.18,0,15.47,15.47
56414,2022-11-05,12,33.79,0,15.54,15.54
56423,2022-11-05,13,32.09,0,13.05,13.05
56432,2022-11-05,14,30.53,0,12.37,12.37
56441,2022-11-05,15,18.68,0,8.61,8.61
56450,2022-11-05,16,8.79,0.19,2.71,2.52
56459,2022-11-05,17,6.8,4.51,0,-4.51
56468,2022-11-05,18,6.05,7.61,0,-7.61
56477,2022-11-05,19,6.35,7.88,0,-7.88
56486,2022-11-05,20,8.25,7.69,0,-7.69
56495,2022-11-05,21,7.07,7.45,0,-7.45
56504,2022-11-05,22,6.99,7.02,0,-7.02
56513,2022-11-05,23,7.44,7.2,0,-7.2
56522,2022-11-06,1,7.53,7.25,0,-7.25
56531,2022-11-06,2,7.53,6.93,0,-6.93
56541,2022-11-06,3,6.36,6.59,0,-6.59
56551,2022-11-06,4,6.41,6.33,0,-6.33
56558,2022-11-06,5,5.36,6.2,0,-6.2
56567,2022-11-06,6,6.36,6.02,0,-6.02
56576,2022-11-06,7,3.67,4.18,0,-4.18
56585,2022-11-06,8,14.59,0.52,1.46,0.94
56594,2022-11-06,9,25.29,0,7.35,7.35
56603,2022-11-06,10,34.4,0,12.45,12.45
