,level_0,id,name,new_date,hour,demand_kWh,supply_kWh,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,0,43,NDIR-SERT,2021-12-01,7,4.29,0.0,75ʡF,57ʡF,53ʡ%,VAR,2ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fair
1,1,50,NDIR-SERT,2021-12-01,8,2.84,0.06,75ʡF,57ʡF,53ʡ%,VAR,3ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair
2,2,56,NDIR-SERT,2021-12-01,9,7.44,0.01,79ʡF,57ʡF,47ʡ%,VAR,2ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair
3,3,66,NDIR-SERT,2021-12-01,11,7.45,0.0,82ʡF,54ʡF,37ʡ%,VAR,3ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair
4,4,70,NDIR-SERT,2021-12-01,12,11.24,0.0,84ʡF,54ʡF,35ʡ%,VAR,3ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fair
5,5,78,NDIR-SERT,2021-12-01,13,13.85,0.0,86ʡF,54ʡF,33ʡ%,VAR,2ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Fair
6,6,87,NDIR-SERT,2021-12-01,14,18.51,0.0,86ʡF,54ʡF,33ʡ%,ESE,5ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Fair
7,7,91,NDIR-SERT,2021-12-01,15,11.05,0.0,88ʡF,55ʡF,33ʡ%,ESE,5ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Fair
8,8,99,NDIR-SERT,2021-12-01,16,21.28,0.0,88ʡF,55ʡF,33ʡ%,VAR,2ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Fair
9,9,106,NDIR-SERT,2021-12-01,17,30.91,0.0,86ʡF,54ʡF,33ʡ%,VAR,2ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Fair
10,10,117,NDIR-SERT,2021-12-01,18,11.33,0.0,81ʡF,59ʡF,48ʡ%,ESE,1ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Fair
11,11,120,NDIR-SERT,2021-12-01,19,10.14,0.0,77ʡF,61ʡF,57ʡ%,VAR,1ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Fair
12,12,126,NDIR-SERT,2021-12-08,5,3.78,0.0,,,,,,,,,
13,13,135,NDIR-SERT,2021-12-08,6,5.33,0.0,63ʡF,55ʡF,77ʡ%,VAR,1ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair
14,14,142,NDIR-SERT,2021-12-08,7,4.41,0.0,63ʡF,57ʡF,82ʡ%,VAR,1ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair
15,15,149,NDIR-SERT,2021-12-08,8,2.72,0.2,70ʡF,55ʡF,60ʡ%,VAR,2ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair
16,16,158,NDIR-SERT,2021-12-08,9,1.99,1.03,73ʡF,55ʡF,53ʡ%,ENE,3ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair
17,17,165,NDIR-SERT,2021-12-08,10,2.54,1.85,77ʡF,54ʡF,44ʡ%,NE,3ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair
18,18,174,NDIR-SERT,2021-12-08,11,4.5,4.41,81ʡF,46ʡF,30ʡ%,SE,3ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Fair
19,19,184,NDIR-SERT,2021-12-08,12,4.9,4.88,82ʡF,50ʡF,32ʡ%,WNW,3ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair
20,20,193,NDIR-SERT,2021-12-08,13,4.64,4.26,82ʡF,52ʡF,35ʡ%,WSW,3ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair
21,21,202,NDIR-SERT,2021-12-08,14,2.83,1.02,82ʡF,50ʡF,32ʡ%,W,5ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fair
22,22,211,NDIR-SERT,2021-12-08,15,5.38,0.19,84ʡF,54ʡF,35ʡ%,WSW,5ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Fair
23,23,219,NDIR-SERT,2021-12-08,16,9.07,0.0,82ʡF,54ʡF,37ʡ%,W,5ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Fair
24,24,228,NDIR-SERT,2021-12-08,17,11.39,0.0,82ʡF,54ʡF,37ʡ%,W,5ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Fair
25,25,239,NDIR-SERT,2021-12-08,18,9.08,0.0,79ʡF,55ʡF,44ʡ%,W,5ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Fair
26,26,248,NDIR-SERT,2021-12-08,19,8.1,0.0,73ʡF,59ʡF,61ʡ%,NNW,1ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fair
27,27,255,NDIR-SERT,2021-12-08,20,6.38,0.0,72ʡF,61ʡF,69ʡ%,CALM,0ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Fair
28,28,267,NDIR-SERT,2021-12-08,21,5.63,0.0,,,,,,,,,
29,29,275,NDIR-SERT,2021-12-08,22,5.39,0.0,,,,,,,,,
30,30,285,NDIR-SERT,2021-12-08,23,5.32,0.0,,,,,,,,,
31,31,300,NDIR-SERT,2021-12-09,1,5.18,0.0,,,,,,,,,
32,32,310,NDIR-SERT,2021-12-09,2,5.09,0.0,,,,,,,,,
33,33,320,NDIR-SERT,2021-12-09,3,5.16,0.0,,,,,,,,,
34,34,329,NDIR-SERT,2021-12-09,4,4.91,0.0,,,,,,,,,
35,35,339,NDIR-SERT,2021-12-09,5,4.95,0.0,,,,,,,,,
36,36,345,NDIR-SERT,2021-12-09,6,5.07,0.0,66ʡF,61ʡF,83ʡ%,N,2ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair
