,datetime,nat_demand,date,newdate,newtime,y,m,d
51,2015-01-05 04:00:00,881.0019,2015-01-05 04:00:00,2015-01-05,04:00:00,2015,1,5
52,2015-01-05 05:00:00,885.4197,2015-01-05 05:00:00,2015-01-05,05:00:00,2015,1,5
53,2015-01-05 06:00:00,902.0863,2015-01-05 06:00:00,2015-01-05,06:00:00,2015,1,5
54,2015-01-05 07:00:00,1037.157,2015-01-05 07:00:00,2015-01-05,07:00:00,2015,1,5
55,2015-01-05 08:00:00,1191.9135,2015-01-05 08:00:00,2015-01-05,08:00:00,2015,1,5
56,2015-01-05 09:00:00,1319.8159,2015-01-05 09:00:00,2015-01-05,09:00:00,2015,1,5
57,2015-01-05 10:00:00,1383.0651,2015-01-05 10:00:00,2015-01-05,10:00:00,2015,1,5
58,2015-01-05 11:00:00,1415.1816,2015-01-05 11:00:00,2015-01-05,11:00:00,2015,1,5
59,2015-01-05 12:00:00,1398.8659,2015-01-05 12:00:00,2015-01-05,12:00:00,2015,1,5
60,2015-01-05 13:00:00,1430.5514,2015-01-05 13:00:00,2015-01-05,13:00:00,2015,1,5
61,2015-01-05 14:00:00,1413.9896,2015-01-05 14:00:00,2015-01-05,14:00:00,2015,1,5
62,2015-01-05 15:00:00,1378.7528,2015-01-05 15:00:00,2015-01-05,15:00:00,2015,1,5
63,2015-01-05 16:00:00,1292.2593,2015-01-05 16:00:00,2015-01-05,16:00:00,2015,1,5
64,2015-01-05 17:00:00,1178.1032,2015-01-05 17:00:00,2015-01-05,17:00:00,2015,1,5
65,2015-01-05 18:00:00,1188.0149,2015-01-05 18:00:00,2015-01-05,18:00:00,2015,1,5
66,2015-01-05 19:00:00,1207.7648,2015-01-05 19:00:00,2015-01-05,19:00:00,2015,1,5
67,2015-01-05 20:00:00,1156.6583,2015-01-05 20:00:00,2015-01-05,20:00:00,2015,1,5
68,2015-01-05 21:00:00,1114.1973,2015-01-05 21:00:00,2015-01-05,21:00:00,2015,1,5
69,2015-01-05 22:00:00,1066.7578,2015-01-05 22:00:00,2015-01-05,22:00:00,2015,1,5
70,2015-01-05 23:00:00,1002.3568,2015-01-05 23:00:00,2015-01-05,23:00:00,2015,1,5
71,2015-01-06 00:00:00,931.5394,2015-01-06 00:00:00,2015-01-06,00:00:00,2015,1,6
72,2015-01-06 01:00:00,914.6895,2015-01-06 01:00:00,2015-01-06,01:00:00,2015,1,6
73,2015-01-06 02:00:00,890.8448,2015-01-06 02:00:00,2015-01-06,02:00:00,2015,1,6
74,2015-01-06 03:00:00,869.0447,2015-01-06 03:00:00,2015-01-06,03:00:00,2015,1,6
75,2015-01-06 04:00:00,852.4821,2015-01-06 04:00:00,2015-01-06,04:00:00,2015,1,6
76,2015-01-06 05:00:00,891.2575,2015-01-06 05:00:00,2015-01-06,05:00:00,2015,1,6
77,2015-01-06 06:00:00,895.6612,2015-01-06 06:00:00,2015-01-06,06:00:00,2015,1,6
78,2015-01-06 07:00:00,1006.3031,2015-01-06 07:00:00,2015-01-06,07:00:00,2015,1,6
79,2015-01-06 08:00:00,1183.9851,2015-01-06 08:00:00,2015-01-06,08:00:00,2015,1,6
80,2015-01-06 09:00:00,1311.9373,2015-01-06 09:00:00,2015-01-06,09:00:00,2015,1,6
81,2015-01-06 10:00:00,1384.2441,2015-01-06 10:00:00,2015-01-06,10:00:00,2015,1,6
82,2015-01-06 11:00:00,1401.9173,2015-01-06 11:00:00,2015-01-06,11:00:00,2015,1,6
83,2015-01-06 12:00:00,1415.6382,2015-01-06 12:00:00,2015-01-06,12:00:00,2015,1,6
84,2015-01-06 13:00:00,1437.47,2015-01-06 13:00:00,2015-01-06,13:00:00,2015,1,6
85,2015-01-06 14:00:00,1430.0527,2015-01-06 14:00:00,2015-01-06,14:00:00,2015,1,6
86,2015-01-06 15:00:00,1383.4537,2015-01-06 15:00:00,2015-01-06,15:00:00,2015,1,6
87,2015-01-06 16:00:00,1325.206,2015-01-06 16:00:00,2015-01-06,16:00:00,2015,1,6
88,2015-01-06 17:00:00,1166.9817,2015-01-06 17:00:00,2015-01-06,17:00:00,2015,1,6
89,2015-01-06 18:00:00,1163.0865,2015-01-06 18:00:00,2015-01-06,18:00:00,2015,1,6
90,2015-01-06 19:00:00,1197.1559,2015-01-06 19:00:00,2015-01-06,19:00:00,2015,1,6
91,2015-01-06 20:00:00,1155.743,2015-01-06 20:00:00,2015-01-06,20:00:00,2015,1,6
92,2015-01-06 21:00:00,1116.5382,2015-01-06 21:00:00,2015-01-06,21:00:00,2015,1,6
93,2015-01-06 22:00:00,1086.2051,2015-01-06 22:00:00,2015-01-06,22:00:00,2015,1,6
94,2015-01-06 23:00:00,1030.0292,2015-01-06 23:00:00,2015-01-06,23:00:00,2015,1,6
95,2015-01-07 00:00:00,979.6728,2015-01-07 00:00:00,2015-01-07,00:00:00,2015,1,7
96,2015-01-07 01:00:00,940.4568,2015-01-07 01:00:00,2015-01-07,01:00:00,2015,1,7
97,2015-01-07 02:00:00,908.5931,2015-01-07 02:00:00,2015-01-07,02:00:00,2015,1,7
98,2015-01-07 03:00:00,886.4675,2015-01-07 03:00:00,2015-01-07,03:00:00,2015,1,7
99,2015-01-07 04:00:00,876.4283,2015-01-07 04:00:00,2015-01-07,04:00:00,2015,1,7
100,2015-01-07 05:00:00,892.4143,2015-01-07 05:00:00,2015-01-07,05:00:00,2015,1,7
101,2015-01-07 06:00:00,907.9188,2015-01-07 06:00:00,2015-01-07,06:00:00,2015,1,7
