id,name,new_date,new_datetime,hour,demand_kWh,supply_kWh
129,120kW,2021-12-08,2021-12-08 05:35:36,5,0,0
130,SEPCON LAB,2021-12-08,2021-12-08 05:35:36,5,0.78,0
131,SGTECH,2021-12-08,2021-12-08 05:35:36,5,0.48,0
132,TESTING,2021-12-08,2021-12-08 05:35:36,5,0.36,0
133,SIMINAR,2021-12-08,2021-12-08 06:05:36,6,0.03,0
134,350kW,2021-12-08,2021-12-08 06:05:36,6,0,0
135,NDIR-SERT,2021-12-08,2021-12-08 06:05:36,6,5.33,0
136,120kW,2021-12-08,2021-12-08 06:05:36,6,0,0
137,SGTECH,2021-12-08,2021-12-08 06:05:36,6,0.62,0
138,TESTING,2021-12-08,2021-12-08 06:05:36,6,0.48,0
139,SEPCON LAB,2021-12-08,2021-12-08 06:05:36,6,1.04,0
140,SIMINAR,2021-12-08,2021-12-08 07:04:37,7,0.01,0
141,120kW,2021-12-08,2021-12-08 07:04:37,7,0,0
142,NDIR-SERT,2021-12-08,2021-12-08 07:04:37,7,4.41,0
143,SGTECH,2021-12-08,2021-12-08 07:04:37,7,0.43,0
144,350kW,2021-12-08,2021-12-08 07:04:37,7,0,0
145,TESTING,2021-12-08,2021-12-08 07:04:37,7,0.19,0
146,SEPCON LAB,2021-12-08,2021-12-08 07:04:37,7,0.63,0
147,SIMINAR,2021-12-08,2021-12-08 08:04:01,8,0.02,0
148,350kW,2021-12-08,2021-12-08 08:04:01,8,0,15.64
149,NDIR-SERT,2021-12-08,2021-12-08 08:04:01,8,2.72,0.2
150,120kW,2021-12-08,2021-12-08 08:04:01,8,0,5.33
151,SGTECH,2021-12-08,2021-12-08 08:04:01,8,0.95,0
152,TESTING,2021-12-08,2021-12-08 08:04:01,8,0.18,0
153,APST,2021-12-08,2021-12-08 08:04:01,8,1.23,0
154,SEPCON LAB,2021-12-08,2021-12-08 08:04:01,8,0.6,0
155,TBat,2021-12-08,2021-12-08 08:04:01,8,212.85,-185751.61
156,SIMINAR,2021-12-08,2021-12-08 09:02:59,9,0.1,0
157,350kW,2021-12-08,2021-12-08 09:02:59,9,0,62.94
158,NDIR-SERT,2021-12-08,2021-12-08 09:02:59,9,1.99,1.03
159,120kW,2021-12-08,2021-12-08 09:02:59,9,0,16.51
160,SGTECH,2021-12-08,2021-12-08 09:02:59,9,3.44,0
161,SEPCON LAB,2021-12-08,2021-12-08 09:02:59,9,0.61,0
162,TESTING,2021-12-08,2021-12-08 09:02:59,9,0.18,0
163,APST,2021-12-08,2021-12-08 09:02:59,9,16.51,0
164,TBat,2021-12-08,2021-12-08 09:02:59,9,0,0
165,NDIR-SERT,2021-12-08,2021-12-08 10:03:13,10,2.54,1.85
166,350kW,2021-12-08,2021-12-08 10:03:13,10,0,102.25
167,SIMINAR,2021-12-08,2021-12-08 10:03:13,10,0.02,0
168,120kW,2021-12-08,2021-12-08 10:03:13,10,0,24.3
169,SEPCON LAB,2021-12-08,2021-12-08 10:03:13,10,2.92,0
170,TESTING,2021-12-08,2021-12-08 10:03:13,10,0.18,0
171,SGTECH,2021-12-08,2021-12-08 10:03:13,10,4.5,0
172,APST,2021-12-08,2021-12-08 10:03:13,10,24.3,0
173,TBat,2021-12-08,2021-12-08 10:03:13,10,-212.85,185956.06
174,NDIR-SERT,2021-12-08,2021-12-08 11:02:34,11,4.5,4.41
175,SIMINAR,2021-12-08,2021-12-08 11:02:34,11,1.27,0
176,350kW,2021-12-08,2021-12-08 11:02:34,11,0,127.99
177,120kW,2021-12-08,2021-12-08 11:02:34,11,0,31.56
178,SEPCON LAB,2021-12-08,2021-12-08 11:02:34,11,3.23,0
179,TESTING,2021-12-08,2021-12-08 11:02:34,11,0.19,0
180,SGTECH,2021-12-08,2021-12-08 11:02:34,11,5.69,0
181,APST,2021-12-08,2021-12-08 11:02:34,11,31.56,0
182,TBat,2021-12-08,2021-12-08 11:02:34,11,212.85,-185956.06
183,SIMINAR,2021-12-08,2021-12-08 12:03:23,12,1.63,0
184,NDIR-SERT,2021-12-08,2021-12-08 12:03:23,12,4.9,4.88
185,350kW,2021-12-08,2021-12-08 12:03:23,12,0,135.1
186,120kW,2021-12-08,2021-12-08 12:03:23,12,0,34.39
187,SGTECH,2021-12-08,2021-12-08 12:03:23,12,5.52,0
188,SEPCON LAB,2021-12-08,2021-12-08 12:03:23,12,3.32,0
189,TESTING,2021-12-08,2021-12-08 12:03:23,12,0.18,0
190,TBat,2021-12-08,2021-12-08 12:03:23,12,0,0
191,APST,2021-12-08,2021-12-08 12:03:23,12,34.39,0
192,SIMINAR,2021-12-08,2021-12-08 13:03:22,13,1.79,0
193,NDIR-SERT,2021-12-08,2021-12-08 13:03:22,13,4.64,4.26
194,SGTECH,2021-12-08,2021-12-08 13:03:22,13,5.03,0
195,120kW,2021-12-08,2021-12-08 13:03:22,13,0,35.09
196,350kW,2021-12-08,2021-12-08 13:03:22,13,0,128.75
197,SEPCON LAB,2021-12-08,2021-12-08 13:03:22,13,3.26,0
