date,new_date,hour,load_kW,demand(kWh),supply(kWh),net_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),time_idx,group,wind_direction,weather_condition,hour_group,work_time,holiday,weekend,workday
2022-03-01,3/1/2022,10,27.74,0.0,8.85,8.85,E,Fair,81.0,61.0,51.0,3.0,0.0,29.87,0.0,34,a,12,0.0,0,1,1,1,1
2022-03-01,3/1/2022,11,30.39,0.0,12.82,12.82,VAR,Fair,82.0,59.0,45.0,3.0,0.0,29.84,0.0,35,a,0,0.0,0,1,1,1,1
2022-03-01,3/1/2022,12,33.99,0.0,9.53,9.53,W,Fair,84.0,61.0,45.0,5.0,0.0,29.81,0.0,36,a,7,0.0,0,1,1,1,1
2022-03-01,3/1/2022,13,31.99,0.0,10.35,10.35,NW,Fair,84.0,61.0,45.0,7.0,0.0,29.75,0.0,37,a,11,0.0,1,1,1,1,1
2022-03-01,3/1/2022,14,34.07,0.0,11.97,11.97,NW,Fair,86.0,61.0,43.0,7.0,0.0,29.73,0.0,38,a,11,0.0,1,1,1,1,1
2022-03-01,3/1/2022,15,20.54,0.0,8.87,8.87,W,Fair,86.0,61.0,43.0,8.0,0.0,29.7,0.0,39,a,7,0.0,1,1,1,1,1
2022-03-01,3/1/2022,16,10.85,0.07,4.54,4.47,WNW,Fair,86.0,63.0,45.0,7.0,0.0,29.7,0.0,40,a,5,0.0,1,1,1,1,1
2022-03-01,3/1/2022,17,6.49,2.21,0.73,-1.48,W,Fair,84.0,63.0,48.0,6.0,0.0,29.7,0.0,41,a,7,0.0,1,1,1,1,1
2022-03-01,3/1/2022,18,5.97,5.32,0.0,-5.32,W,Fair,81.0,63.0,54.0,5.0,0.0,29.73,0.0,42,a,7,0.0,1,0,1,1,1
2022-03-01,3/1/2022,19,7.36,7.16,0.0,-7.16,N,Fair,77.0,63.0,61.0,1.0,0.0,29.75,0.0,43,a,10,0.0,1,0,1,1,1
2022-03-01,3/1/2022,20,11.23,8.66,0.0,-8.66,N,Fair,75.0,64.0,69.0,1.0,0.0,29.78,0.0,44,a,10,0.0,1,0,1,1,1
2022-04-01,4/1/2022,6,5.18,5.57,0.0,-5.57,NW,Fair,68.0,64.0,88.0,1.0,0.0,29.78,0.0,45,a,11,0.0,0,0,1,1,1
2022-04-01,4/1/2022,7,3.56,5.11,0.0,-5.11,VAR,Fair,66.0,64.0,94.0,1.0,0.0,29.78,0.0,46,a,0,0.0,0,0,1,1,1
2022-04-01,4/1/2022,8,6.44,4.85,0.0,-4.85,VAR,Fair,70.0,66.0,88.0,1.0,0.0,29.84,0.0,47,a,0,0.0,0,1,1,1,1
2022-04-01,4/1/2022,9,8.51,3.54,0.12,-3.42,VAR,Fair,73.0,64.0,73.0,2.0,0.0,29.84,0.0,48,a,0,0.0,0,1,1,1,1
2022-04-01,4/1/2022,10,30.5,1.67,2.22,0.55,VAR,Fair,77.0,64.0,65.0,2.0,0.0,29.87,0.0,49,a,0,0.0,0,1,1,1,1
2022-04-01,4/1/2022,11,21.69,0.16,7.72,7.56,VAR,Fair,82.0,61.0,48.0,3.0,0.0,29.84,0.0,50,a,0,0.0,0,1,1,1,1
2022-04-01,4/1/2022,12,34.22,0.28,7.16,6.88,VAR,Fair,84.0,61.0,45.0,2.0,0.0,29.81,0.0,51,a,0,0.0,0,1,1,1,1
2022-04-01,4/1/2022,13,36.69,0.0,9.68,9.68,VAR,Fair,86.0,61.0,43.0,5.0,0.0,29.75,0.0,52,a,0,0.0,1,1,1,1,1
2022-04-01,4/1/2022,14,28.42,2.6,2.23,-0.37,VAR,Fair,86.0,61.0,43.0,5.0,0.0,29.73,0.0,53,a,0,0.0,1,1,1,1,1
2022-04-01,4/1/2022,15,28.61,13.54,0.0,-13.54,WSW,Fair,88.0,64.0,46.0,6.0,0.0,29.7,0.0,54,a,6,0.0,1,1,1,1,1
2022-04-01,4/1/2022,16,27.33,17.48,0.0,-17.48,SW,Fair,86.0,63.0,45.0,6.0,0.0,29.7,0.0,55,a,14,0.0,1,1,1,1,1
2022-04-01,4/1/2022,17,24.65,20.9,0.0,-20.9,WSW,Fair,86.0,63.0,45.0,6.0,0.0,29.73,0.0,56,a,6,0.0,1,1,1,1,1
2022-04-01,4/1/2022,18,12.79,17.08,0.0,-17.08,WNW,Fair,82.0,63.0,51.0,3.0,0.0,29.73,0.0,57,a,5,0.0,1,0,1,1,1
2022-04-01,4/1/2022,19,10.46,13.84,0.0,-13.84,S,Fair,77.0,66.0,69.0,1.0,0.0,29.75,0.0,58,a,17,0.0,1,0,1,1,1
2022-04-01,4/1/2022,20,6.45,9.17,0.0,-9.17,SE,Fair,75.0,66.0,73.0,2.0,0.0,29.78,0.0,59,a,4,0.0,1,0,1,1,1
2022-04-01,4/1/2022,21,6.87,6.49,0.0,-6.49,ESE,Fair,75.0,68.0,78.0,3.0,0.0,29.78,0.0,60,a,1,0.0,1,0,1,1,1
2022-04-01,4/1/2022,22,6.44,6.39,0.0,-6.39,CALM,Fair,73.0,68.0,83.0,0.0,0.0,29.81,0.0,61,a,9,0.0,1,0,1,1,1
2022-05-01,5/1/2022,11,28.11,0.03,2.03,2.0,W,Fair,86.0,64.0,48.0,3.0,0.0,29.81,0.0,62,a,7,0.0,0,1,0,0,0
2022-05-01,5/1/2022,12,21.17,0.04,4.42,4.38,W,Fair,88.0,64.0,46.0,5.0,0.0,29.78,0.0,63,a,7,0.0,0,1,0,0,0
2022-05-01,5/1/2022,13,29.87,2.93,2.14,-0.79,SSE,Fair,86.0,64.0,48.0,3.0,0.0,29.75,0.0,64,a,13,0.0,1,1,0,0,0
2022-05-01,5/1/2022,14,31.3,16.82,0.03,-16.79,SSW,Fair,88.0,64.0,46.0,5.0,0.0,29.7,0.0,65,a,16,0.0,1,1,0,0,0
2022-05-01,5/1/2022,15,39.57,24.54,0.0,-24.54,W,Fair,90.0,64.0,43.0,5.0,0.0,29.7,0.0,66,a,7,0.0,1,1,0,0,0
2022-05-01,5/1/2022,16,39.16,31.31,0.0,-31.31,W,Fair,88.0,64.0,46.0,7.0,0.0,29.7,0.0,67,a,7,0.0,1,1,0,0,0
2022-05-01,5/1/2022,17,21.61,23.44,0.0,-23.44,W,Fair,88.0,64.0,46.0,7.0,0.0,29.7,0.0,68,a,7,0.0,1,1,0,0,0
2022-05-01,5/1/2022,18,0.0,19.61,0.0,-19.61,VAR,Fair,82.0,64.0,54.0,2.0,0.0,29.7,0.0,69,a,0,0.0,1,0,0,0,0
2022-05-01,5/1/2022,19,11.26,13.69,0.0,-13.69,VAR,Fair,77.0,68.0,74.0,1.0,0.0,29.73,0.0,70,a,0,0.0,1,0,0,0,0
2022-05-01,5/1/2022,20,10.38,9.53,0.0,-9.53,NW,Fair,75.0,68.0,78.0,1.0,0.0,29.73,0.0,71,a,11,0.0,1,0,0,0,0
2022-06-01,6/1/2022,6,6.4,1.87,0.0,-1.87,VAR,Fair,66.0,64.0,94.0,2.0,0.0,29.75,0.0,72,a,0,0.0,0,0,1,1,1
2022-06-01,6/1/2022,7,3.15,5.2,0.0,-5.2,VAR,Fair,66.0,64.0,94.0,2.0,0.0,29.78,0.0,73,a,0,0.0,0,0,1,1,1
2022-06-01,6/1/2022,8,7.21,3.95,0.0,-3.95,VAR,Fair,70.0,64.0,83.0,2.0,0.0,29.81,0.0,74,a,0,0.0,0,1,1,1,1
2022-06-01,6/1/2022,9,11.78,1.89,0.55,-1.34,N,Fair,75.0,63.0,65.0,3.0,0.0,29.81,0.0,75,a,10,0.0,0,1,1,1,1
2022-06-01,6/1/2022,10,19.24,0.14,3.98,3.84,VAR,Fair,81.0,64.0,58.0,2.0,0.0,29.84,0.0,76,a,0,0.0,0,1,1,1,1
2022-06-01,6/1/2022,11,27.26,0.0,5.19,5.19,VAR,Fair,84.0,64.0,51.0,3.0,0.0,29.81,0.0,77,a,0,0.0,0,1,1,1,1
2022-06-01,6/1/2022,12,27.43,0.01,6.0,5.99,VAR,Fair,86.0,63.0,45.0,3.0,0.0,29.78,0.0,78,a,0,0.0,0,1,1,1,1
2022-06-01,6/1/2022,14,29.73,0.75,0.0,-0.75,VAR,Fair,90.0,64.0,43.0,3.0,0.0,29.7,0.0,79,a,0,0.0,1,1,1,1,1
2022-06-01,6/1/2022,15,32.0,13.17,0.0,-13.17,VAR,Fair,90.0,63.0,40.0,3.0,0.0,29.7,0.0,80,a,0,0.0,1,1,1,1,1
