name,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
sub102, 45.76 , 44.82 , 44.21 , 44.02 , 43.11 , 42.62 , 42.14 , 41.84 , 41.31 , 41.15 , 41.04 , 42.32 , 43.67 , 43.27 , 41.52 , 40.82 , 42.25 , 48.20 , 49.81 , 50.65 , 51.49 , 52.35 , 52.55 , 51.96 , 47.91 , 46.54 , 49.56 , 54.15 , 54.95 , 55.14 , 54.66 , 54.96 , 54.44 , 53.94 , 50.13 , 49.69 , 52.99 , 55.98 , 56.82 , 56.27 , 54.38 , 54.81 , 53.98 , 52.89 , 51.72 , 51.43 , 50.48 , 48.67 
sub103,26.178,25.176,24.386,23.675,23.050,22.588,22.129,21.789,21.873,22.993,25.275,28.672,29.052,26.997,24.140,21.858,20.579,20.791,20.552,20.676,20.733,20.788,20.998,21.257,20.604,20.398,21.362,21.818,22.971,22.863,23.134,23.404,23.563,24.303,24.739,25.919,29.669,35.353,39.324,40.394,39.989,38.909,37.152,34.680,32.131,30.392,28.621,27.210
sub104,27.115,26.527,26.080,25.643,25.314,24.951,24.633,24.360,24.171,24.064,24.055,24.141,23.655,24.175,23.849,23.572,23.296,23.908,24.741,25.849,26.753,27.160,27.344,27.458,27.414,27.351,27.482,28.136,28.734,29.075,29.146,29.384,29.253,28.995,28.493,28.398,29.373,32.052,33.704,34.090,34.073,33.554,32.531,31.362,30.322,29.415,28.603,27.848
sub105, 44.42 , 43.00 , 42.28 , 41.77 , 41.01 , 40.32 , 39.48 , 39.02 , 38.53 , 38.24 , 37.96 , 38.43 , 39.39 , 38.66 , 36.60 , 35.56 , 37.42 , 41.69 , 42.98 , 43.57 , 43.68 , 44.13 , 44.41 , 44.44 , 41.86 , 40.61 , 42.51 , 45.72 , 46.31 , 46.39 , 46.17 , 46.18 , 45.95 , 45.61 , 43.42 , 42.46 , 44.66 , 47.33 , 49.03 , 49.74 , 49.89 , 50.44 , 51.01 , 51.15 , 50.52 , 49.37 , 48.08 , 46.46 
sub106,12.505,12.143,11.841,11.610,11.397,11.252,11.112,11.000,10.963,11.059,11.264,11.858,12.346,12.387,12.035,11.844,11.636,11.910,12.075,12.228,12.281,12.397,12.442,12.523,12.366,12.332,12.600,13.153,13.330,13.388,13.369,13.342,13.032,12.780,12.531,12.725,13.775,15.131,16.317,16.850,16.697,16.336,15.749,15.058,14.367,14.227,13.535,12.997
sub107,48.4844356,47.8968926,47.10965419,46.57228226,45.94104091,45.56692655,45.02884167,44.80023231,44.55754842,44.94919316,45.67360063,47.06507467,48.70185207,49.02218036,47.08825494,46.19855746,46.78928504,50.75733564,52.01775515,52.1811564,52.48210056,52.91745673,53.41537486,53.78298471,50.95528953,49.04854601,50.57019983,54.58054754,54.72169902,54.52441739,53.99271652,53.66320514,52.43705364,51.61979594,48.44702584,47.02467774,48.28201374,51.46212735,54.22824509,54.05104851,53.35133501,52.96945108,52.08859924,51.34412679,49.69159652,51.8876199,50.82108263,49.94632253
sub108,42.453,41.260,39.971,38.958,38.201,37.426,36.754,36.182,35.607,35.351,35.575,36.096,36.253,36.534,36.640,37.614,38.972,41.466,42.755,43.652,44.166,45.025,46.030,46.250,45.883,45.398,46.756,48.978,49.935,50.651,51.305,51.893,51.953,51.707,50.360,50.156,51.711,53.462,54.131,53.391,52.216,51.722,50.968,49.568,48.322,46.944,45.855,44.218
sub109, 7.15 , 7.11 , 7.13 , 7.18 , 7.16 , 7.16 , 7.09 , 7.03 , 7.00 , 6.89 , 6.76 , 6.67 , 6.76 , 6.80 , 6.81 , 6.97 , 7.35 , 8.24 , 8.56 , 8.67 , 8.70 , 8.71 , 8.80 , 8.75 , 8.39 , 7.89 , 8.16 , 8.94 , 9.04 , 9.08 , 9.06 , 9.07 , 9.03 , 8.83 , 8.16 , 7.43 , 7.68 , 7.68 , 7.60 , 7.50 , 7.21 , 7.33 , 7.39 , 7.43 , 7.44 , 7.40 , 7.37 , 7.28 
sub110,32.349,31.245,30.952,31.482,30.651,30.435,29.887,29.895,29.768,29.806,29.320,29.892,30.906,31.023,30.333,29.989,32.027,35.277,35.863,36.011,36.019,36.363,36.608,36.360,34.090,32.242,34.363,37.060,37.300,37.241,37.055,37.450,37.365,36.723,34.685,34.058,35.234,35.500,35.737,35.185,34.478,35.186,35.070,34.945,34.926,35.023,34.451,33.825
sub111, 44.15 , 42.60 , 41.49 , 41.17 , 40.79 , 40.50 , 40.17 , 40.09 , 39.81 , 40.59 , 41.33 , 42.71 , 43.47 , 43.42 , 43.16 , 44.97 , 47.92 , 51.77 , 51.77 , 51.21 , 50.61 , 49.11 , 48.47 , 48.05 , 47.22 , 46.97 , 48.34 , 51.09 , 51.31 , 51.85 , 50.93 , 50.43 , 50.74 , 51.13 , 49.28 , 49.18 , 50.59 , 52.15 , 53.66 , 53.48 , 52.44 , 51.87 , 51.32 , 49.97 , 49.51 , 48.36 , 47.00 , 45.72 
sub112,11.27868227,11.03118365,10.71409428,10.59250509,10.40471127,10.45690433,10.3899213,10.42565077,10.32254905,10.38976561,10.40362149,10.52766271,11.06722449,11.24295279,11.5764279,11.80695696,12.02588757,12.84941695,13.09726586,13.17985622,13.28112866,13.47234752,13.31927123,13.58,12.81719037,12.75398267,12.87296416,13.37799147,13.45655468,13.41182536,13.3586982,13.48931707,13.32795767,13.10143041,12.20916655,11.92601629,11.55922482,12.20881626,12.32499544,12.3102833,11.87510763,12.02522592,11.8246271,11.59320552,11.67369147,11.53894698,11.65769494,11.58327799
sub113,27.199,26.331,25.453,24.686,24.105,23.466,22.956,22.470,22.237,22.071,21.956,21.935,22.018,22.238,22.032,21.846,21.786,22.593,23.566,24.111,24.516,24.821,25.200,25.554,25.702,25.817,26.215,27.181,27.763,28.186,28.350,28.409,28.196,28.054,27.641,27.515,28.307,29.727,30.735,31.339,31.636,31.896,31.943,31.790,31.330,30.595,29.636,28.438
sub114,6.216,6.097,5.992,5.956,5.870,5.797,5.734,5.737,5.751,6.002,6.354,7.003,7.609,7.564,7.383,7.110,6.788,6.715,6.626,6.630,6.652,6.714,6.776,6.722,6.664,6.574,6.589,6.753,6.800,6.894,6.884,6.945,6.980,7.090,7.350,8.133,9.691,10.090,9.871,9.335,8.810,8.224,7.516,7.069,6.698,6.769,6.536,6.326
sub115,29.003,28.082,27.421,26.753,26.147,25.696,25.253,24.788,24.337,24.409,24.813,26.001,26.266,26.297,25.762,25.612,26.155,28.595,29.601,30.286,31.054,31.346,31.719,31.891,31.149,30.649,31.015,32.657,33.071,33.219,33.017,32.582,31.939,31.303,30.428,30.768,33.768,37.704,39.421,39.304,38.775,37.948,36.362,34.723,32.954,32.714,31.491,30.184
sub116,36.953,35.692,35.357,35.962,35.014,34.767,34.141,34.151,34.005,34.048,33.493,34.146,35.305,35.438,34.651,34.258,36.586,40.298,40.968,41.137,41.146,41.538,41.819,41.535,38.942,36.831,39.254,42.335,42.608,42.542,42.329,42.780,42.684,41.950,39.622,38.906,40.249,40.553,40.823,40.192,39.385,40.194,40.061,39.919,39.897,40.008,39.354,38.640
sub117,44.821,43.466,42.257,41.260,40.447,39.937,39.351,38.930,38.569,38.868,39.712,41.591,43.881,45.275,44.975,44.681,45.286,46.910,47.379,48.043,48.321,48.698,48.767,49.004,48.337,47.784,48.723,51.110,52.060,52.587,52.741,53.013,52.729,52.089,50.658,50.128,51.492,54.410,56.831,57.950,57.360,56.398,55.110,53.649,51.615,50.251,48.404,46.599
sub118,14.820,14.084,13.561,12.990,12.721,12.570,12.394,12.206,12.322,12.501,13.055,14.241,15.452,15.366,14.626,13.894,14.133,15.265,15.662,16.006,16.411,16.498,16.783,16.755,15.872,15.005,15.750,17.965,18.583,18.684,18.630,18.200,17.895,17.095,15.574,15.269,17.644,20.967,24.021,25.107,25.194,24.512,23.237,21.598,19.884,18.203,16.742,15.535
sub119,23.837,22.939,22.164,21.515,20.951,20.377,19.833,19.378,19.052,18.804,18.750,18.956,18.908,18.599,18.392,18.254,18.362,19.343,20.709,21.794,22.491,22.985,23.418,23.743,23.799,23.754,23.870,24.587,25.206,25.425,25.573,25.401,25.233,24.494,23.356,22.927,24.351,27.574,30.052,30.827,30.902,30.708,30.109,29.134,27.988,26.940,25.855,24.796
sub120,44.13067183,43.27904661,42.58682168,41.85201722,40.83691077,40.09838751,39.57465474,39.42575878,39.52170611,39.971567,40.78149858,41.737574,43.60776408,44.23966359,42.43097797,41.0775997,41.13805513,43.51751835,44.25036965,45.13488212,46.24305601,46.82397139,47.15671822,47.09068998,45.13756205,44.70261867,45.50314157,47.98227768,48.12149289,47.98842222,47.66891768,47.37994512,46.93974068,45.64452066,44.84944223,44.30111654,46.03497278,49.82645808,52.35924515,52.36531091,51.40968584,50.69304061,49.49913707,48.37858105,47.3092458,48.71178197,46.93310326,45.48529652
sub121,23.049,22.428,21.866,21.367,20.899,20.538,20.273,20.107,20.160,21.121,22.506,24.489,24.965,23.545,21.935,20.645,20.481,21.056,21.509,21.784,21.933,22.057,22.624,22.886,22.938,22.854,23.320,24.220,24.455,24.668,24.604,24.394,24.409,24.750,24.254,24.009,25.484,28.214,30.790,31.817,31.647,31.154,30.009,28.577,27.058,26.192,25.207,24.068
