,level_0,id,name,new_date,hour,demand_kWh,supply_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),temperature(°C),dew_point(°C)
0,0,43,NDIR-SERT,2021-12-01,7,4.29,0.0,VAR,Fair,75.0,57.0,53.0,2.0,0.0,29.81,0.0,59.44444444444444,49.44444444444444
1,1,50,NDIR-SERT,2021-12-01,8,2.84,0.06,VAR,Fair,75.0,57.0,53.0,3.0,0.0,29.84,0.0,59.44444444444444,49.44444444444444
2,2,56,NDIR-SERT,2021-12-01,9,7.44,0.01,VAR,Fair,79.0,57.0,47.0,2.0,0.0,29.87,0.0,61.666666666666664,49.44444444444444
3,3,66,NDIR-SERT,2021-12-01,11,7.45,0.0,VAR,Fair,82.0,54.0,37.0,3.0,0.0,29.84,0.0,63.333333333333336,47.77777777777778
4,4,70,NDIR-SERT,2021-12-01,12,11.24,0.0,VAR,Fair,84.0,54.0,35.0,3.0,0.0,29.81,0.0,64.44444444444444,47.77777777777778
5,5,78,NDIR-SERT,2021-12-01,13,13.85,0.0,VAR,Fair,86.0,54.0,33.0,2.0,0.0,29.78,0.0,65.55555555555556,47.77777777777778
6,6,87,NDIR-SERT,2021-12-01,14,18.51,0.0,ESE,Fair,86.0,54.0,33.0,5.0,0.0,29.73,0.0,65.55555555555556,47.77777777777778
7,7,91,NDIR-SERT,2021-12-01,15,11.05,0.0,ESE,Fair,88.0,55.0,33.0,5.0,0.0,29.73,0.0,66.66666666666667,48.333333333333336
8,8,99,NDIR-SERT,2021-12-01,16,21.28,0.0,VAR,Fair,88.0,55.0,33.0,2.0,0.0,29.7,0.0,66.66666666666667,48.333333333333336
9,9,106,NDIR-SERT,2021-12-01,17,30.91,0.0,VAR,Fair,86.0,54.0,33.0,2.0,0.0,29.73,0.0,65.55555555555556,47.77777777777778
10,10,117,NDIR-SERT,2021-12-01,18,11.33,0.0,ESE,Fair,81.0,59.0,48.0,1.0,0.0,29.73,0.0,62.77777777777778,50.55555555555556
11,11,120,NDIR-SERT,2021-12-01,19,10.14,0.0,VAR,Fair,77.0,61.0,57.0,1.0,0.0,29.75,0.0,60.55555555555556,51.666666666666664
13,13,135,NDIR-SERT,2021-12-08,6,5.33,0.0,VAR,Fair,63.0,55.0,77.0,1.0,0.0,29.84,0.0,52.77777777777778,48.333333333333336
14,14,142,NDIR-SERT,2021-12-08,7,4.41,0.0,VAR,Fair,63.0,57.0,82.0,1.0,0.0,29.87,0.0,52.77777777777778,49.44444444444444
15,15,149,NDIR-SERT,2021-12-08,8,2.72,0.2,VAR,Fair,70.0,55.0,60.0,2.0,0.0,29.9,0.0,56.666666666666664,48.333333333333336
16,16,158,NDIR-SERT,2021-12-08,9,1.99,1.03,ENE,Fair,73.0,55.0,53.0,3.0,0.0,29.9,0.0,58.333333333333336,48.333333333333336
17,17,165,NDIR-SERT,2021-12-08,10,2.54,1.85,NE,Fair,77.0,54.0,44.0,3.0,0.0,29.9,0.0,60.55555555555556,47.77777777777778
18,18,174,NDIR-SERT,2021-12-08,11,4.5,4.41,SE,Fair,81.0,46.0,30.0,3.0,0.0,29.9,0.0,62.77777777777778,43.333333333333336
19,19,184,NDIR-SERT,2021-12-08,12,4.9,4.88,WNW,Fair,82.0,50.0,32.0,3.0,0.0,29.87,0.0,63.333333333333336,45.55555555555556
20,20,193,NDIR-SERT,2021-12-08,13,4.64,4.26,WSW,Fair,82.0,52.0,35.0,3.0,0.0,29.84,0.0,63.333333333333336,46.666666666666664
21,21,202,NDIR-SERT,2021-12-08,14,2.83,1.02,W,Fair,82.0,50.0,32.0,5.0,0.0,29.81,0.0,63.333333333333336,45.55555555555556
22,22,211,NDIR-SERT,2021-12-08,15,5.38,0.19,WSW,Fair,84.0,54.0,35.0,5.0,0.0,29.78,0.0,64.44444444444444,47.77777777777778
23,23,219,NDIR-SERT,2021-12-08,16,9.07,0.0,W,Fair,82.0,54.0,37.0,5.0,0.0,29.75,0.0,63.333333333333336,47.77777777777778
24,24,228,NDIR-SERT,2021-12-08,17,11.39,0.0,W,Fair,82.0,54.0,37.0,5.0,0.0,29.78,0.0,63.333333333333336,47.77777777777778
25,25,239,NDIR-SERT,2021-12-08,18,9.08,0.0,W,Fair,79.0,55.0,44.0,5.0,0.0,29.78,0.0,61.666666666666664,48.333333333333336
26,26,248,NDIR-SERT,2021-12-08,19,8.1,0.0,NNW,Fair,73.0,59.0,61.0,1.0,0.0,29.81,0.0,58.333333333333336,50.55555555555556
27,27,255,NDIR-SERT,2021-12-08,20,6.38,0.0,CALM,Fair,72.0,61.0,69.0,0.0,0.0,29.81,0.0,57.77777777777778,51.666666666666664
36,36,345,NDIR-SERT,2021-12-09,6,5.07,0.0,N,Fair,66.0,61.0,83.0,2.0,0.0,29.87,0.0,54.44444444444444,51.666666666666664
37,37,355,NDIR-SERT,2021-12-09,7,4.5,0.0,VAR,Fair,66.0,61.0,83.0,2.0,0.0,29.87,0.0,54.44444444444444,51.666666666666664
38,38,367,NDIR-SERT,2021-12-09,8,3.61,0.0,VAR,Fair,70.0,63.0,78.0,2.0,0.0,29.9,0.0,56.666666666666664,52.77777777777778
39,39,372,NDIR-SERT,2021-12-09,9,2.43,0.73,NNW,Fair,73.0,61.0,65.0,3.0,0.0,29.93,0.0,58.333333333333336,51.666666666666664
40,40,382,NDIR-SERT,2021-12-09,10,4.54,0.91,N,Fair,77.0,61.0,57.0,3.0,0.0,29.93,0.0,60.55555555555556,51.666666666666664
41,41,394,NDIR-SERT,2021-12-09,11,4.71,0.86,NW,Fair,81.0,61.0,51.0,6.0,0.0,29.9,0.0,62.77777777777778,51.666666666666664
42,42,401,NDIR-SERT,2021-12-09,12,8.78,0.28,NW,Fair,84.0,61.0,45.0,6.0,0.0,29.87,0.0,64.44444444444444,51.666666666666664
43,43,408,NDIR-SERT,2021-12-09,13,5.63,0.72,WNW,Fair,84.0,63.0,48.0,8.0,0.0,29.84,0.0,64.44444444444444,52.77777777777778
44,44,419,NDIR-SERT,2021-12-09,14,5.91,0.27,NW,Fair,88.0,61.0,40.0,5.0,0.0,29.78,0.0,66.66666666666667,51.666666666666664
45,45,427,NDIR-SERT,2021-12-09,15,15.14,0.0,W,Fair,88.0,63.0,43.0,7.0,0.0,29.78,0.0,66.66666666666667,52.77777777777778
46,46,437,NDIR-SERT,2021-12-09,16,22.61,0.0,WSW,Fair,88.0,63.0,43.0,5.0,0.0,29.78,0.0,66.66666666666667,52.77777777777778
47,47,444,NDIR-SERT,2021-12-09,17,23.09,0.0,W,Fair,84.0,64.0,51.0,5.0,0.0,29.78,0.0,64.44444444444444,53.333333333333336
48,48,454,NDIR-SERT,2021-12-09,18,14.22,0.0,W,Fair,81.0,64.0,58.0,3.0,0.0,29.81,0.0,62.77777777777778,53.333333333333336
49,49,462,NDIR-SERT,2021-12-09,19,10.03,0.0,NW,Fair,79.0,66.0,65.0,3.0,0.0,29.81,0.0,61.666666666666664,54.44444444444444
50,50,471,NDIR-SERT,2021-12-09,20,8.87,0.0,CALM,Fair,75.0,66.0,73.0,0.0,0.0,29.84,0.0,59.44444444444444,54.44444444444444
59,59,562,NDIR-SERT,2021-12-10,6,6.03,0.0,CALM,Fair,70.0,66.0,88.0,0.0,0.0,29.84,0.0,56.666666666666664,54.44444444444444
60,60,572,NDIR-SERT,2021-12-10,7,5.72,0.0,VAR,Fair,72.0,66.0,83.0,2.0,0.0,29.84,0.0,57.77777777777778,54.44444444444444
61,61,581,NDIR-SERT,2021-12-10,8,2.39,0.11,VAR,Fair,75.0,66.0,73.0,2.0,0.0,29.87,0.0,59.44444444444444,54.44444444444444
62,62,588,NDIR-SERT,2021-12-10,9,3.18,2.85,VAR,Fair,81.0,66.0,61.0,2.0,0.0,29.9,0.0,62.77777777777778,54.44444444444444
63,63,597,NDIR-SERT,2021-12-10,10,8.73,8.73,VAR,Fair,82.0,63.0,51.0,2.0,0.0,29.87,0.0,63.333333333333336,52.77777777777778
64,64,608,NDIR-SERT,2021-12-10,11,7.29,7.29,VAR,Fair,86.0,63.0,45.0,3.0,0.0,29.84,0.0,65.55555555555556,52.77777777777778
65,65,615,NDIR-SERT,2021-12-10,12,10.44,10.44,VAR,Fair,86.0,63.0,45.0,5.0,0.0,29.81,0.0,65.55555555555556,52.77777777777778
66,66,626,NDIR-SERT,2021-12-10,13,9.76,9.76,VAR,Fair,88.0,63.0,43.0,3.0,0.0,29.78,0.0,66.66666666666667,52.77777777777778
67,67,635,NDIR-SERT,2021-12-10,14,6.89,4.67,VAR,Fair,88.0,63.0,43.0,5.0,0.0,29.75,0.0,66.66666666666667,52.77777777777778
68,68,644,NDIR-SERT,2021-12-10,15,2.4,1.27,NW,Fair,88.0,64.0,46.0,7.0,0.0,29.73,0.0,66.66666666666667,53.333333333333336
69,69,653,NDIR-SERT,2021-12-10,16,5.0,0.15,W,Fair,88.0,63.0,43.0,7.0,0.0,29.73,0.0,66.66666666666667,52.77777777777778
70,70,661,NDIR-SERT,2021-12-10,17,10.11,0.0,W,Fair,86.0,63.0,45.0,5.0,0.0,29.73,0.0,65.55555555555556,52.77777777777778
71,71,672,NDIR-SERT,2021-12-10,18,13.33,0.0,W,Fair,82.0,64.0,54.0,3.0,0.0,29.73,0.0,63.333333333333336,53.333333333333336
72,72,680,NDIR-SERT,2021-12-10,19,13.75,0.0,CALM,Fair,79.0,66.0,65.0,0.0,0.0,29.75,0.0,61.666666666666664,54.44444444444444
73,73,687,NDIR-SERT,2021-12-10,20,13.27,0.0,CALM,Fair,77.0,66.0,69.0,0.0,0.0,29.78,0.0,60.55555555555556,54.44444444444444
82,82,778,NDIR-SERT,2021-12-11,6,6.08,0.0,E,Fair,68.0,66.0,94.0,5.0,0.0,29.81,0.0,55.55555555555556,54.44444444444444
83,83,787,NDIR-SERT,2021-12-11,7,5.29,0.0,CALM,Fair,70.0,66.0,88.0,0.0,0.0,29.81,0.0,56.666666666666664,54.44444444444444
84,84,798,NDIR-SERT,2021-12-11,8,2.67,0.15,CALM,Fair,75.0,66.0,73.0,0.0,0.0,29.84,0.0,59.44444444444444,54.44444444444444
85,85,807,NDIR-SERT,2021-12-11,9,3.02,2.71,VAR,Fair,79.0,66.0,65.0,1.0,0.0,29.87,0.0,61.666666666666664,54.44444444444444
86,86,813,NDIR-SERT,2021-12-11,10,7.8,7.8,VAR,Fair,82.0,64.0,54.0,2.0,0.0,29.87,0.0,63.333333333333336,53.333333333333336
87,87,822,NDIR-SERT,2021-12-11,11,6.32,6.09,VAR,Fair,84.0,66.0,55.0,2.0,0.0,29.87,0.0,64.44444444444444,54.44444444444444
88,88,831,NDIR-SERT,2021-12-11,12,7.89,5.61,NW,Fair,86.0,66.0,51.0,3.0,0.0,29.81,0.0,65.55555555555556,54.44444444444444
89,89,841,NDIR-SERT,2021-12-11,13,9.27,7.35,W,Fair,88.0,66.0,49.0,7.0,0.0,29.78,0.0,66.66666666666667,54.44444444444444
90,90,849,NDIR-SERT,2021-12-11,14,6.94,1.97,W,Fair,88.0,66.0,49.0,5.0,0.0,29.75,0.0,66.66666666666667,54.44444444444444
91,91,858,NDIR-SERT,2021-12-11,15,6.11,0.05,W,Fair,88.0,64.0,46.0,3.0,0.0,29.73,0.0,66.66666666666667,53.333333333333336
92,92,867,NDIR-SERT,2021-12-11,16,11.24,0.0,W,Fair,90.0,64.0,43.0,6.0,0.0,29.73,0.0,67.77777777777777,53.333333333333336
93,93,877,NDIR-SERT,2021-12-11,17,12.38,0.0,W,Fair,86.0,64.0,48.0,5.0,0.0,29.73,0.0,65.55555555555556,53.333333333333336
94,94,886,NDIR-SERT,2021-12-11,18,9.52,0.0,NW,Fair,82.0,66.0,58.0,2.0,0.0,29.75,0.0,63.333333333333336,54.44444444444444
95,95,896,NDIR-SERT,2021-12-11,19,12.19,0.0,SE,Fair,81.0,68.0,65.0,1.0,0.0,29.78,0.0,62.77777777777778,55.55555555555556
96,96,903,NDIR-SERT,2021-12-11,20,10.41,0.0,VAR,Fair,81.0,70.0,70.0,2.0,0.0,29.81,0.0,62.77777777777778,56.666666666666664
105,105,993,NDIR-SERT,2021-12-12,6,6.48,0.0,VAR,Fair,66.0,64.0,94.0,1.0,0.0,29.81,0.0,54.44444444444444,53.333333333333336
106,106,1004,NDIR-SERT,2021-12-12,7,5.62,0.0,VAR,Fair,68.0,64.0,88.0,2.0,0.0,29.84,0.0,55.55555555555556,53.333333333333336
107,107,1012,NDIR-SERT,2021-12-12,8,2.91,0.17,E,Fair,73.0,64.0,73.0,3.0,0.0,29.87,0.0,58.333333333333336,53.333333333333336
108,108,1020,NDIR-SERT,2021-12-12,9,3.98,3.76,VAR,Fair,79.0,63.0,57.0,5.0,0.0,29.9,0.0,61.666666666666664,52.77777777777778
109,109,1029,NDIR-SERT,2021-12-12,10,9.71,9.71,E,Fair,81.0,59.0,48.0,6.0,0.0,29.9,0.0,62.77777777777778,50.55555555555556
110,110,1041,NDIR-SERT,2021-12-12,11,13.03,13.02,E,Fair,84.0,57.0,40.0,6.0,0.0,29.87,0.0,64.44444444444444,49.44444444444444
111,111,1047,NDIR-SERT,2021-12-12,12,13.9,13.9,E,Fair,84.0,57.0,40.0,5.0,0.0,29.84,0.0,64.44444444444444,49.44444444444444
112,112,1056,NDIR-SERT,2021-12-12,13,13.02,13.0,VAR,Fair,86.0,57.0,37.0,5.0,0.0,29.81,0.0,65.55555555555556,49.44444444444444
113,113,1067,NDIR-SERT,2021-12-12,14,10.76,10.75,VAR,Fair,86.0,57.0,37.0,3.0,0.0,29.75,0.0,65.55555555555556,49.44444444444444
114,114,1077,NDIR-SERT,2021-12-12,15,6.53,6.37,SSE,Fair,88.0,57.0,35.0,5.0,0.0,29.73,0.0,66.66666666666667,49.44444444444444
115,115,1084,NDIR-SERT,2021-12-12,16,3.74,1.13,VAR,Fair,88.0,57.0,35.0,2.0,0.0,29.73,0.0,66.66666666666667,49.44444444444444
116,116,1092,NDIR-SERT,2021-12-12,17,9.46,0.0,VAR,Fair,88.0,57.0,35.0,2.0,0.0,29.73,0.0,66.66666666666667,49.44444444444444
117,117,1103,NDIR-SERT,2021-12-12,18,8.9,0.0,NW,Fair,81.0,63.0,54.0,1.0,0.0,29.75,0.0,62.77777777777778,52.77777777777778
118,118,1110,NDIR-SERT,2021-12-12,19,10.21,0.0,VAR,Fair,77.0,63.0,61.0,2.0,0.0,29.78,0.0,60.55555555555556,52.77777777777778
119,119,1123,NDIR-SERT,2021-12-13,15,4.62,0.0,SW,Fair,86.0,57.0,37.0,5.0,0.0,29.73,0.0,65.55555555555556,49.44444444444444
120,120,1132,NDIR-SERT,2021-12-13,16,21.47,0.0,VAR,Fair,88.0,57.0,35.0,2.0,0.0,29.73,0.0,66.66666666666667,49.44444444444444
121,121,1137,NDIR-SERT,2021-12-13,17,22.12,0.0,W,Fair,84.0,61.0,45.0,6.0,0.0,29.73,0.0,64.44444444444444,51.666666666666664
122,122,1148,NDIR-SERT,2021-12-13,18,16.01,0.0,W,Fair,81.0,63.0,54.0,3.0,0.0,29.73,0.0,62.77777777777778,52.77777777777778
123,123,1160,NDIR-SERT,2021-12-13,19,12.22,0.0,NW,Fair,77.0,64.0,65.0,2.0,0.0,29.75,0.0,60.55555555555556,53.333333333333336
124,124,1168,NDIR-SERT,2021-12-13,20,10.3,0.0,CALM,Fair,75.0,64.0,69.0,0.0,0.0,29.78,0.0,59.44444444444444,53.333333333333336
131,131,1241,NDIR-SERT,2021-12-14,6,4.98,0.0,VAR,Fair,70.0,59.0,68.0,2.0,0.0,29.78,0.0,56.666666666666664,50.55555555555556
132,132,1247,NDIR-SERT,2021-12-14,7,3.79,0.0,VAR,Fair,66.0,61.0,83.0,2.0,0.0,29.81,0.0,54.44444444444444,51.666666666666664
133,133,1259,NDIR-SERT,2021-12-14,8,3.03,0.07,VAR,Fair,72.0,63.0,73.0,1.0,0.0,29.81,0.0,57.77777777777778,52.77777777777778
134,134,1266,NDIR-SERT,2021-12-14,9,3.62,0.18,NNE,Fair,75.0,61.0,61.0,3.0,0.0,29.84,0.0,59.44444444444444,51.666666666666664
135,135,1275,NDIR-SERT,2021-12-14,10,7.62,0.0,VAR,Fair,79.0,59.0,51.0,3.0,0.0,29.84,0.0,61.666666666666664,50.55555555555556
136,136,1282,NDIR-SERT,2021-12-14,11,11.64,0.0,E,Fair,82.0,55.0,39.0,3.0,0.0,29.81,0.0,63.333333333333336,48.333333333333336
137,137,1290,NDIR-SERT,2021-12-14,14,8.75,0.0,N,Fair,86.0,57.0,37.0,5.0,0.0,29.7,0.0,65.55555555555556,49.44444444444444
138,138,1301,NDIR-SERT,2021-12-14,15,15.39,0.0,VAR,Fair,86.0,57.0,37.0,5.0,0.0,29.7,0.0,65.55555555555556,49.44444444444444
139,139,1308,NDIR-SERT,2021-12-14,16,21.8,0.0,NW,Fair,86.0,59.0,40.0,5.0,0.0,29.67,0.0,65.55555555555556,50.55555555555556
140,140,1318,NDIR-SERT,2021-12-14,17,17.79,0.0,W,Fair,84.0,61.0,45.0,6.0,0.0,29.67,0.0,64.44444444444444,51.666666666666664
141,141,1329,NDIR-SERT,2021-12-14,18,13.22,0.0,W,Fair,81.0,63.0,54.0,5.0,0.0,29.7,0.0,62.77777777777778,52.77777777777778
142,142,1336,NDIR-SERT,2021-12-15,6,4.67,0.0,VAR,Fair,66.0,61.0,83.0,1.0,0.0,29.75,0.0,54.44444444444444,51.666666666666664
143,143,1345,NDIR-SERT,2021-12-15,7,3.93,0.0,NNW,Fair,66.0,63.0,88.0,2.0,0.0,29.75,0.0,54.44444444444444,52.77777777777778
144,144,1354,NDIR-SERT,2021-12-15,12,7.29,0.0,VAR,Fair,86.0,61.0,43.0,3.0,0.0,29.75,0.0,65.55555555555556,51.666666666666664
145,145,1363,NDIR-SERT,2021-12-15,13,9.69,0.0,VAR,Fair,86.0,57.0,37.0,2.0,0.0,29.73,0.0,65.55555555555556,49.44444444444444
146,146,1374,NDIR-SERT,2021-12-15,14,9.39,0.0,NNW,Fair,86.0,55.0,35.0,5.0,0.0,29.67,0.0,65.55555555555556,48.333333333333336
147,147,1380,NDIR-SERT,2021-12-15,15,13.3,0.0,VAR,Fair,88.0,55.0,33.0,5.0,0.0,29.64,0.0,66.66666666666667,48.333333333333336
148,148,1393,NDIR-SERT,2021-12-15,16,23.49,0.0,NW,Fair,86.0,55.0,35.0,5.0,0.0,29.64,0.0,65.55555555555556,48.333333333333336
149,149,1401,NDIR-SERT,2021-12-15,17,26.47,0.0,W,Fair,86.0,61.0,43.0,6.0,0.0,29.64,0.0,65.55555555555556,51.666666666666664
150,150,1410,NDIR-SERT,2021-12-15,18,13.38,0.0,W,Fair,81.0,63.0,54.0,5.0,0.0,29.67,0.0,62.77777777777778,52.77777777777778
151,151,1417,NDIR-SERT,2021-12-15,19,11.73,0.0,NW,Fair,75.0,63.0,65.0,1.0,0.0,29.67,0.0,59.44444444444444,52.77777777777778
152,152,1427,NDIR-SERT,2021-12-15,20,8.0,0.0,W,Fair,73.0,66.0,78.0,1.0,0.0,29.7,0.0,58.333333333333336,54.44444444444444
161,161,1515,NDIR-SERT,2021-12-16,6,5.49,0.0,NNW,Fair,64.0,61.0,88.0,1.0,0.0,29.73,0.0,53.333333333333336,51.666666666666664
162,162,1524,NDIR-SERT,2021-12-16,9,3.93,0.0,VAR,Fair,73.0,63.0,69.0,2.0,0.0,29.78,0.0,58.333333333333336,52.77777777777778
163,163,1533,NDIR-SERT,2021-12-16,10,1.08,0.89,NNW,Fair,77.0,61.0,57.0,3.0,0.0,29.78,0.0,60.55555555555556,51.666666666666664
164,164,1542,NDIR-SERT,2021-12-16,11,9.07,0.01,VAR,Fair,82.0,57.0,42.0,5.0,0.0,29.78,0.0,63.333333333333336,49.44444444444444
165,165,1555,NDIR-SERT,2021-12-16,12,4.83,0.61,NNW,Fair,86.0,57.0,37.0,3.0,0.0,29.75,0.0,65.55555555555556,49.44444444444444
166,166,1564,NDIR-SERT,2021-12-16,13,1.92,1.35,WNW,Fair,88.0,59.0,38.0,5.0,0.0,29.7,0.0,66.66666666666667,50.55555555555556
167,167,1569,NDIR-SERT,2021-12-16,14,16.1,0.13,WNW,Fair,88.0,55.0,33.0,3.0,0.0,29.67,0.0,66.66666666666667,48.333333333333336
168,168,1578,NDIR-SERT,2021-12-16,15,20.58,0.0,WNW,Fair,88.0,61.0,40.0,7.0,0.0,29.67,0.0,66.66666666666667,51.666666666666664
169,169,1592,NDIR-SERT,2021-12-16,16,25.25,0.0,WNW,Fair,88.0,59.0,38.0,7.0,0.0,29.64,0.0,66.66666666666667,50.55555555555556
170,170,1597,NDIR-SERT,2021-12-16,17,22.13,0.0,W,Fair,86.0,61.0,43.0,7.0,0.0,29.67,0.0,65.55555555555556,51.666666666666664
171,171,1609,NDIR-SERT,2021-12-16,18,10.95,0.0,W,Fair,82.0,63.0,51.0,5.0,0.0,29.67,0.0,63.333333333333336,52.77777777777778
172,172,1619,NDIR-SERT,2021-12-16,19,9.05,0.0,NW,Fair,79.0,64.0,61.0,3.0,0.0,29.7,0.0,61.666666666666664,53.333333333333336
173,173,1624,NDIR-SERT,2021-12-17,6,3.75,0.0,N,Fair,68.0,63.0,83.0,3.0,0.0,29.73,0.0,55.55555555555556,52.77777777777778
174,174,1632,NDIR-SERT,2021-12-17,7,4.56,0.0,N,Fair,68.0,63.0,83.0,2.0,0.0,29.75,0.0,55.55555555555556,52.77777777777778
175,175,1644,NDIR-SERT,2021-12-17,8,2.85,0.02,N,Fair,70.0,64.0,83.0,3.0,0.0,29.78,0.0,56.666666666666664,53.333333333333336
176,176,1652,NDIR-SERT,2021-12-17,9,4.45,0.72,NNW,Fair,75.0,64.0,69.0,3.0,0.0,29.78,0.0,59.44444444444444,53.333333333333336
177,177,1660,NDIR-SERT,2021-12-17,10,3.72,0.02,VAR,Fair,81.0,63.0,54.0,3.0,0.0,29.81,0.0,62.77777777777778,52.77777777777778
178,178,1673,NDIR-SERT,2021-12-17,11,1.97,0.65,NNW,Fair,84.0,63.0,48.0,5.0,0.0,29.78,0.0,64.44444444444444,52.77777777777778
179,179,1680,NDIR-SERT,2021-12-17,12,1.91,0.39,NNW,Fair,88.0,63.0,43.0,5.0,0.0,29.75,0.0,66.66666666666667,52.77777777777778
180,180,1690,NDIR-SERT,2021-12-17,13,2.98,0.28,VAR,Fair,90.0,59.0,36.0,3.0,0.0,29.7,0.0,67.77777777777777,50.55555555555556
181,181,1696,NDIR-SERT,2021-12-17,14,8.94,0.01,VAR,Fair,90.0,61.0,38.0,5.0,0.0,29.67,0.0,67.77777777777777,51.666666666666664
182,182,1706,NDIR-SERT,2021-12-17,15,16.5,0.0,W,Fair,90.0,59.0,36.0,7.0,0.0,29.67,0.0,67.77777777777777,50.55555555555556
183,183,1717,NDIR-SERT,2021-12-17,16,20.47,0.0,W,Fair,90.0,63.0,40.0,7.0,0.0,29.64,0.0,67.77777777777777,52.77777777777778
184,184,1724,NDIR-SERT,2021-12-17,17,19.01,0.0,W,Fair,86.0,63.0,45.0,7.0,0.0,29.67,0.0,65.55555555555556,52.77777777777778
185,185,1734,NDIR-SERT,2021-12-17,18,14.3,0.0,W,Fair,84.0,66.0,55.0,5.0,0.0,29.7,0.0,64.44444444444444,54.44444444444444
186,186,1741,NDIR-SERT,2021-12-17,19,14.08,0.0,W,Fair,82.0,66.0,58.0,3.0,0.0,29.7,0.0,63.333333333333336,54.44444444444444
187,187,1750,NDIR-SERT,2021-12-17,20,7.9,0.0,NW,Fair,81.0,66.0,61.0,3.0,0.0,29.73,0.0,62.77777777777778,54.44444444444444
196,196,1844,NDIR-SERT,2021-12-18,6,5.0,0.0,E,Fair,72.0,63.0,73.0,2.0,0.0,29.75,0.0,57.77777777777778,52.77777777777778
197,197,1852,NDIR-SERT,2021-12-18,7,5.03,0.0,VAR,Fair,73.0,64.0,73.0,2.0,0.0,29.78,0.0,58.333333333333336,53.333333333333336
198,198,1858,NDIR-SERT,2021-12-18,8,3.06,0.03,VAR,Fair,75.0,64.0,69.0,1.0,0.0,29.81,0.0,59.44444444444444,53.333333333333336
199,199,1866,NDIR-SERT,2021-12-18,9,1.16,0.42,CALM,Fair,77.0,63.0,61.0,0.0,0.0,29.84,0.0,60.55555555555556,52.77777777777778
200,200,1880,NDIR-SERT,2021-12-19,6,2.17,0.0,VAR,Fair,72.0,54.0,53.0,5.0,0.0,29.81,0.0,57.77777777777778,47.77777777777778
201,201,1884,NDIR-SERT,2021-12-19,7,4.13,0.0,VAR,Fair,70.0,55.0,60.0,3.0,0.0,29.81,0.0,56.666666666666664,48.333333333333336
202,202,1898,NDIR-SERT,2021-12-19,8,2.73,0.01,VAR,Fair,70.0,55.0,60.0,3.0,0.0,29.87,0.0,56.666666666666664,48.333333333333336
203,203,1904,NDIR-SERT,2021-12-19,9,0.15,3.2,VAR,Fair,75.0,54.0,47.0,5.0,0.0,29.87,0.0,59.44444444444444,47.77777777777778
204,204,1911,NDIR-SERT,2021-12-19,10,0.0,9.72,ENE,Fair,77.0,54.0,44.0,7.0,0.0,29.9,0.0,60.55555555555556,47.77777777777778
205,205,1924,NDIR-SERT,2021-12-19,11,0.0,12.61,VAR,Fair,79.0,54.0,42.0,5.0,0.0,29.87,0.0,61.666666666666664,47.77777777777778
206,206,1933,NDIR-SERT,2021-12-19,12,0.0,13.87,VAR,Fair,82.0,55.0,39.0,3.0,0.0,29.84,0.0,63.333333333333336,48.333333333333336
207,207,1938,NDIR-SERT,2021-12-19,13,0.0,14.78,VAR,Fair,82.0,52.0,35.0,3.0,0.0,29.78,0.0,63.333333333333336,46.666666666666664
208,208,1947,NDIR-SERT,2021-12-19,14,0.17,10.8,VAR,Fair,84.0,52.0,33.0,5.0,0.0,29.75,0.0,64.44444444444444,46.666666666666664
209,209,1961,NDIR-SERT,2021-12-19,18,3.28,0.0,W,Fair,77.0,57.0,50.0,6.0,0.0,29.75,0.0,60.55555555555556,49.44444444444444
210,210,1965,NDIR-SERT,2021-12-19,19,7.33,0.0,W,Fair,75.0,59.0,57.0,3.0,0.0,29.78,0.0,59.44444444444444,50.55555555555556
211,211,1978,NDIR-SERT,2021-12-19,20,6.33,0.0,NW,Fair,72.0,61.0,69.0,3.0,0.0,29.78,0.0,57.77777777777778,51.666666666666664
219,219,2056,NDIR-SERT,2021-12-20,7,1.31,0.0,NNW,Fair,66.0,59.0,78.0,3.0,0.0,29.81,0.0,54.44444444444444,50.55555555555556
220,220,2065,NDIR-SERT,2021-12-20,8,7.38,0.0,N,Fair,68.0,57.0,68.0,5.0,0.0,29.84,0.0,55.55555555555556,49.44444444444444
221,221,2077,NDIR-SERT,2021-12-20,9,8.16,0.0,N,Fair,72.0,59.0,64.0,5.0,0.0,29.87,0.0,57.77777777777778,50.55555555555556
222,222,2083,NDIR-SERT,2021-12-20,10,4.08,0.19,N,Fair,75.0,59.0,57.0,6.0,0.0,29.87,0.0,59.44444444444444,50.55555555555556
223,223,2091,NDIR-SERT,2021-12-20,11,4.16,0.44,NNW,Fair,77.0,55.0,47.0,5.0,0.0,29.84,0.0,60.55555555555556,48.333333333333336
224,224,2100,NDIR-SERT,2021-12-20,12,2.99,0.62,NNW,Fair,79.0,55.0,44.0,8.0,0.0,29.81,0.0,61.666666666666664,48.333333333333336
225,225,2110,NDIR-SERT,2021-12-20,13,4.87,0.35,NW,Fair,81.0,54.0,39.0,8.0,0.0,29.78,0.0,62.77777777777778,47.77777777777778
226,226,2118,NDIR-SERT,2021-12-20,14,5.96,0.11,WNW,Fair,82.0,54.0,37.0,9.0,0.0,29.73,0.0,63.333333333333336,47.77777777777778
