id,new_date,hour,load_kW,demand_kWh,supply_kWh,net_kWh
43723,2022-08-26,1,11.11,10,0,-10
43729,2022-08-26,2,9.39,9.94,0,-9.94
43738,2022-08-26,3,7.45,8.7,0,-8.7
43761,2022-08-26,6,7.23,7.72,0,-7.72
43768,2022-08-26,7,11.01,7.39,0,-7.39
43777,2022-08-26,8,26.69,17.27,0,-17.27
43783,2022-08-26,9,33.46,29.43,0,-29.43
43797,2022-08-26,10,37.51,40.21,0,-40.21
43804,2022-08-26,11,47.52,36.08,0,-36.08
43816,2022-08-26,14,29.01,22.91,0,-22.91
43825,2022-08-26,15,28.83,24.8,0,-24.8
43838,2022-08-26,16,21.54,26.28,0,-26.28
43846,2022-08-26,17,19.65,22.19,0,-22.19
43855,2022-08-26,18,10,15.43,0,-15.43
43863,2022-08-26,19,10.57,10.02,0,-10.02
43872,2022-08-26,20,10.06,9.55,0,-9.55
43884,2022-08-26,21,9.56,9.12,0,-9.12
43889,2022-08-26,22,9.61,8.86,0,-8.86
43897,2022-08-26,23,10.78,9.27,0,-9.27
43911,2022-08-27,1,8.98,9.7,0,-9.7
43920,2022-08-27,2,9.43,9.69,0,-9.69
43927,2022-08-27,3,7.89,8.6,0,-8.6
43938,2022-08-27,4,7.85,8.17,0,-8.17
43944,2022-08-27,5,8.58,8.67,0,-8.67
43954,2022-08-27,6,6.76,7.42,0,-7.42
43961,2022-08-27,7,4.19,5.97,0,-5.97
43970,2022-08-27,8,6.21,4.44,0,-4.44
43979,2022-08-27,9,8,2.65,0.35,-2.3
43992,2022-08-27,10,14.95,0.72,2.33,1.61
43998,2022-08-27,11,19.17,0.78,4.83,4.05
44008,2022-08-27,12,46.68,0.13,10.36,10.23
44018,2022-08-27,13,36.94,3,3.63,0.63
44027,2022-08-27,14,12.78,0.61,3.32,2.71
44035,2022-08-27,15,10.34,1.95,3.26,1.31
44046,2022-08-27,16,18.22,0.35,8.11,7.76
44052,2022-08-27,17,8.53,0.68,1.59,0.91
44062,2022-08-27,18,11.74,7.47,0,-7.47
44069,2022-08-27,19,11.2,9.72,0,-9.72
44080,2022-08-27,20,11.09,9.86,0,-9.86
44088,2022-08-27,21,9.29,9.5,0,-9.5
44100,2022-08-27,22,8.77,9.17,0,-9.17
44104,2022-08-27,23,9.06,9.42,0,-9.42
44116,2022-08-28,1,8.3,8.89,0,-8.89
44123,2022-08-28,2,8.36,8.89,0,-8.89
44132,2022-08-28,3,8.32,8.75,0,-8.75
44145,2022-08-28,4,8.27,8.68,0,-8.68
44149,2022-08-28,5,8.34,8.82,0,-8.82
44163,2022-08-28,6,6.59,6.88,0,-6.88
44172,2022-08-28,7,5.01,5.61,0,-5.61
44180,2022-08-28,8,14.08,1.78,0.51,-1.27
44189,2022-08-28,9,26.55,0,6.12,6.12
44198,2022-08-28,10,33.43,0,11.42,11.42
44206,2022-08-28,11,25.55,0.36,9.79,9.43
44216,2022-08-28,12,35.63,0,12.98,12.98
44226,2022-08-28,13,45.5,0.33,10.9,10.57
44231,2022-08-28,14,36.65,0.03,14.02,13.99
