,level_0,id,name,new_date,hour,demand_kWh,supply_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in)
0,0,43,NDIR-SERT,2021-12-01,7,4.29,0.0,VAR,Fair,75,57,53,2,0,29.81,0.0
1,1,50,NDIR-SERT,2021-12-01,8,2.84,0.06,VAR,Fair,75,57,53,3,0,29.84,0.0
2,2,56,NDIR-SERT,2021-12-01,9,7.44,0.01,VAR,Fair,79,57,47,2,0,29.87,0.0
3,3,66,NDIR-SERT,2021-12-01,11,7.45,0.0,VAR,Fair,82,54,37,3,0,29.84,0.0
4,4,70,NDIR-SERT,2021-12-01,12,11.24,0.0,VAR,Fair,84,54,35,3,0,29.81,0.0
5,5,78,NDIR-SERT,2021-12-01,13,13.85,0.0,VAR,Fair,86,54,33,2,0,29.78,0.0
6,6,87,NDIR-SERT,2021-12-01,14,18.51,0.0,ESE,Fair,86,54,33,5,0,29.73,0.0
7,7,91,NDIR-SERT,2021-12-01,15,11.05,0.0,ESE,Fair,88,55,33,5,0,29.73,0.0
8,8,99,NDIR-SERT,2021-12-01,16,21.28,0.0,VAR,Fair,88,55,33,2,0,29.70,0.0
9,9,106,NDIR-SERT,2021-12-01,17,30.91,0.0,VAR,Fair,86,54,33,2,0,29.73,0.0
10,10,117,NDIR-SERT,2021-12-01,18,11.33,0.0,ESE,Fair,81,59,48,1,0,29.73,0.0
11,11,120,NDIR-SERT,2021-12-01,19,10.14,0.0,VAR,Fair,77,61,57,1,0,29.75,0.0
12,12,126,NDIR-SERT,2021-12-08,5,3.78,0.0,,,,,,,,,
13,13,135,NDIR-SERT,2021-12-08,6,5.33,0.0,VAR,Fair,63,55,77,1,0,29.84,0.0
14,14,142,NDIR-SERT,2021-12-08,7,4.41,0.0,VAR,Fair,63,57,82,1,0,29.87,0.0
15,15,149,NDIR-SERT,2021-12-08,8,2.72,0.2,VAR,Fair,70,55,60,2,0,29.90,0.0
16,16,158,NDIR-SERT,2021-12-08,9,1.99,1.03,ENE,Fair,73,55,53,3,0,29.90,0.0
17,17,165,NDIR-SERT,2021-12-08,10,2.54,1.85,NE,Fair,77,54,44,3,0,29.90,0.0
18,18,174,NDIR-SERT,2021-12-08,11,4.5,4.41,SE,Fair,81,46,30,3,0,29.90,0.0
19,19,184,NDIR-SERT,2021-12-08,12,4.9,4.88,WNW,Fair,82,50,32,3,0,29.87,0.0
20,20,193,NDIR-SERT,2021-12-08,13,4.64,4.26,WSW,Fair,82,52,35,3,0,29.84,0.0
21,21,202,NDIR-SERT,2021-12-08,14,2.83,1.02,W,Fair,82,50,32,5,0,29.81,0.0
22,22,211,NDIR-SERT,2021-12-08,15,5.38,0.19,WSW,Fair,84,54,35,5,0,29.78,0.0
23,23,219,NDIR-SERT,2021-12-08,16,9.07,0.0,W,Fair,82,54,37,5,0,29.75,0.0
24,24,228,NDIR-SERT,2021-12-08,17,11.39,0.0,W,Fair,82,54,37,5,0,29.78,0.0
25,25,239,NDIR-SERT,2021-12-08,18,9.08,0.0,W,Fair,79,55,44,5,0,29.78,0.0
26,26,248,NDIR-SERT,2021-12-08,19,8.1,0.0,NNW,Fair,73,59,61,1,0,29.81,0.0
27,27,255,NDIR-SERT,2021-12-08,20,6.38,0.0,CALM,Fair,72,61,69,0,0,29.81,0.0
28,28,267,NDIR-SERT,2021-12-08,21,5.63,0.0,,,,,,,,,
29,29,275,NDIR-SERT,2021-12-08,22,5.39,0.0,,,,,,,,,
30,30,285,NDIR-SERT,2021-12-08,23,5.32,0.0,,,,,,,,,
31,31,300,NDIR-SERT,2021-12-09,1,5.18,0.0,,,,,,,,,
32,32,310,NDIR-SERT,2021-12-09,2,5.09,0.0,,,,,,,,,
33,33,320,NDIR-SERT,2021-12-09,3,5.16,0.0,,,,,,,,,
34,34,329,NDIR-SERT,2021-12-09,4,4.91,0.0,,,,,,,,,
35,35,339,NDIR-SERT,2021-12-09,5,4.95,0.0,,,,,,,,,
36,36,345,NDIR-SERT,2021-12-09,6,5.07,0.0,N,Fair,66,61,83,2,0,29.87,0.0
37,37,355,NDIR-SERT,2021-12-09,7,4.5,0.0,VAR,Fair,66,61,83,2,0,29.87,0.0
38,38,367,NDIR-SERT,2021-12-09,8,3.61,0.0,VAR,Fair,70,63,78,2,0,29.90,0.0
39,39,372,NDIR-SERT,2021-12-09,9,2.43,0.73,NNW,Fair,73,61,65,3,0,29.93,0.0
40,40,382,NDIR-SERT,2021-12-09,10,4.54,0.91,N,Fair,77,61,57,3,0,29.93,0.0
41,41,394,NDIR-SERT,2021-12-09,11,4.71,0.86,NW,Fair,81,61,51,6,0,29.90,0.0
42,42,401,NDIR-SERT,2021-12-09,12,8.78,0.28,NW,Fair,84,61,45,6,0,29.87,0.0
43,43,408,NDIR-SERT,2021-12-09,13,5.63,0.72,WNW,Fair,84,63,48,8,0,29.84,0.0
44,44,419,NDIR-SERT,2021-12-09,14,5.91,0.27,NW,Fair,88,61,40,5,0,29.78,0.0
45,45,427,NDIR-SERT,2021-12-09,15,15.14,0.0,W,Fair,88,63,43,7,0,29.78,0.0
46,46,437,NDIR-SERT,2021-12-09,16,22.61,0.0,WSW,Fair,88,63,43,5,0,29.78,0.0
47,47,444,NDIR-SERT,2021-12-09,17,23.09,0.0,W,Fair,84,64,51,5,0,29.78,0.0
48,48,454,NDIR-SERT,2021-12-09,18,14.22,0.0,W,Fair,81,64,58,3,0,29.81,0.0
49,49,462,NDIR-SERT,2021-12-09,19,10.03,0.0,NW,Fair,79,66,65,3,0,29.81,0.0
50,50,471,NDIR-SERT,2021-12-09,20,8.87,0.0,CALM,Fair,75,66,73,0,0,29.84,0.0
51,51,481,NDIR-SERT,2021-12-09,21,7.99,0.0,,,,,,,,,
52,52,491,NDIR-SERT,2021-12-09,22,7.88,0.0,,,,,,,,,
53,53,501,NDIR-SERT,2021-12-09,23,7.39,0.0,,,,,,,,,
54,54,516,NDIR-SERT,2021-12-10,1,6.44,0.0,,,,,,,,,
55,55,526,NDIR-SERT,2021-12-10,2,6.53,0.0,,,,,,,,,
56,56,536,NDIR-SERT,2021-12-10,3,6.35,0.0,,,,,,,,,
57,57,547,NDIR-SERT,2021-12-10,4,6.14,0.0,,,,,,,,,
58,58,553,NDIR-SERT,2021-12-10,5,6.34,0.0,,,,,,,,,
59,59,562,NDIR-SERT,2021-12-10,6,6.03,0.0,CALM,Fair,70,66,88,0,0,29.84,0.0
60,60,572,NDIR-SERT,2021-12-10,7,5.72,0.0,VAR,Fair,72,66,83,2,0,29.84,0.0
61,61,581,NDIR-SERT,2021-12-10,8,2.39,0.11,VAR,Fair,75,66,73,2,0,29.87,0.0
62,62,588,NDIR-SERT,2021-12-10,9,3.18,2.85,VAR,Fair,81,66,61,2,0,29.90,0.0
63,63,597,NDIR-SERT,2021-12-10,10,8.73,8.73,VAR,Fair,82,63,51,2,0,29.87,0.0
64,64,608,NDIR-SERT,2021-12-10,11,7.29,7.29,VAR,Fair,86,63,45,3,0,29.84,0.0
65,65,615,NDIR-SERT,2021-12-10,12,10.44,10.44,VAR,Fair,86,63,45,5,0,29.81,0.0
66,66,626,NDIR-SERT,2021-12-10,13,9.76,9.76,VAR,Fair,88,63,43,3,0,29.78,0.0
67,67,635,NDIR-SERT,2021-12-10,14,6.89,4.67,VAR,Fair,88,63,43,5,0,29.75,0.0
68,68,644,NDIR-SERT,2021-12-10,15,2.4,1.27,NW,Fair,88,64,46,7,0,29.73,0.0
69,69,653,NDIR-SERT,2021-12-10,16,5.0,0.15,W,Fair,88,63,43,7,0,29.73,0.0
70,70,661,NDIR-SERT,2021-12-10,17,10.11,0.0,W,Fair,86,63,45,5,0,29.73,0.0
71,71,672,NDIR-SERT,2021-12-10,18,13.33,0.0,W,Fair,82,64,54,3,0,29.73,0.0
72,72,680,NDIR-SERT,2021-12-10,19,13.75,0.0,CALM,Fair,79,66,65,0,0,29.75,0.0
73,73,687,NDIR-SERT,2021-12-10,20,13.27,0.0,CALM,Fair,77,66,69,0,0,29.78,0.0
74,74,696,NDIR-SERT,2021-12-10,21,10.42,0.0,,,,,,,,,
75,75,705,NDIR-SERT,2021-12-10,22,10.41,0.0,,,,,,,,,
76,76,715,NDIR-SERT,2021-12-10,23,10.12,0.0,,,,,,,,,
77,77,734,NDIR-SERT,2021-12-11,1,6.82,0.0,,,,,,,,,
78,78,741,NDIR-SERT,2021-12-11,2,6.83,0.0,,,,,,,,,
79,79,750,NDIR-SERT,2021-12-11,3,6.33,0.0,,,,,,,,,
80,80,761,NDIR-SERT,2021-12-11,4,6.49,0.0,,,,,,,,,
81,81,770,NDIR-SERT,2021-12-11,5,6.57,0.0,,,,,,,,,
82,82,778,NDIR-SERT,2021-12-11,6,6.08,0.0,E,Fair,68,66,94,5,0,29.81,0.0
83,83,787,NDIR-SERT,2021-12-11,7,5.29,0.0,CALM,Fair,70,66,88,0,0,29.81,0.0
84,84,798,NDIR-SERT,2021-12-11,8,2.67,0.15,CALM,Fair,75,66,73,0,0,29.84,0.0
85,85,807,NDIR-SERT,2021-12-11,9,3.02,2.71,VAR,Fair,79,66,65,1,0,29.87,0.0
86,86,813,NDIR-SERT,2021-12-11,10,7.8,7.8,VAR,Fair,82,64,54,2,0,29.87,0.0
87,87,822,NDIR-SERT,2021-12-11,11,6.32,6.09,VAR,Fair,84,66,55,2,0,29.87,0.0
88,88,831,NDIR-SERT,2021-12-11,12,7.89,5.61,NW,Fair,86,66,51,3,0,29.81,0.0
89,89,841,NDIR-SERT,2021-12-11,13,9.27,7.35,W,Fair,88,66,49,7,0,29.78,0.0
90,90,849,NDIR-SERT,2021-12-11,14,6.94,1.97,W,Fair,88,66,49,5,0,29.75,0.0
91,91,858,NDIR-SERT,2021-12-11,15,6.11,0.05,W,Fair,88,64,46,3,0,29.73,0.0
92,92,867,NDIR-SERT,2021-12-11,16,11.24,0.0,W,Fair,90,64,43,6,0,29.73,0.0
93,93,877,NDIR-SERT,2021-12-11,17,12.38,0.0,W,Fair,86,64,48,5,0,29.73,0.0
94,94,886,NDIR-SERT,2021-12-11,18,9.52,0.0,NW,Fair,82,66,58,2,0,29.75,0.0
95,95,896,NDIR-SERT,2021-12-11,19,12.19,0.0,SE,Fair,81,68,65,1,0,29.78,0.0
96,96,903,NDIR-SERT,2021-12-11,20,10.41,0.0,VAR,Fair,81,70,70,2,0,29.81,0.0
97,97,917,NDIR-SERT,2021-12-11,21,8.74,0.0,,,,,,,,,
98,98,921,NDIR-SERT,2021-12-11,22,8.51,0.0,,,,,,,,,
99,99,932,NDIR-SERT,2021-12-11,23,7.11,0.0,,,,,,,,,
100,100,951,NDIR-SERT,2021-12-12,1,6.57,0.0,,,,,,,,,
101,101,960,NDIR-SERT,2021-12-12,2,6.83,0.0,,,,,,,,,
102,102,968,NDIR-SERT,2021-12-12,3,6.57,0.0,,,,,,,,,
103,103,976,NDIR-SERT,2021-12-12,4,6.41,0.0,,,,,,,,,
104,104,991,NDIR-SERT,2021-12-12,5,6.25,0.0,,,,,,,,,
105,105,993,NDIR-SERT,2021-12-12,6,6.48,0.0,VAR,Fair,66,64,94,1,0,29.81,0.0
106,106,1004,NDIR-SERT,2021-12-12,7,5.62,0.0,VAR,Fair,68,64,88,2,0,29.84,0.0
107,107,1012,NDIR-SERT,2021-12-12,8,2.91,0.17,E,Fair,73,64,73,3,0,29.87,0.0
108,108,1020,NDIR-SERT,2021-12-12,9,3.98,3.76,VAR,Fair,79,63,57,5,0,29.90,0.0
109,109,1029,NDIR-SERT,2021-12-12,10,9.71,9.71,E,Fair,81,59,48,6,0,29.90,0.0
110,110,1041,NDIR-SERT,2021-12-12,11,13.03,13.02,E,Fair,84,57,40,6,0,29.87,0.0
111,111,1047,NDIR-SERT,2021-12-12,12,13.9,13.9,E,Fair,84,57,40,5,0,29.84,0.0
112,112,1056,NDIR-SERT,2021-12-12,13,13.02,13.0,VAR,Fair,86,57,37,5,0,29.81,0.0
113,113,1067,NDIR-SERT,2021-12-12,14,10.76,10.75,VAR,Fair,86,57,37,3,0,29.75,0.0
114,114,1077,NDIR-SERT,2021-12-12,15,6.53,6.37,SSE,Fair,88,57,35,5,0,29.73,0.0
115,115,1084,NDIR-SERT,2021-12-12,16,3.74,1.13,VAR,Fair,88,57,35,2,0,29.73,0.0
116,116,1092,NDIR-SERT,2021-12-12,17,9.46,0.0,VAR,Fair,88,57,35,2,0,29.73,0.0
117,117,1103,NDIR-SERT,2021-12-12,18,8.9,0.0,NW,Fair,81,63,54,1,0,29.75,0.0
118,118,1110,NDIR-SERT,2021-12-12,19,10.21,0.0,VAR,Fair,77,63,61,2,0,29.78,0.0
119,119,1123,NDIR-SERT,2021-12-13,15,4.62,0.0,SW,Fair,86,57,37,5,0,29.73,0.0
120,120,1132,NDIR-SERT,2021-12-13,16,21.47,0.0,VAR,Fair,88,57,35,2,0,29.73,0.0
121,121,1137,NDIR-SERT,2021-12-13,17,22.12,0.0,W,Fair,84,61,45,6,0,29.73,0.0
122,122,1148,NDIR-SERT,2021-12-13,18,16.01,0.0,W,Fair,81,63,54,3,0,29.73,0.0
123,123,1160,NDIR-SERT,2021-12-13,19,12.22,0.0,NW,Fair,77,64,65,2,0,29.75,0.0
124,124,1168,NDIR-SERT,2021-12-13,20,10.3,0.0,CALM,Fair,75,64,69,0,0,29.78,0.0
125,125,1173,NDIR-SERT,2021-12-13,21,6.78,0.0,,,,,,,,,
126,126,1187,NDIR-SERT,2021-12-13,22,6.22,0.0,,,,,,,,,
127,127,1194,NDIR-SERT,2021-12-13,23,5.99,0.0,,,,,,,,,
128,128,1211,NDIR-SERT,2021-12-14,1,5.93,0.0,,,,,,,,,
129,129,1222,NDIR-SERT,2021-12-14,2,5.4,0.0,,,,,,,,,
130,130,1228,NDIR-SERT,2021-12-14,5,3.79,0.0,,,,,,,,,
131,131,1241,NDIR-SERT,2021-12-14,6,4.98,0.0,VAR,Fair,70,59,68,2,0,29.78,0.0
132,132,1247,NDIR-SERT,2021-12-14,7,3.79,0.0,VAR,Fair,66,61,83,2,0,29.81,0.0
133,133,1259,NDIR-SERT,2021-12-14,8,3.03,0.07,VAR,Fair,72,63,73,1,0,29.81,0.0
134,134,1266,NDIR-SERT,2021-12-14,9,3.62,0.18,NNE,Fair,75,61,61,3,0,29.84,0.0
135,135,1275,NDIR-SERT,2021-12-14,10,7.62,0.0,VAR,Fair,79,59,51,3,0,29.84,0.0
136,136,1282,NDIR-SERT,2021-12-14,11,11.64,0.0,E,Fair,82,55,39,3,0,29.81,0.0
137,137,1290,NDIR-SERT,2021-12-14,14,8.75,0.0,N,Fair,86,57,37,5,0,29.70,0.0
138,138,1301,NDIR-SERT,2021-12-14,15,15.39,0.0,VAR,Fair,86,57,37,5,0,29.70,0.0
139,139,1308,NDIR-SERT,2021-12-14,16,21.8,0.0,NW,Fair,86,59,40,5,0,29.67,0.0
140,140,1318,NDIR-SERT,2021-12-14,17,17.79,0.0,W,Fair,84,61,45,6,0,29.67,0.0
141,141,1329,NDIR-SERT,2021-12-14,18,13.22,0.0,W,Fair,81,63,54,5,0,29.70,0.0
142,142,1336,NDIR-SERT,2021-12-15,6,4.67,0.0,VAR,Fair,66,61,83,1,0,29.75,0.0
143,143,1345,NDIR-SERT,2021-12-15,7,3.93,0.0,NNW,Fair,66,63,88,2,0,29.75,0.0
144,144,1354,NDIR-SERT,2021-12-15,12,7.29,0.0,VAR,Fair,86,61,43,3,0,29.75,0.0
145,145,1363,NDIR-SERT,2021-12-15,13,9.69,0.0,VAR,Fair,86,57,37,2,0,29.73,0.0
146,146,1374,NDIR-SERT,2021-12-15,14,9.39,0.0,NNW,Fair,86,55,35,5,0,29.67,0.0
147,147,1380,NDIR-SERT,2021-12-15,15,13.3,0.0,VAR,Fair,88,55,33,5,0,29.64,0.0
148,148,1393,NDIR-SERT,2021-12-15,16,23.49,0.0,NW,Fair,86,55,35,5,0,29.64,0.0
149,149,1401,NDIR-SERT,2021-12-15,17,26.47,0.0,W,Fair,86,61,43,6,0,29.64,0.0
150,150,1410,NDIR-SERT,2021-12-15,18,13.38,0.0,W,Fair,81,63,54,5,0,29.67,0.0
151,151,1417,NDIR-SERT,2021-12-15,19,11.73,0.0,NW,Fair,75,63,65,1,0,29.67,0.0
152,152,1427,NDIR-SERT,2021-12-15,20,8.0,0.0,W,Fair,73,66,78,1,0,29.70,0.0
153,153,1438,NDIR-SERT,2021-12-15,21,6.58,0.0,,,,,,,,,
154,154,1444,NDIR-SERT,2021-12-15,22,6.4,0.0,,,,,,,,,
155,155,1457,NDIR-SERT,2021-12-15,23,6.73,0.0,,,,,,,,,
156,156,1472,NDIR-SERT,2021-12-16,1,5.85,0.0,,,,,,,,,
157,157,1479,NDIR-SERT,2021-12-16,2,6.15,0.0,,,,,,,,,
158,158,1493,NDIR-SERT,2021-12-16,3,5.92,0.0,,,,,,,,,
159,159,1499,NDIR-SERT,2021-12-16,4,5.92,0.0,,,,,,,,,
160,160,1507,NDIR-SERT,2021-12-16,5,5.84,0.0,,,,,,,,,
161,161,1515,NDIR-SERT,2021-12-16,6,5.49,0.0,NNW,Fair,64,61,88,1,0,29.73,0.0
162,162,1524,NDIR-SERT,2021-12-16,9,3.93,0.0,VAR,Fair,73,63,69,2,0,29.78,0.0
163,163,1533,NDIR-SERT,2021-12-16,10,1.08,0.89,NNW,Fair,77,61,57,3,0,29.78,0.0
164,164,1542,NDIR-SERT,2021-12-16,11,9.07,0.01,VAR,Fair,82,57,42,5,0,29.78,0.0
165,165,1555,NDIR-SERT,2021-12-16,12,4.83,0.61,NNW,Fair,86,57,37,3,0,29.75,0.0
166,166,1564,NDIR-SERT,2021-12-16,13,1.92,1.35,WNW,Fair,88,59,38,5,0,29.70,0.0
167,167,1569,NDIR-SERT,2021-12-16,14,16.1,0.13,WNW,Fair,88,55,33,3,0,29.67,0.0
168,168,1578,NDIR-SERT,2021-12-16,15,20.58,0.0,WNW,Fair,88,61,40,7,0,29.67,0.0
169,169,1592,NDIR-SERT,2021-12-16,16,25.25,0.0,WNW,Fair,88,59,38,7,0,29.64,0.0
170,170,1597,NDIR-SERT,2021-12-16,17,22.13,0.0,W,Fair,86,61,43,7,0,29.67,0.0
171,171,1609,NDIR-SERT,2021-12-16,18,10.95,0.0,W,Fair,82,63,51,5,0,29.67,0.0
172,172,1619,NDIR-SERT,2021-12-16,19,9.05,0.0,NW,Fair,79,64,61,3,0,29.70,0.0
173,173,1624,NDIR-SERT,2021-12-17,6,3.75,0.0,N,Fair,68,63,83,3,0,29.73,0.0
174,174,1632,NDIR-SERT,2021-12-17,7,4.56,0.0,N,Fair,68,63,83,2,0,29.75,0.0
175,175,1644,NDIR-SERT,2021-12-17,8,2.85,0.02,N,Fair,70,64,83,3,0,29.78,0.0
176,176,1652,NDIR-SERT,2021-12-17,9,4.45,0.72,NNW,Fair,75,64,69,3,0,29.78,0.0
177,177,1660,NDIR-SERT,2021-12-17,10,3.72,0.02,VAR,Fair,81,63,54,3,0,29.81,0.0
178,178,1673,NDIR-SERT,2021-12-17,11,1.97,0.65,NNW,Fair,84,63,48,5,0,29.78,0.0
179,179,1680,NDIR-SERT,2021-12-17,12,1.91,0.39,NNW,Fair,88,63,43,5,0,29.75,0.0
180,180,1690,NDIR-SERT,2021-12-17,13,2.98,0.28,VAR,Fair,90,59,36,3,0,29.70,0.0
181,181,1696,NDIR-SERT,2021-12-17,14,8.94,0.01,VAR,Fair,90,61,38,5,0,29.67,0.0
182,182,1706,NDIR-SERT,2021-12-17,15,16.5,0.0,W,Fair,90,59,36,7,0,29.67,0.0
183,183,1717,NDIR-SERT,2021-12-17,16,20.47,0.0,W,Fair,90,63,40,7,0,29.64,0.0
184,184,1724,NDIR-SERT,2021-12-17,17,19.01,0.0,W,Fair,86,63,45,7,0,29.67,0.0
185,185,1734,NDIR-SERT,2021-12-17,18,14.3,0.0,W,Fair,84,66,55,5,0,29.70,0.0
186,186,1741,NDIR-SERT,2021-12-17,19,14.08,0.0,W,Fair,82,66,58,3,0,29.70,0.0
187,187,1750,NDIR-SERT,2021-12-17,20,7.9,0.0,NW,Fair,81,66,61,3,0,29.73,0.0
188,188,1761,NDIR-SERT,2021-12-17,21,6.52,0.0,,,,,,,,,
189,189,1769,NDIR-SERT,2021-12-17,22,6.08,0.0,,,,,,,,,
190,190,1779,NDIR-SERT,2021-12-17,23,6.0,0.0,,,,,,,,,
191,191,1799,NDIR-SERT,2021-12-18,1,5.84,0.0,,,,,,,,,
192,192,1804,NDIR-SERT,2021-12-18,2,5.97,0.0,,,,,,,,,
193,193,1816,NDIR-SERT,2021-12-18,3,5.77,0.0,,,,,,,,,
194,194,1822,NDIR-SERT,2021-12-18,4,5.24,0.0,,,,,,,,,
195,195,1832,NDIR-SERT,2021-12-18,5,5.46,0.0,,,,,,,,,
196,196,1844,NDIR-SERT,2021-12-18,6,5.0,0.0,E,Fair,72,63,73,2,0,29.75,0.0
197,197,1852,NDIR-SERT,2021-12-18,7,5.03,0.0,VAR,Fair,73,64,73,2,0,29.78,0.0
198,198,1858,NDIR-SERT,2021-12-18,8,3.06,0.03,VAR,Fair,75,64,69,1,0,29.81,0.0
199,199,1866,NDIR-SERT,2021-12-18,9,1.16,0.42,CALM,Fair,77,63,61,0,0,29.84,0.0
200,200,1880,NDIR-SERT,2021-12-19,6,2.17,0.0,VAR,Fair,72,54,53,5,0,29.81,0.0
201,201,1884,NDIR-SERT,2021-12-19,7,4.13,0.0,VAR,Fair,70,55,60,3,0,29.81,0.0
202,202,1898,NDIR-SERT,2021-12-19,8,2.73,0.01,VAR,Fair,70,55,60,3,0,29.87,0.0
203,203,1904,NDIR-SERT,2021-12-19,9,0.15,3.2,VAR,Fair,75,54,47,5,0,29.87,0.0
204,204,1911,NDIR-SERT,2021-12-19,10,0.0,9.72,ENE,Fair,77,54,44,7,0,29.90,0.0
205,205,1924,NDIR-SERT,2021-12-19,11,0.0,12.61,VAR,Fair,79,54,42,5,0,29.87,0.0
206,206,1933,NDIR-SERT,2021-12-19,12,0.0,13.87,VAR,Fair,82,55,39,3,0,29.84,0.0
207,207,1938,NDIR-SERT,2021-12-19,13,0.0,14.78,VAR,Fair,82,52,35,3,0,29.78,0.0
208,208,1947,NDIR-SERT,2021-12-19,14,0.17,10.8,VAR,Fair,84,52,33,5,0,29.75,0.0
209,209,1961,NDIR-SERT,2021-12-19,18,3.28,0.0,W,Fair,77,57,50,6,0,29.75,0.0
210,210,1965,NDIR-SERT,2021-12-19,19,7.33,0.0,W,Fair,75,59,57,3,0,29.78,0.0
211,211,1978,NDIR-SERT,2021-12-19,20,6.33,0.0,NW,Fair,72,61,69,3,0,29.78,0.0
212,212,1983,NDIR-SERT,2021-12-19,21,5.01,0.0,,,,,,,,,
213,213,1995,NDIR-SERT,2021-12-19,22,4.66,0.0,,,,,,,,,
214,214,2003,NDIR-SERT,2021-12-19,23,4.91,0.0,,,,,,,,,
215,215,2019,NDIR-SERT,2021-12-20,1,4.88,0.0,,,,,,,,,
216,216,2028,NDIR-SERT,2021-12-20,2,5.29,0.0,,,,,,,,,
217,217,2040,NDIR-SERT,2021-12-20,3,5.07,0.0,,,,,,,,,
218,218,2048,NDIR-SERT,2021-12-20,4,4.92,0.0,,,,,,,,,
219,219,2056,NDIR-SERT,2021-12-20,7,1.31,0.0,NNW,Fair,66,59,78,3,0,29.81,0.0
220,220,2065,NDIR-SERT,2021-12-20,8,7.38,0.0,N,Fair,68,57,68,5,0,29.84,0.0
221,221,2077,NDIR-SERT,2021-12-20,9,8.16,0.0,N,Fair,72,59,64,5,0,29.87,0.0
222,222,2083,NDIR-SERT,2021-12-20,10,4.08,0.19,N,Fair,75,59,57,6,0,29.87,0.0
223,223,2091,NDIR-SERT,2021-12-20,11,4.16,0.44,NNW,Fair,77,55,47,5,0,29.84,0.0
224,224,2100,NDIR-SERT,2021-12-20,12,2.99,0.62,NNW,Fair,79,55,44,8,0,29.81,0.0
225,225,2110,NDIR-SERT,2021-12-20,13,4.87,0.35,NW,Fair,81,54,39,8,0,29.78,0.0
226,226,2118,NDIR-SERT,2021-12-20,14,5.96,0.11,WNW,Fair,82,54,37,9,0,29.73,0.0
227,227,2132,NDIR-SERT,2021-12-20,15,7.39,0.05,NNW,Fair,84,52,33,7,0,29.70,0.0
228,228,2136,NDIR-SERT,2021-12-20,16,8.56,0.01,NW,Fair,82,54,37,9,0,29.70,0.0
229,229,2148,NDIR-SERT,2021-12-20,17,12.14,0.0,NNW,Fair,81,54,39,7,0,29.70,0.0
230,230,2155,NDIR-SERT,2021-12-21,11,42.1,4.32,VAR,Fair,81,57,45,3,0,29.81,0.0
231,231,2165,NDIR-SERT,2021-12-21,12,0.02,5.85,NNE,Fair,82,55,39,3,0,29.78,0.0
232,232,2174,NDIR-SERT,2021-12-21,13,0.19,6.18,VAR,Fair,82,55,39,5,0,29.75,0.0
233,233,2181,NDIR-SERT,2021-12-21,14,1.31,2.53,VAR,Fair,84,57,40,6,0,29.70,0.0
234,234,2195,NDIR-SERT,2021-12-21,15,4.14,0.37,VAR,Fair,86,57,37,3,0,29.70,0.0
235,235,2200,NDIR-SERT,2021-12-21,16,9.43,0.0,W,Fair,84,57,40,6,0,29.70,0.0
236,236,2209,NDIR-SERT,2021-12-21,17,11.85,0.0,W,Fair,82,59,45,6,0,29.70,0.0
237,237,2220,NDIR-SERT,2021-12-21,18,10.91,0.0,W,Fair,79,59,51,3,0,29.73,0.0
238,238,2228,NDIR-SERT,2021-12-21,19,9.31,0.0,CALM,Fair,68,59,73,0,0,29.75,0.0
239,239,2235,NDIR-SERT,2021-12-21,20,7.11,0.0,CALM,Fair,66,59,78,0,0,29.75,0.0
240,240,2245,NDIR-SERT,2021-12-21,21,5.74,0.0,,,,,,,,,
241,241,2253,NDIR-SERT,2021-12-21,22,5.65,0.0,,,,,,,,,
242,242,2263,NDIR-SERT,2021-12-21,23,5.61,0.0,,,,,,,,,
243,243,2281,NDIR-SERT,2021-12-22,1,5.38,0.0,,,,,,,,,
244,244,2290,NDIR-SERT,2021-12-22,2,5.35,0.0,,,,,,,,,
245,245,2302,NDIR-SERT,2021-12-22,3,5.16,0.0,,,,,,,,,
246,246,2312,NDIR-SERT,2021-12-22,4,5.14,0.0,,,,,,,,,
247,247,2321,NDIR-SERT,2021-12-23,5,0.11,0.0,,,,,,,,,
248,248,2328,NDIR-SERT,2021-12-23,6,5.61,0.0,NW,Fair,61,61,100,2,0,29.73,0.0
249,249,2336,NDIR-SERT,2021-12-23,7,4.87,0.0,N,Fair,61,61,100,1,0,29.75,0.0
250,250,2348,NDIR-SERT,2021-12-23,8,4.47,0.0,CALM,Fair,70,64,83,0,0,29.78,0.0
251,251,2356,NDIR-SERT,2021-12-23,9,2.33,0.2,VAR,Fair,75,63,65,1,0,29.81,0.0
252,252,2362,NDIR-SERT,2021-12-23,10,1.35,1.93,VAR,Fair,81,63,54,2,0,29.78,0.0
253,253,2373,NDIR-SERT,2021-12-28,3,5.79,0.0,,,,,,,,,
254,254,2382,NDIR-SERT,2021-12-28,4,6.02,0.0,,,,,,,,,
255,255,2389,NDIR-SERT,2021-12-28,5,5.72,0.0,,,,,,,,,
256,256,2402,NDIR-SERT,2021-12-28,6,5.65,0.0,VAR,Fair,68,66,94,1,0,29.84,0.0
257,257,2410,NDIR-SERT,2021-12-28,7,5.44,0.0,VAR,Fair,70,64,83,1,0,29.87,0.0
258,258,2416,NDIR-SERT,2021-12-28,8,3.67,0.02,VAR,Fair,75,63,65,2,0,29.90,0.0
259,259,2424,NDIR-SERT,2021-12-28,9,3.55,0.01,E,Fair,79,63,57,5,0,29.93,0.0
