id,new_date,hour,load_kW,demand_kWh,supply_kWh,net_kWh
63415,2022-11-25,12,32.42,19.88,0,-19.88
63424,2022-11-25,13,38.79,17.32,0.01,-17.31
63433,2022-11-25,14,34.46,23.35,0,-23.35
63442,2022-11-25,15,30.68,30.45,0,-30.45
63452,2022-11-25,16,35.46,26.49,0,-26.49
63461,2022-11-25,17,16.7,24.31,0,-24.31
63469,2022-11-25,18,8.79,12.19,0,-12.19
63479,2022-11-25,19,4.92,7.35,0,-7.35
63487,2022-11-25,20,5.84,5.54,0,-5.54
63496,2022-11-25,21,6.03,6.12,0,-6.12
63505,2022-11-25,22,5.93,5.86,0,-5.86
63514,2022-11-25,23,6.17,6.09,0,-6.09
63523,2022-11-26,1,5.76,5.81,0,-5.81
63532,2022-11-26,2,6.11,5.89,0,-5.89
63541,2022-11-26,3,6.87,5.81,0,-5.81
63550,2022-11-26,4,6.21,5.86,0,-5.86
63559,2022-11-26,5,5.76,5.84,0,-5.84
63568,2022-11-26,6,4.29,5.47,0,-5.47
63577,2022-11-26,7,5.11,4.49,0,-4.49
63587,2022-11-26,8,3.91,1.89,0.05,-1.84
63595,2022-11-26,9,8.84,0.65,1.5,0.85
63604,2022-11-26,10,25.35,0.22,3.62,3.4
63614,2022-11-26,11,8.56,0,9.25,9.25
63622,2022-11-26,12,15.7,0.27,6.82,6.55
63631,2022-11-26,13,8.34,0.5,8.68,8.18
63640,2022-11-26,14,33.58,1.39,5.07,3.68
63651,2022-11-26,15,19.02,0,7.56,7.56
63658,2022-11-26,16,10.69,2.11,1.38,-0.73
63668,2022-11-26,17,6.96,5.05,0.01,-5.04
63676,2022-11-26,18,7.59,7.17,0,-7.17
63685,2022-11-26,19,4.25,6.25,0,-6.25
63694,2022-11-26,20,6.57,6,0,-6
63703,2022-11-26,21,5.86,6.23,0,-6.23
63712,2022-11-26,22,5.97,6.2,0,-6.2
63721,2022-11-26,23,6.1,6.07,0,-6.07
63730,2022-11-27,1,5.7,6.16,0,-6.16
63739,2022-11-27,2,5.85,5.95,0,-5.95
63748,2022-11-27,3,5.61,5.67,0,-5.67
63757,2022-11-27,4,5.73,5.61,0,-5.61
63766,2022-11-27,5,5.81,5.74,0,-5.74
63775,2022-11-27,6,3.92,5.39,0,-5.39
63784,2022-11-27,7,3.41,4.9,0,-4.9
63795,2022-11-27,8,9.41,0.94,0.96,0.02
63802,2022-11-27,9,19.55,0,5.74,5.74
63813,2022-11-27,10,12.64,0.1,5.78,5.68
63820,2022-11-27,11,26.36,0.06,8.83,8.77
63830,2022-11-27,12,7.78,0.33,8.64,8.31
63839,2022-11-27,13,29.8,0.18,9.86,9.68
63847,2022-11-27,14,10.29,1.13,6.32,5.19
63856,2022-11-27,15,18.78,0.42,5.54,5.12
63865,2022-11-27,16,8.99,1.61,1.3,-0.31
63874,2022-11-27,17,7.46,5.55,0,-5.55
63883,2022-11-27,18,6.67,7.12,0,-7.12
63894,2022-11-27,19,4.19,6.61,0,-6.61
63901,2022-11-27,20,6.05,6.2,0,-6.2
63912,2022-11-27,21,5.98,6.32,0,-6.32
63920,2022-11-27,22,6.14,6.15,0,-6.15
63930,2022-11-27,23,6.02,6.18,0,-6.18
63941,2022-11-28,2,5.82,5.83,0,-5.83
63950,2022-11-28,3,5.92,5.8,0,-5.8
63960,2022-11-28,4,5.64,5.81,0,-5.81
63969,2022-11-28,5,5.84,5.63,0,-5.63
63977,2022-11-28,6,4.41,5.54,0,-5.54
63986,2022-11-28,7,5.64,5.05,0,-5.05
63997,2022-11-28,8,6.79,3.89,0,-3.89
64004,2022-11-28,9,45.36,14.56,0,-14.56
64013,2022-11-28,10,35.47,23.81,0,-23.81
64022,2022-11-28,11,44.35,22.36,0,-22.36
64031,2022-11-28,12,39.39,24.16,0,-24.16
64040,2022-11-28,13,37.92,20.77,0,-20.77
64049,2022-11-28,14,42.25,29,0,-29
64060,2022-11-28,15,44.36,29.92,0,-29.92
64068,2022-11-28,16,43.55,34.17,0,-34.17
64076,2022-11-28,17,13.97,31.52,0,-31.52
64085,2022-11-28,18,13.5,14.95,0,-14.95
64094,2022-11-28,19,9.74,14.55,0,-14.55
64104,2022-11-28,20,11.31,12.42,0,-12.42
64112,2022-11-28,21,12.66,11.75,0,-11.75
64121,2022-11-28,22,12.64,11.68,0,-11.68
64130,2022-11-28,23,12.16,11.86,0,-11.86
64139,2022-11-29,1,9.1,9.22,0,-9.22
64148,2022-11-29,2,6.61,9.61,0,-9.61
64157,2022-11-29,3,6.71,7.67,0,-7.67
64166,2022-11-29,4,6.15,6.5,0,-6.5
64175,2022-11-29,5,5.9,5.89,0,-5.89
64184,2022-11-29,6,3.75,5.63,0,-5.63
64193,2022-11-29,7,8.74,4.94,0,-4.94
64202,2022-11-29,8,7.8,2.45,0.15,-2.3
64211,2022-11-29,9,44.97,19.89,0,-19.89
64220,2022-11-29,10,47.11,29.61,0,-29.61
64229,2022-11-29,11,31.14,27.73,0,-27.73
64238,2022-11-29,12,48.98,27.33,0,-27.33
64247,2022-11-29,13,47.63,31.74,0,-31.74
64257,2022-11-29,14,52.26,31.68,0,-31.68
64265,2022-11-29,15,47.4,37.25,0,-37.25
64274,2022-11-29,16,45.97,42.77,0,-42.77
64283,2022-11-29,17,22.44,35.51,0,-35.51
64292,2022-11-29,18,18.06,19.18,0,-19.18
64301,2022-11-29,19,11.33,12.34,0,-12.34
64310,2022-11-29,20,6.65,8.59,0,-8.59
64319,2022-11-29,21,10.2,8.71,0,-8.71
64328,2022-11-29,22,6.12,8.34,0,-8.34
64337,2022-11-29,23,9.21,8.31,0,-8.31
64346,2022-11-30,1,8.87,7.5,0,-7.5
64355,2022-11-30,3,5.83,7.14,0,-7.14
64364,2022-11-30,4,5.86,5.88,0,-5.88
64373,2022-11-30,5,5.47,5.98,0,-5.98
64383,2022-11-30,6,3.31,5.14,0,-5.14
64391,2022-11-30,7,8.61,5.07,0,-5.07
64400,2022-11-30,8,10.75,2.92,0.05,-2.87
64409,2022-11-30,9,33.81,13.01,0,-13.01
64418,2022-11-30,10,39.44,25.83,0,-25.83
64424,2022-11-30,11,47.58,30.28,0,-30.28
64434,2022-11-30,12,47.94,26.46,0,-26.46
64444,2022-11-30,13,44.84,30.54,0,-30.54
64451,2022-11-30,14,46.66,29.44,0,-29.44
64462,2022-11-30,15,50.42,34.58,0,-34.58
64469,2022-11-30,16,53.15,39.69,0,-39.69
64479,2022-11-30,17,36.06,38.45,0,-38.45
64487,2022-11-30,18,16.15,22.59,0,-22.59
64496,2022-11-30,19,12.12,12.57,0,-12.57
64505,2022-11-30,20,11.9,8.89,0,-8.89
64515,2022-11-30,21,8.63,8.57,0,-8.57
64523,2022-11-30,22,10.37,8.33,0,-8.33
64532,2022-11-30,23,9.78,8,0,-8
64541,2022-12-01,1,9.52,7.55,0,-7.55
64551,2022-12-01,2,6.11,7.36,0,-7.36
64559,2022-12-01,3,6.38,7.38,0,-7.38
64568,2022-12-01,5,5.74,7.33,0,-7.33
64577,2022-12-01,6,5.18,6.14,0,-6.14
64586,2022-12-01,7,9.15,5.97,0,-5.97
64597,2022-12-01,8,6.26,5.9,0,-5.9
64604,2022-12-01,9,37.15,15.66,0,-15.66
64613,2022-12-01,10,39.98,25.08,0,-25.08
64622,2022-12-01,11,38.28,28.42,0,-28.42
64631,2022-12-01,12,40.5,19.86,0,-19.86
64640,2022-12-01,13,36.99,20.33,0,-20.33
64650,2022-12-01,14,35.59,20.95,0,-20.95
64658,2022-12-01,15,35.42,32.25,0,-32.25
64667,2022-12-01,16,39.74,33.63,0,-33.63
64676,2022-12-01,17,14.62,30.45,0,-30.45
64685,2022-12-01,18,11.18,14.7,0,-14.7
64695,2022-12-01,19,7.7,9.1,0,-9.1
64703,2022-12-01,20,6,6.34,0,-6.34
64713,2022-12-01,21,5.94,6.33,0,-6.33
64721,2022-12-01,22,6.13,6.37,0,-6.37
64730,2022-12-10,11,29.22,0,9.11,9.11
64739,2022-12-10,12,29.38,0,10.66,10.66
64748,2022-12-10,13,26.88,0,10.23,10.23
64758,2022-12-10,14,23.76,0.48,7.84,7.36
64766,2022-12-10,15,15.92,0.61,4.95,4.34
64775,2022-12-10,16,12.88,3.31,0.6,-2.71
64784,2022-12-10,17,8.19,6.61,0,-6.61
64793,2022-12-10,18,5.99,7.1,0,-7.1
64802,2022-12-10,19,6.19,6.92,0,-6.92
64811,2022-12-10,20,8.2,6.31,0,-6.31
64820,2022-12-10,21,6.51,6.83,0,-6.83
64830,2022-12-10,22,6.75,6.47,0,-6.47
64838,2022-12-10,23,6.03,6.4,0,-6.4
64847,2022-12-11,1,6.17,6.3,0,-6.3
64856,2022-12-11,2,6.75,6.37,0,-6.37
64865,2022-12-11,3,6.51,6.33,0,-6.33
64874,2022-12-11,4,6.09,6.33,0,-6.33
64883,2022-12-11,5,6.14,6.12,0,-6.12
64892,2022-12-11,6,3.99,5.8,0,-5.8
64901,2022-12-11,7,5.38,5.23,0,-5.23
64910,2022-12-11,8,8.55,2.15,0.37,-1.78
64919,2022-12-11,9,5.17,0.12,2.29,2.17
64929,2022-12-11,10,9.62,0.39,1.33,0.94
64937,2022-12-11,11,21.78,0,8.21,8.21
64946,2022-12-11,12,31.83,0.02,10.7,10.68
64955,2022-12-11,13,31.21,0,9.25,9.25
64966,2022-12-11,14,17.64,0,10.08,10.08
64973,2022-12-11,15,18.79,0.07,3.74,3.67
64982,2022-12-11,16,8.14,1.16,0.45,-0.71
64991,2022-12-11,17,10.65,5.89,0,-5.89
65001,2022-12-11,18,7.01,7.27,0,-7.27
65009,2022-12-11,19,7.14,7.03,0,-7.03
65019,2022-12-11,20,8.62,6.9,0,-6.9
65027,2022-12-11,21,5.68,6.41,0,-6.41
65036,2022-12-11,22,6.21,6.25,0,-6.25
65046,2022-12-11,23,6.41,6.39,0,-6.39
65056,2022-12-12,1,5.9,6.2,0,-6.2
65063,2022-12-12,2,5.86,6.05,0,-6.05
65072,2022-12-12,3,6.12,6.21,0,-6.21
65081,2022-12-12,4,6.36,5.86,0,-5.86
65090,2022-12-12,5,6.51,5.88,0,-5.88
65099,2022-12-12,6,3.44,5.56,0,-5.56
65108,2022-12-12,7,3.35,4.56,0,-4.56
65117,2022-12-12,8,4.05,3.57,0,-3.57
65126,2022-12-12,9,17.58,0.28,3.6,3.32
65135,2022-12-12,10,26.33,0,7.32,7.32
65144,2022-12-12,11,31.26,0,9.77,9.77
65153,2022-12-12,12,31.57,0,10.85,10.85
65162,2022-12-12,13,29.55,0,10.35,10.35
65171,2022-12-12,14,24.58,0,8.79,8.79
65180,2022-12-12,15,14.2,0,4.81,4.81
65189,2022-12-12,16,7.81,0.7,0.85,0.15
65199,2022-12-12,17,14.33,6.95,0,-6.95
65207,2022-12-12,18,10.12,12.52,0,-12.52
65216,2022-12-12,19,6.61,10.2,0,-10.2
65226,2022-12-12,20,8.75,6.41,0,-6.41
65234,2022-12-12,21,6.37,6.76,0,-6.76
65243,2022-12-12,22,6.71,6.41,0,-6.41
65252,2022-12-12,23,7.44,7.24,0,-7.24
65261,2022-12-13,1,6.4,5.93,0,-5.93
65270,2022-12-13,2,5.63,6.12,0,-6.12
65279,2022-12-13,3,6.21,5.67,0,-5.67
65288,2022-12-13,4,4.24,6.11,0,-6.11
65297,2022-12-13,5,5.88,5.64,0,-5.64
65306,2022-12-13,6,4.05,5.71,0,-5.71
65315,2022-12-13,7,5.56,5.18,0,-5.18
65324,2022-12-13,8,5.91,6.66,0,-6.66
65333,2022-12-13,9,24.73,14.45,0,-14.45
65342,2022-12-13,10,38.96,24.47,0,-24.47
65354,2022-12-13,12,40.74,22.22,0,-22.22
65363,2022-12-13,13,38.69,25.75,0,-25.75
65372,2022-12-13,14,34.46,23.06,0,-23.06
65381,2022-12-13,15,35.49,25.56,0,-25.56
65390,2022-12-13,16,41.59,34.88,0,-34.88
65399,2022-12-13,17,24.75,29.98,0,-29.98
65409,2022-12-13,18,19.38,20.72,0,-20.72
65417,2022-12-13,19,8.78,10.08,0,-10.08
65426,2022-12-13,20,7.02,8.12,0,-8.12
65435,2022-12-13,21,6.52,6.72,0,-6.72
65444,2022-12-13,22,9.43,7.41,0,-7.41
65456,2022-12-14,1,5.83,5.84,0,-5.84
65465,2022-12-14,2,5.87,5.83,0,-5.83
65474,2022-12-14,3,6.06,5.67,0,-5.67
65484,2022-12-14,4,6.36,5.66,0,-5.66
65492,2022-12-14,5,6.04,5.55,0,-5.55
65501,2022-12-14,6,4.09,5.11,0,-5.11
65510,2022-12-14,7,6.6,4.78,0,-4.78
65519,2022-12-14,8,6.64,5.06,0,-5.06
65528,2022-12-14,9,31.6,5.77,1.31,-4.46
65537,2022-12-14,10,31.53,15.64,0,-15.64
65546,2022-12-14,11,35.3,15.73,0,-15.73
65555,2022-12-14,14,39.59,19.36,0,-19.36
65564,2022-12-14,15,31.77,26.56,0,-26.56
65573,2022-12-14,16,33.47,25.15,0,-25.15
65582,2022-12-14,17,26.76,26.99,0,-26.99
65591,2022-12-14,20,6.02,5.55,0,-5.55
65594,2022-12-14,21,6.3,5.66,0,-5.66
65603,2022-12-14,22,6.59,5.83,0,-5.83
65612,2022-12-14,23,6.77,5.78,0,-5.78
65621,2022-12-15,1,6.54,5.83,0,-5.83
65631,2022-12-15,2,6.52,5.71,0,-5.71
65639,2022-12-15,3,5.1,5.89,0,-5.89
65648,2022-12-15,4,6.39,5.69,0,-5.69
65657,2022-12-15,5,6.4,5.77,0,-5.77
65666,2022-12-15,6,3.79,5.11,0,-5.11
65675,2022-12-15,7,5.93,4.59,0,-4.59
65684,2022-12-15,8,9.77,2.39,0.14,-2.25
65693,2022-12-15,9,25.51,5.1,0.74,-4.36
65705,2022-12-15,11,27.48,8.37,0,-8.37
65714,2022-12-15,13,28.35,9.67,0,-9.67
65723,2022-12-15,14,37.62,15.77,0,-15.77
65728,2022-12-15,15,34.42,17.14,0,-17.14
65736,2022-12-15,16,29.73,26.94,0,-26.94
65745,2022-12-15,17,19.24,19.73,0,-19.73
65755,2022-12-15,18,10.73,18.34,0,-18.34
65763,2022-12-15,19,6.88,10.68,0,-10.68
65772,2022-12-15,20,5.68,5.65,0,-5.65
65781,2022-12-15,21,5.71,5.55,0,-5.55
65791,2022-12-15,22,4.21,5.59,0,-5.59
65799,2022-12-15,23,5.57,5.53,0,-5.53
65808,2022-12-16,1,5.75,5.43,0,-5.43
65817,2022-12-16,2,3.71,5.32,0,-5.32
65826,2022-12-16,3,5.27,5.1,0,-5.1
65839,2022-12-16,5,5.05,5,0,-5
65846,2022-12-16,6,3.54,4.89,0,-4.89
65855,2022-12-16,7,4.99,4.3,0,-4.3
65864,2022-12-16,8,8.21,2.14,0.24,-1.9
65873,2022-12-16,9,16.65,0.28,2.62,2.34
65882,2022-12-16,10,25.56,6.14,0.76,-5.38
65891,2022-12-16,11,23.71,5.11,0.13,-4.98
65900,2022-12-16,12,26.07,8.56,0,-8.56
