,Unnamed: 0,level_0,id,name,new_date,hour,demand_kWh,supply_kWh,Wind,Condition,temperature(°F),dew_point(°F),humidity(%),wind_speed(°mph),wind_gust(°mph),pressure(°in),precip(°in),temperature(°C),dew_point(°C)
661,661,661,6196,NDIR-SERT,2022-01-15,15,0.02,4.6,SSW,Fair,90.0,59.0,36.0,6.0,0.0,29.7,0.0,32.22,15.0
662,662,662,6205,NDIR-SERT,2022-01-15,16,1.65,0.88,SSW,Fair,88.0,59.0,38.0,6.0,0.0,29.67,0.0,31.11,15.0
663,663,663,6214,NDIR-SERT,2022-01-15,17,6.72,0.0,WSW,Fair,88.0,61.0,40.0,6.0,0.0,29.7,0.0,31.11,16.11
664,664,664,6225,NDIR-SERT,2022-01-15,18,11.05,0.0,W,Fair,86.0,63.0,45.0,3.0,0.0,29.7,0.0,30.0,17.22
665,665,665,6231,NDIR-SERT,2022-01-15,19,12.82,0.0,CALM,Fair,79.0,64.0,61.0,0.0,0.0,29.7,0.0,26.11,17.78
666,666,666,6241,NDIR-SERT,2022-01-15,20,10.78,0.0,CALM,Fair,77.0,64.0,65.0,0.0,0.0,29.73,0.0,25.0,17.78
675,675,675,6330,NDIR-SERT,2022-01-16,6,5.94,0.0,N,Fair,68.0,64.0,88.0,1.0,0.0,29.75,0.0,20.0,17.78
676,676,676,6339,NDIR-SERT,2022-01-16,7,4.84,0.0,VAR,Shallow Fog,68.0,66.0,94.0,1.0,0.0,29.78,0.0,20.0,18.89
677,677,677,6349,NDIR-SERT,2022-01-16,8,3.35,0.0,VAR,Fair,72.0,68.0,88.0,1.0,0.0,29.81,0.0,22.22,20.0
678,678,678,6358,NDIR-SERT,2022-01-16,9,1.21,1.11,VAR,Fair,77.0,66.0,69.0,1.0,0.0,29.84,0.0,25.0,18.89
679,679,679,6366,NDIR-SERT,2022-01-16,10,0.01,6.47,VAR,Fair,81.0,66.0,61.0,3.0,0.0,29.84,0.0,27.22,18.89
680,680,680,6376,NDIR-SERT,2022-01-16,11,0.0,11.19,SSE,Fair,84.0,64.0,51.0,7.0,0.0,29.81,0.0,28.89,17.78
681,681,681,6385,NDIR-SERT,2022-01-16,12,0.0,9.75,S,Fair,86.0,64.0,48.0,7.0,0.0,29.78,0.0,30.0,17.78
682,682,682,6394,NDIR-SERT,2022-01-16,13,0.0,10.33,S,Fair,88.0,63.0,43.0,6.0,0.0,29.75,0.0,31.11,17.22
683,683,683,6403,NDIR-SERT,2022-01-16,14,0.0,8.22,SSE,Fair,90.0,59.0,36.0,8.0,0.0,29.73,0.0,32.22,15.0
684,684,684,6411,NDIR-SERT,2022-01-16,15,0.06,4.2,S,Fair,90.0,61.0,38.0,5.0,0.0,29.7,0.0,32.22,16.11
685,685,685,6420,NDIR-SERT,2022-01-16,16,1.36,0.92,SSW,Fair,90.0,61.0,38.0,5.0,0.0,29.7,0.0,32.22,16.11
686,686,686,6429,NDIR-SERT,2022-01-16,17,5.58,0.03,S,Fair,88.0,61.0,40.0,5.0,0.0,29.7,0.0,31.11,16.11
687,687,687,6441,NDIR-SERT,2022-01-16,18,10.48,0.0,VAR,Fair,84.0,64.0,51.0,1.0,0.0,29.7,0.0,28.89,17.78
688,688,688,6448,NDIR-SERT,2022-01-16,19,11.04,0.0,WNW,Fair,79.0,64.0,61.0,2.0,0.0,29.73,0.0,26.11,17.78
689,689,689,6457,NDIR-SERT,2022-01-16,20,9.77,0.0,VAR,Fair,77.0,66.0,69.0,1.0,0.0,29.73,0.0,25.0,18.89
698,698,698,6547,NDIR-SERT,2022-01-17,6,6.03,0.0,CALM,Fair,68.0,64.0,88.0,0.0,0.0,29.78,0.0,20.0,17.78
699,699,699,6555,NDIR-SERT,2022-01-17,7,5.64,0.0,NNW,Mist,70.0,66.0,88.0,1.0,0.0,29.78,0.0,21.11,18.89
700,700,700,6564,NDIR-SERT,2022-01-17,8,4.69,0.0,VAR,Fair,72.0,66.0,83.0,1.0,0.0,29.81,0.0,22.22,18.89
701,701,701,6573,NDIR-SERT,2022-01-17,9,6.56,0.0,VAR,Fair,75.0,66.0,73.0,2.0,0.0,29.84,0.0,23.89,18.89
702,702,702,6582,NDIR-SERT,2022-01-17,10,10.98,0.0,E,Fair,81.0,66.0,61.0,3.0,0.0,29.84,0.0,27.22,18.89
703,703,703,6592,NDIR-SERT,2022-01-17,11,9.16,0.0,ESE,Fair,84.0,64.0,51.0,3.0,0.0,29.84,0.0,28.89,17.78
704,704,704,6600,NDIR-SERT,2022-01-17,12,16.34,0.0,SSE,Fair,86.0,64.0,48.0,5.0,0.0,29.81,0.0,30.0,17.78
705,705,705,6610,NDIR-SERT,2022-01-17,13,18.47,0.0,SSE,Fair,88.0,61.0,40.0,5.0,0.0,29.75,0.0,31.11,16.11
706,706,706,6619,NDIR-SERT,2022-01-17,14,24.09,0.0,SW,Fair,90.0,61.0,38.0,6.0,0.0,29.73,0.0,32.22,16.11
707,707,707,6627,NDIR-SERT,2022-01-17,15,27.25,0.0,SW,Fair,90.0,61.0,38.0,6.0,0.0,29.7,0.0,32.22,16.11
708,708,708,6637,NDIR-SERT,2022-01-17,16,20.37,0.0,S,Fair,90.0,61.0,38.0,5.0,0.0,29.7,0.0,32.22,16.11
709,709,709,6645,NDIR-SERT,2022-01-17,17,21.21,0.0,SSW,Fair,88.0,61.0,40.0,3.0,0.0,29.7,0.0,31.11,16.11
710,710,710,6655,NDIR-SERT,2022-01-17,18,28.03,0.0,VAR,Fair,86.0,64.0,48.0,1.0,0.0,29.7,0.0,30.0,17.78
711,711,711,6664,NDIR-SERT,2022-01-17,19,15.46,0.0,VAR,Fair,81.0,64.0,58.0,1.0,0.0,29.73,0.0,27.22,17.78
712,712,712,6672,NDIR-SERT,2022-01-17,20,9.37,0.0,NW,Fair,79.0,66.0,65.0,1.0,0.0,29.75,0.0,26.11,18.89
721,721,721,6762,NDIR-SERT,2022-01-18,6,6.2,0.0,NW,Fair,70.0,70.0,100.0,6.0,0.0,29.75,0.0,21.11,21.11
722,722,722,6771,NDIR-SERT,2022-01-18,7,5.56,0.0,VAR,Fair,72.0,70.0,94.0,1.0,0.0,29.78,0.0,22.22,21.11
723,723,723,6780,NDIR-SERT,2022-01-18,8,5.63,0.0,VAR,Fair,73.0,70.0,88.0,2.0,0.0,29.81,0.0,22.78,21.11
724,724,724,6790,NDIR-SERT,2022-01-18,9,8.71,0.0,VAR,Fair,79.0,68.0,69.0,1.0,0.0,29.84,0.0,26.11,20.0
725,725,725,6799,NDIR-SERT,2022-01-18,10,9.95,0.03,S,Fair,82.0,66.0,58.0,5.0,0.0,29.84,0.0,27.78,18.89
726,726,726,6808,NDIR-SERT,2022-01-18,11,12.65,0.0,SSE,Fair,84.0,66.0,55.0,6.0,0.0,29.81,0.0,28.89,18.89
727,727,727,6816,NDIR-SERT,2022-01-18,12,13.14,0.0,SW,Fair,84.0,64.0,51.0,6.0,0.0,29.78,0.0,28.89,17.78
728,728,728,6825,NDIR-SERT,2022-01-18,13,11.85,0.0,SW,Fair,86.0,66.0,51.0,6.0,0.0,29.78,0.0,30.0,18.89
729,729,729,6834,NDIR-SERT,2022-01-18,14,14.56,0.0,SW,Fair,88.0,64.0,46.0,6.0,0.0,29.73,0.0,31.11,17.78
730,730,730,6844,NDIR-SERT,2022-01-18,15,20.89,0.0,S,Fair,88.0,64.0,46.0,5.0,0.0,29.7,0.0,31.11,17.78
731,731,731,6852,NDIR-SERT,2022-01-18,16,25.28,0.0,SW,Fair,88.0,64.0,46.0,3.0,0.0,29.7,0.0,31.11,17.78
732,732,732,6862,NDIR-SERT,2022-01-18,17,24.83,0.0,VAR,Fair,88.0,64.0,46.0,2.0,0.0,29.7,0.0,31.11,17.78
733,733,733,6873,NDIR-SERT,2022-01-18,18,21.43,0.0,ENE,Fair,82.0,66.0,58.0,2.0,0.0,29.7,0.0,27.78,18.89
734,734,734,6879,NDIR-SERT,2022-01-18,19,16.66,0.0,VAR,Fair,79.0,68.0,69.0,1.0,0.0,29.7,0.0,26.11,20.0
735,735,735,6888,NDIR-SERT,2022-01-18,20,9.11,0.0,VAR,Fair,77.0,68.0,74.0,2.0,0.0,29.73,0.0,25.0,20.0
744,744,744,6979,NDIR-SERT,2022-01-19,6,5.88,0.0,VAR,Fair,66.0,64.0,94.0,1.0,0.0,29.75,0.0,18.89,17.78
745,745,745,6988,NDIR-SERT,2022-01-19,7,5.42,0.0,VAR,Fair,72.0,61.0,69.0,1.0,0.0,29.75,0.0,22.22,16.11
746,746,746,6999,NDIR-SERT,2022-01-19,8,4.38,0.0,VAR,Fair,75.0,61.0,61.0,2.0,0.0,29.78,0.0,23.89,16.11
747,747,747,7006,NDIR-SERT,2022-01-19,9,11.53,0.0,SE,Fair,75.0,63.0,65.0,5.0,0.0,29.81,0.0,23.89,17.22
748,748,748,7015,NDIR-SERT,2022-01-19,10,10.95,0.02,SSE,Fair,79.0,63.0,57.0,3.0,0.0,29.81,0.0,26.11,17.22
749,749,749,7024,NDIR-SERT,2022-01-19,11,7.99,0.04,VAR,Fair,81.0,63.0,54.0,6.0,0.0,29.81,0.0,27.22,17.22
750,750,750,7032,NDIR-SERT,2022-01-19,12,8.18,0.05,W,Fair,82.0,63.0,51.0,6.0,0.0,29.78,0.0,27.78,17.22
751,751,751,7042,NDIR-SERT,2022-01-19,13,5.26,0.06,W,Fair,84.0,63.0,48.0,5.0,0.0,29.73,0.0,28.89,17.22
752,752,752,7051,NDIR-SERT,2022-01-19,14,8.82,0.01,VAR,Fair,86.0,64.0,48.0,3.0,0.0,29.7,0.0,30.0,17.78
753,753,753,7060,NDIR-SERT,2022-01-19,15,15.55,0.0,W,Fair,86.0,63.0,45.0,6.0,0.0,29.67,0.0,30.0,17.22
754,754,754,7069,NDIR-SERT,2022-01-19,16,21.54,0.0,W,Fair,86.0,63.0,45.0,5.0,0.0,29.64,0.0,30.0,17.22
755,755,755,7080,NDIR-SERT,2022-01-19,17,22.26,0.0,SW,Fair,86.0,63.0,45.0,3.0,0.0,29.64,0.0,30.0,17.22
756,756,756,7087,NDIR-SERT,2022-01-19,18,12.53,0.0,SSE,Fair,81.0,63.0,54.0,2.0,0.0,29.64,0.0,27.22,17.22
757,757,757,7096,NDIR-SERT,2022-01-20,11,12.12,0.0,WNW,Fair,82.0,61.0,48.0,5.0,0.0,29.75,0.0,27.78,16.11
758,758,758,7105,NDIR-SERT,2022-01-20,12,15.59,0.0,VAR,Fair,84.0,63.0,48.0,3.0,0.0,29.73,0.0,28.89,17.22
759,759,759,7113,NDIR-SERT,2022-01-20,13,16.24,0.0,VAR,Fair,84.0,64.0,51.0,3.0,0.0,29.7,0.0,28.89,17.78
760,760,760,7123,NDIR-SERT,2022-01-20,14,19.03,0.0,SSW,Fair,86.0,64.0,48.0,7.0,0.0,29.67,0.0,30.0,17.78
761,761,761,7132,NDIR-SERT,2022-01-24,8,3.24,0.0,VAR,Fair,68.0,63.0,83.0,1.0,0.0,29.73,0.0,20.0,17.22
762,762,762,7147,NDIR-SERT,2022-01-24,9,7.01,0.06,E,Fair,73.0,63.0,69.0,3.0,0.0,29.75,0.0,22.78,17.22
763,763,763,7157,NDIR-SERT,2022-01-24,10,5.5,0.09,S,Fair,79.0,64.0,61.0,3.0,0.0,29.75,0.0,26.11,17.78
771,771,771,7230,NDIR-SERT,2022-01-25,6,6.54,0.0,N,Fair,70.0,63.0,78.0,2.0,0.0,29.7,0.0,21.11,17.22
772,772,772,7240,NDIR-SERT,2022-01-25,8,4.9,0.0,VAR,Fair,73.0,64.0,73.0,1.0,0.0,29.73,0.0,22.78,17.78
773,773,773,7248,NDIR-SERT,2022-01-25,9,4.47,0.11,VAR,Fair,77.0,64.0,65.0,2.0,0.0,29.75,0.0,25.0,17.78
774,774,774,7258,NDIR-SERT,2022-01-25,10,13.17,0.0,E,Fair,79.0,63.0,57.0,3.0,0.0,29.75,0.0,26.11,17.22
775,775,775,7266,NDIR-SERT,2022-01-25,11,11.06,0.0,VAR,Fair,84.0,63.0,48.0,2.0,0.0,29.75,0.0,28.89,17.22
776,776,776,7285,NDIR-SERT,2022-01-25,16,14.98,0.0,SSW,Fair,90.0,57.0,33.0,5.0,0.0,29.61,0.0,32.22,13.89
777,777,777,7294,NDIR-SERT,2022-01-25,17,32.64,0.0,SE,Fair,90.0,59.0,36.0,5.0,0.0,29.61,0.0,32.22,15.0
778,778,778,7303,NDIR-SERT,2022-01-25,18,19.38,0.0,SE,Fair,84.0,61.0,45.0,2.0,0.0,29.61,0.0,28.89,16.11
779,779,779,7311,NDIR-SERT,2022-01-25,19,17.48,0.0,CALM,Fair,79.0,64.0,61.0,0.0,0.0,29.61,0.0,26.11,17.78
780,780,780,7320,NDIR-SERT,2022-01-25,20,10.92,0.0,VAR,Fair,77.0,63.0,61.0,1.0,0.0,29.64,0.0,25.0,17.22
789,789,789,7410,NDIR-SERT,2022-01-26,6,5.4,0.0,NE,Fair,66.0,63.0,88.0,2.0,0.0,29.67,0.0,18.89,17.22
790,790,790,7420,NDIR-SERT,2022-01-26,7,4.79,0.0,VAR,Fair,68.0,63.0,83.0,2.0,0.0,29.7,0.0,20.0,17.22
791,791,791,7428,NDIR-SERT,2022-01-26,8,4.23,0.03,VAR,Fair,73.0,63.0,69.0,2.0,0.0,29.73,0.0,22.78,17.22
792,792,792,7438,NDIR-SERT,2022-01-26,9,6.46,0.11,N,Fair,77.0,63.0,61.0,3.0,0.0,29.75,0.0,25.0,17.22
793,793,793,7451,NDIR-SERT,2022-01-26,10,11.95,0.0,VAR,Fair,81.0,63.0,54.0,2.0,0.0,29.75,0.0,27.22,17.22
794,794,794,7456,NDIR-SERT,2022-01-26,11,9.76,0.0,VAR,Fair,86.0,59.0,40.0,2.0,0.0,29.75,0.0,30.0,15.0
795,795,795,7464,NDIR-SERT,2022-01-26,12,10.39,0.0,VAR,Fair,90.0,59.0,36.0,2.0,0.0,29.73,0.0,32.22,15.0
796,796,796,7474,NDIR-SERT,2022-01-26,13,9.95,0.0,VAR,Fair,91.0,59.0,34.0,3.0,0.0,29.67,0.0,32.78,15.0
797,797,797,7483,NDIR-SERT,2022-01-26,14,25.93,0.0,VAR,Fair,91.0,59.0,34.0,3.0,0.0,29.67,0.0,32.78,15.0
798,798,798,7492,NDIR-SERT,2022-01-26,15,31.72,0.0,S,Fair,93.0,54.0,26.0,6.0,0.0,29.64,0.0,33.89,12.22
799,799,799,7501,NDIR-SERT,2022-01-26,16,33.17,0.0,SSE,Fair,91.0,54.0,28.0,6.0,0.0,29.61,0.0,32.78,12.22
800,800,800,7510,NDIR-SERT,2022-01-26,17,31.68,0.0,ESE,Fair,90.0,55.0,31.0,5.0,0.0,29.61,0.0,32.22,12.78
801,801,801,7518,NDIR-SERT,2022-01-26,18,16.42,0.0,N,Fair,88.0,57.0,35.0,1.0,0.0,29.61,0.0,31.11,13.89
802,802,802,7528,NDIR-SERT,2022-01-26,19,14.19,0.0,CALM,Fair,81.0,61.0,51.0,0.0,0.0,29.64,0.0,27.22,16.11
803,803,803,7536,NDIR-SERT,2022-01-26,20,11.23,0.0,NW,Fair,79.0,59.0,51.0,2.0,0.0,29.64,0.0,26.11,15.0
812,812,812,7626,NDIR-SERT,2022-01-27,6,5.22,0.0,NNW,Fair,70.0,61.0,73.0,1.0,0.0,29.67,0.0,21.11,16.11
813,813,813,7635,NDIR-SERT,2022-01-27,7,5.1,0.0,E,Fair,68.0,63.0,83.0,1.0,0.0,29.7,0.0,20.0,17.22
814,814,814,7644,NDIR-SERT,2022-01-27,8,5.0,0.0,VAR,Fair,72.0,64.0,78.0,1.0,0.0,29.73,0.0,22.22,17.78
815,815,815,7654,NDIR-SERT,2022-01-27,9,5.5,0.01,VAR,Fair,77.0,63.0,61.0,1.0,0.0,29.73,0.0,25.0,17.22
816,816,816,7663,NDIR-SERT,2022-01-27,10,15.71,0.0,ESE,Fair,81.0,61.0,51.0,3.0,0.0,29.75,0.0,27.22,16.11
817,817,817,7671,NDIR-SERT,2022-01-27,11,20.68,0.0,VAR,Fair,86.0,59.0,40.0,2.0,0.0,29.75,0.0,30.0,15.0
818,818,818,7681,NDIR-SERT,2022-01-27,12,13.56,0.0,VAR,Fair,88.0,57.0,35.0,2.0,0.0,29.73,0.0,31.11,13.89
819,819,819,7690,NDIR-SERT,2022-01-27,13,11.71,0.01,W,Fair,91.0,59.0,34.0,5.0,0.0,29.7,0.0,32.78,15.0
820,820,820,7698,NDIR-SERT,2022-01-27,14,20.62,0.0,VAR,Fair,91.0,61.0,36.0,2.0,0.0,29.64,0.0,32.78,16.11
821,821,821,7707,NDIR-SERT,2022-01-27,15,28.32,0.0,ESE,Fair,91.0,59.0,34.0,3.0,0.0,29.64,0.0,32.78,15.0
822,822,822,7717,NDIR-SERT,2022-01-27,16,34.85,0.0,SE,Fair,91.0,63.0,38.0,3.0,0.0,29.61,0.0,32.78,17.22
823,823,823,7725,NDIR-SERT,2022-01-27,17,32.71,0.0,VAR,Fair,91.0,61.0,36.0,2.0,0.0,29.61,0.0,32.78,16.11
824,824,824,7735,NDIR-SERT,2022-01-27,18,21.34,0.0,VAR,Fair,86.0,63.0,45.0,1.0,0.0,29.64,0.0,30.0,17.22
825,825,825,7744,NDIR-SERT,2022-01-27,19,17.36,0.0,WNW,Fair,82.0,64.0,54.0,2.0,0.0,29.64,0.0,27.78,17.78
826,826,826,7752,NDIR-SERT,2022-01-27,20,10.19,0.0,VAR,Fair,79.0,66.0,65.0,1.0,0.0,29.67,0.0,26.11,18.89
830,830,830,7788,NDIR-SERT,2022-01-28,6,5.5,0.0,CALM,Fair,70.0,64.0,83.0,0.0,0.0,29.67,0.0,21.11,17.78
831,831,831,7798,NDIR-SERT,2022-01-28,7,5.0,0.0,VAR,Fair,70.0,64.0,83.0,2.0,0.0,29.7,0.0,21.11,17.78
832,832,832,7806,NDIR-SERT,2022-01-28,8,4.85,0.0,SSE,Fair,72.0,66.0,83.0,2.0,0.0,29.73,0.0,22.22,18.89
833,833,833,7815,NDIR-SERT,2022-01-28,9,4.11,0.0,VAR,Fair,77.0,66.0,69.0,1.0,0.0,29.75,0.0,25.0,18.89
834,834,834,7824,NDIR-SERT,2022-01-28,10,9.43,0.03,VAR,Fair,82.0,63.0,51.0,2.0,0.0,29.75,0.0,27.78,17.22
835,835,835,7833,NDIR-SERT,2022-01-28,11,5.77,0.37,VAR,Fair,86.0,59.0,40.0,2.0,0.0,29.75,0.0,30.0,15.0
836,836,836,7842,NDIR-SERT,2022-01-28,12,8.54,0.17,VAR,Fair,90.0,61.0,38.0,3.0,0.0,29.73,0.0,32.22,16.11
837,837,837,7852,NDIR-SERT,2022-01-28,13,8.94,0.0,W,Fair,90.0,61.0,38.0,7.0,0.0,29.67,0.0,32.22,16.11
838,838,838,7861,NDIR-SERT,2022-01-28,14,12.29,0.0,W,Fair,91.0,61.0,36.0,7.0,0.0,29.64,0.0,32.78,16.11
839,839,839,7870,NDIR-SERT,2022-01-28,15,14.87,0.0,W,Fair,91.0,59.0,34.0,5.0,0.0,29.61,0.0,32.78,15.0
840,840,840,7878,NDIR-SERT,2022-01-28,16,21.45,0.0,VAR,Fair,91.0,59.0,34.0,2.0,0.0,29.61,0.0,32.78,15.0
841,841,841,7888,NDIR-SERT,2022-01-28,17,31.53,0.0,S,Fair,91.0,59.0,34.0,3.0,0.0,29.61,0.0,32.78,15.0
842,842,842,7900,NDIR-SERT,2022-01-28,18,17.68,0.0,ESE,Fair,86.0,64.0,48.0,2.0,0.0,29.61,0.0,30.0,17.78
843,843,843,7906,NDIR-SERT,2022-01-28,19,12.5,0.0,SE,Fair,82.0,66.0,58.0,1.0,0.0,29.64,0.0,27.78,18.89
844,844,844,7914,NDIR-SERT,2022-01-28,20,10.9,0.0,S,Fair,79.0,68.0,69.0,1.0,0.0,29.64,0.0,26.11,20.0
846,846,846,7932,NDIR-SERT,2022-01-29,8,4.74,0.0,CALM,Fair,72.0,66.0,83.0,0.0,0.0,29.7,0.0,22.22,18.89
847,847,847,7941,NDIR-SERT,2022-01-29,9,1.17,0.63,CALM,Fair,79.0,66.0,65.0,0.0,0.0,29.73,0.0,26.11,18.89
848,848,848,7951,NDIR-SERT,2022-01-29,10,0.0,5.03,ESE,Fair,82.0,61.0,48.0,3.0,0.0,29.75,0.0,27.78,16.11
849,849,849,7960,NDIR-SERT,2022-01-29,11,0.0,7.77,VAR,Fair,86.0,61.0,43.0,3.0,0.0,29.73,0.0,30.0,16.11
850,850,850,7969,NDIR-SERT,2022-01-29,12,0.0,9.77,VAR,Fair,88.0,59.0,38.0,3.0,0.0,29.7,0.0,31.11,15.0
851,851,851,7977,NDIR-SERT,2022-01-29,13,0.0,10.37,VAR,Fair,90.0,59.0,36.0,5.0,0.0,29.64,0.0,32.22,15.0
852,852,852,7989,NDIR-SERT,2022-01-29,14,0.0,8.42,WNW,Fair,91.0,57.0,31.0,9.0,0.0,29.61,0.0,32.78,13.89
853,853,853,7997,NDIR-SERT,2022-01-29,15,0.0,7.7,WNW,Fair,91.0,59.0,34.0,6.0,0.0,29.58,0.0,32.78,15.0
854,854,854,8004,NDIR-SERT,2022-01-29,16,0.99,3.06,W,Fair,91.0,59.0,34.0,6.0,0.0,29.55,0.0,32.78,15.0
855,855,855,8014,NDIR-SERT,2022-01-29,17,4.78,0.09,SSW,Fair,91.0,59.0,34.0,3.0,0.0,29.55,0.0,32.78,15.0
856,856,856,8024,NDIR-SERT,2022-01-29,18,11.09,0.0,SE,Fair,86.0,63.0,45.0,2.0,0.0,29.55,0.0,30.0,17.22
857,857,857,8031,NDIR-SERT,2022-01-29,19,13.38,0.0,E,Fair,82.0,66.0,58.0,1.0,0.0,29.58,0.0,27.78,18.89
858,858,858,8043,NDIR-SERT,2022-01-29,20,14.07,0.0,WNW,Fair,81.0,66.0,61.0,2.0,0.0,29.61,0.0,27.22,18.89
867,867,867,8130,NDIR-SERT,2022-01-30,6,11.04,0.0,ENE,Fair,68.0,66.0,94.0,1.0,0.0,29.61,0.0,20.0,18.89
868,868,868,8139,NDIR-SERT,2022-01-30,7,5.26,0.0,ESE,Fair,68.0,64.0,88.0,2.0,0.0,29.64,0.0,20.0,17.78
869,869,869,8149,NDIR-SERT,2022-01-30,8,3.53,0.07,E,Fair,72.0,68.0,88.0,1.0,0.0,29.67,0.0,22.22,20.0
870,870,870,8158,NDIR-SERT,2022-01-30,9,0.14,2.77,SE,Fair,77.0,66.0,69.0,6.0,0.0,29.7,0.0,25.0,18.89
871,871,871,8167,NDIR-SERT,2022-01-30,10,0.0,8.73,S,Fair,82.0,63.0,51.0,5.0,0.0,29.7,0.0,27.78,17.22
872,872,872,8177,NDIR-SERT,2022-01-30,11,0.0,13.04,S,Fair,84.0,63.0,48.0,5.0,0.0,29.7,0.0,28.89,17.22
873,873,873,8188,NDIR-SERT,2022-01-30,12,0.0,12.61,S,Fair,86.0,59.0,40.0,6.0,0.0,29.67,0.0,30.0,15.0
874,874,874,8195,NDIR-SERT,2022-01-30,13,0.0,11.63,S,Fair,88.0,59.0,38.0,7.0,0.0,29.64,0.0,31.11,15.0
875,875,875,8204,NDIR-SERT,2022-01-30,14,2.91,1.35,SSW,Fair,90.0,57.0,33.0,7.0,0.0,29.61,0.0,32.22,13.89
876,876,876,8211,NDIR-SERT,2022-01-30,15,5.77,0.06,SSE,Fair,90.0,59.0,36.0,6.0,0.0,29.55,0.0,32.22,15.0
877,877,877,8221,NDIR-SERT,2022-01-30,16,10.86,0.0,SSE,Fair,91.0,55.0,29.0,5.0,0.0,29.55,0.0,32.78,12.78
878,878,878,8229,NDIR-SERT,2022-01-30,17,8.91,0.0,SE,Fair,91.0,52.0,26.0,5.0,0.0,29.55,0.0,32.78,11.11
879,879,879,8240,NDIR-SERT,2022-01-30,18,8.61,0.0,SE,Fair,88.0,57.0,35.0,2.0,0.0,29.55,0.0,31.11,13.89
880,880,880,8247,NDIR-SERT,2022-01-30,19,10.89,0.0,WNW,Fair,81.0,61.0,51.0,2.0,0.0,29.58,0.0,27.22,16.11
881,881,881,8256,NDIR-SERT,2022-01-30,20,9.57,0.0,CALM,Fair,79.0,63.0,57.0,0.0,0.0,29.58,0.0,26.11,17.22
890,890,890,8347,NDIR-SERT,2022-01-31,6,5.54,0.0,ENE,Fair,64.0,61.0,88.0,3.0,0.0,29.61,0.0,17.78,16.11
891,891,891,8360,NDIR-SERT,2022-01-31,7,5.25,0.0,VAR,Fair,64.0,61.0,88.0,1.0,0.0,29.64,0.0,17.78,16.11
892,892,892,8365,NDIR-SERT,2022-01-31,8,5.62,0.0,VAR,Fair,70.0,63.0,78.0,1.0,0.0,29.67,0.0,21.11,17.22
893,893,893,8373,NDIR-SERT,2022-01-31,9,2.44,0.11,VAR,Fair,79.0,61.0,54.0,1.0,0.0,29.7,0.0,26.11,16.11
894,894,894,8383,NDIR-SERT,2022-01-31,10,13.02,0.0,VAR,Fair,82.0,55.0,39.0,2.0,0.0,29.7,0.0,27.78,12.78
895,895,895,8391,NDIR-SERT,2022-01-31,11,7.99,0.01,VAR,Fair,86.0,52.0,31.0,5.0,0.0,29.7,0.0,30.0,11.11
896,896,896,8400,NDIR-SERT,2022-01-31,12,7.44,0.0,VAR,Fair,88.0,55.0,33.0,3.0,0.0,29.67,0.0,31.11,12.78
897,897,897,8409,NDIR-SERT,2022-01-31,13,24.45,0.0,VAR,Fair,88.0,59.0,38.0,5.0,0.0,29.67,0.0,31.11,15.0
898,898,898,8420,NDIR-SERT,2022-01-31,14,21.72,0.0,SSE,Fair,90.0,61.0,38.0,7.0,0.0,29.61,0.0,32.22,16.11
899,899,899,8427,NDIR-SERT,2022-01-31,15,31.94,0.0,SSW,Fair,90.0,61.0,38.0,7.0,0.0,29.58,0.0,32.22,16.11
900,900,900,8436,NDIR-SERT,2022-01-31,16,27.85,0.0,SSE,Fair,90.0,55.0,31.0,7.0,0.0,29.58,0.0,32.22,12.78
901,901,901,8448,NDIR-SERT,2022-01-31,17,31.2,0.0,S,Fair,90.0,52.0,27.0,6.0,0.0,29.58,0.0,32.22,11.11
902,902,902,8456,NDIR-SERT,2022-01-31,18,25.15,0.0,SSE,Fair,86.0,57.0,37.0,3.0,0.0,29.58,0.0,30.0,13.89
903,903,903,8463,NDIR-SERT,2022-01-31,19,17.05,0.0,E,Fair,79.0,59.0,51.0,1.0,0.0,29.61,0.0,26.11,15.0
904,904,904,8473,NDIR-SERT,2022-01-31,20,11.56,0.0,CALM,Fair,75.0,59.0,57.0,0.0,0.0,29.61,0.0,23.89,15.0
913,913,913,8562,NDIR-SERT,2022-02-01,6,5.57,0.0,VAR,Fair,64.0,61.0,88.0,1.0,0.0,29.64,0.0,17.78,16.11
917,917,917,8602,NDIR-SERT,2022-02-01,10,26.54,0.0,S,Mostly Cloudy,81.0,73.0,79.0,8.0,0.0,29.73,0.0,27.22,22.78
918,918,918,8608,NDIR-SERT,2022-02-01,11,26.85,0.0,S,Mostly Cloudy,82.0,72.0,70.0,8.0,0.0,29.73,0.0,27.78,22.22
919,919,919,8619,NDIR-SERT,2022-02-01,12,30.09,0.0,S,Mostly Cloudy,86.0,72.0,62.0,6.0,0.0,29.7,0.0,30.0,22.22
920,920,920,8627,NDIR-SERT,2022-02-01,13,24.76,0.0,VAR,Mostly Cloudy,86.0,70.0,58.0,5.0,0.0,29.67,0.0,30.0,21.11
921,921,921,8638,NDIR-SERT,2022-02-01,14,28.63,0.0,SSE,Fair,88.0,68.0,52.0,6.0,0.0,29.64,0.0,31.11,20.0
922,922,922,8643,NDIR-SERT,2022-02-01,15,31.72,0.0,S,Fair,90.0,64.0,43.0,7.0,0.0,29.61,0.0,32.22,17.78
